,Idaho,forecast,interval_low,interval_high
2020-01-23,0.0,1.0717397928237915,0.04069632291793823,5.048851013183594
2020-01-24,0.0,-0.0007241189596243203,-0.10773277282714844,0.060714900493621826
2020-01-25,0.0,-0.1435481309890747,-0.39014679193496704,-0.007310986518859863
2020-01-26,0.0,-0.06509578227996826,-0.3900744318962097,0.033922553062438965
2020-01-27,0.0,-0.9207561612129211,-4.346316337585449,0.05709424614906311
2020-01-28,0.0,3.098081350326538,-0.0017179250717163086,13.33342456817627
2020-01-29,0.0,-2.5846381187438965,-10.644500732421875,-0.022789299488067627
2020-01-30,0.0,0.03382294625043869,-0.040830910205841064,0.10371306538581848
2020-01-31,0.0,-0.03429967164993286,-0.08952158689498901,0.030213773250579834
2020-02-01,0.0,0.37873417139053345,-0.02316373586654663,1.8211561441421509
2020-02-02,0.0,2.179358959197998,-0.6926193237304688,11.586846351623535
2020-02-03,0.0,-0.4033878445625305,-3.2031655311584473,0.9521111249923706
2020-02-04,0.0,0.006741750054061413,-0.04218834638595581,0.06099635362625122
2020-02-05,0.0,0.01705339550971985,-0.02226090431213379,0.10461485385894775
2020-02-06,0.0,0.30625465512275696,-0.13115036487579346,1.5855525732040405
2020-02-07,0.0,0.4194287359714508,-0.01201719045639038,2.063027858734131
2020-02-08,0.0,0.16194577515125275,-0.007162868976593018,0.7321686744689941
2020-02-09,0.0,-0.00794028677046299,-0.04249662160873413,0.008534848690032959
2020-02-10,0.0,0.12012141942977905,-0.0023343563079833984,0.3049415946006775
2020-02-11,0.0,-0.02388438582420349,-0.14112728834152222,0.037633270025253296
2020-02-12,0.0,-0.3127948045730591,-1.2162270545959473,0.06555941700935364
2020-02-13,0.0,-0.5701351165771484,-2.3296027183532715,0.0713803768157959
2020-02-14,0.0,0.20423397421836853,-0.11246991157531738,0.5662130117416382
2020-02-15,0.0,-0.1746508777141571,-0.588404655456543,-0.038947343826293945
2020-02-16,0.0,5.537497520446777,0.02372044324874878,24.5067081451416
2020-02-17,0.0,-1.134739875793457,-5.385684013366699,0.09542801976203918
2020-02-18,0.0,0.4382500648498535,0.14917585253715515,0.872917652130127
2020-02-19,0.0,0.0073213218711316586,-0.2721151113510132,0.7403304576873779
2020-02-20,0.0,1.510541319847107,-0.09188663959503174,7.456543922424316
2020-02-21,0.0,0.08623702824115753,-0.08095449209213257,0.2210918366909027
2020-02-22,0.0,-0.025827378034591675,-0.18702208995819092,0.16801312565803528
2020-02-23,0.0,-1.4343235492706299,-7.2604289054870605,0.18311187624931335
2020-02-24,0.0,-0.5359698534011841,-2.0016348361968994,0.04379412531852722
2020-02-25,0.0,-0.30744877457618713,-1.3863763809204102,-0.012115478515625
2020-02-26,0.0,-0.5408649444580078,-2.0731379985809326,0.06150373816490173
2020-02-27,0.0,2.302100896835327,0.16501331329345703,6.5624566078186035
2020-02-28,0.0,0.10522778332233429,-0.05740678310394287,0.40048936009407043
2020-02-29,0.0,0.18153373897075653,-0.33489781618118286,1.367962121963501
2020-03-01,0.0,-0.10693105310201645,-0.4807276129722595,0.12376800179481506
2020-03-02,0.0,2.8967344760894775,-0.00042623281478881836,14.310751914978027
2020-03-03,0.0,-0.5134716033935547,-2.1832923889160156,0.009132444858551025
2020-03-04,0.0,1.1676702499389648,-0.8508317470550537,6.290097713470459
2020-03-05,0.0,0.10658891499042511,0.03576633334159851,0.21713238954544067
2020-03-06,0.0,0.04441162198781967,-0.09560257196426392,0.382153183221817
2020-03-07,0.0,0.6724731922149658,-0.11627262830734253,3.366199254989624
2020-03-08,0.0,-0.050595689564943314,-0.14482730627059937,-0.006517350673675537
2020-03-09,0.0,-0.1373809427022934,-0.411820650100708,-0.006533205509185791
2020-03-10,0.0,3.359947919845581,0.10080450773239136,8.97858715057373
2020-03-11,0.0,-0.7427772283554077,-2.11299729347229,-0.103049635887146
2020-03-12,0.0,0.47160083055496216,0.13180312514305115,1.0846374034881592
2020-03-13,1.0,-0.7450678944587708,-6.926193714141846,1.0917243957519531
2020-03-14,1.0,1.5925062894821167,1.0867760181427002,3.2284281253814697
2020-03-15,2.0,1.3781319856643677,-0.5091824531555176,2.014389991760254
2020-03-16,0.0,0.23417553305625916,-0.03030949831008911,0.669790506362915
2020-03-17,4.0,3.7425761222839355,2.913811683654785,3.994464159011841
2020-03-18,1.0,1.0896931886672974,0.8484393358230591,1.2651399374008179
2020-03-19,14.0,13.842785835266113,13.427401542663574,14.219868659973145
2020-03-20,13.0,11.774650573730469,6.859314441680908,13.16703987121582
2020-03-21,6.0,5.3895673751831055,2.4137229919433594,6.510892868041992
2020-03-22,0.0,1.0791285037994385,-0.08008849620819092,5.3726396560668945
2020-03-23,26.0,25.707143783569336,25.40730857849121,25.918672561645508
2020-03-24,13.0,13.376716613769531,13.24297046661377,13.529525756835938
2020-03-25,10.0,27.477031707763672,9.764789581298828,52.32996368408203
2020-03-26,55.0,55.5709342956543,54.76953125,58.15238571166992
2020-03-27,59.0,54.530853271484375,37.01546859741211,59.104000091552734
2020-03-28,29.0,47.54352951049805,29.109912872314453,65.67681121826172
2020-03-29,47.0,46.91938018798828,46.68238830566406,47.05649948120117
2020-03-30,59.0,53.393775939941406,30.731372833251953,59.111167907714844
2020-03-31,175.0,149.97947692871094,50.336334228515625,174.93666076660156
2020-04-01,51.0,80.81802368164062,50.92039108276367,199.86058044433594
2020-04-02,210.0,186.58737182617188,94.08460235595703,209.834716796875
2020-04-03,115.0,120.28718566894531,115.14076232910156,140.20985412597656
2020-04-04,131.0,130.83045959472656,130.5277862548828,131.0195770263672
