,Colorado,forecast,interval_low,interval_high
2020-03-10,0.0,0.2742885649204254,0.0,2.249361753463745
2020-03-11,0.0,0.41912174224853516,0.0,2.1034433841705322
2020-03-12,1.0,0.8225927352905273,0.0,1.577367901802063
2020-03-13,1.0,0.6059491634368896,0.0,1.9959700107574463
2020-03-14,0.0,1.2464356422424316,0.0,3.117373466491699
2020-03-15,0.0,0.0,0.0,0.9510300755500793
2020-03-16,0.0,0.0,0.0,0.6397164463996887
2020-03-17,1.0,0.2742885649204254,0.0,2.249361753463745
2020-03-18,0.0,0.41912174224853516,0.0,2.1034433841705322
2020-03-19,2.0,0.8225927352905273,0.0,1.577367901802063
2020-03-20,0.0,0.6059491634368896,0.0,1.9959700107574463
2020-03-21,1.0,1.2464356422424316,0.0,3.117373466491699
2020-03-22,1.0,0.7673758268356323,0.0,1.9601714611053467
2020-03-23,0.0,0.7646648287773132,0.0,1.650564193725586
2020-03-24,4.0,1.0934820175170898,0.0,3.2644591331481934
2020-03-25,9.0,1.1034560203552246,0.0,2.5461573600769043
2020-03-26,-1.0,1.3830790519714355,0.28975021839141846,2.171126127243042
2020-03-27,12.0,1.2137044668197632,0.0,2.4699783325195312
2020-03-28,13.0,1.911227822303772,0.40241140127182007,3.564772605895996
2020-03-29,3.0,3.799851179122925,2.880251169204712,4.945448398590088
2020-03-30,4.0,2.255190372467041,1.4320995807647705,3.138183832168579
2020-03-31,18.0,3.003431558609009,0.9985241293907166,5.4404683113098145
2020-04-01,10.0,3.4240193367004395,1.1276397705078125,4.583263397216797
2020-04-02,18.0,3.11262845993042,2.0997838973999023,3.7934043407440186
2020-04-03,14.0,4.2910685539245605,3.3490312099456787,5.328823089599609
2020-04-04,15.0,4.845613956451416,3.874957323074341,6.029158592224121
2020-04-05,14.0,10.341394424438477,9.308645248413086,12.341711044311523
2020-04-06,10.0,9.768404006958008,8.181038856506348,10.960335731506348
2020-04-07,29.0,11.578330039978027,8.450965881347656,13.739860534667969
2020-04-08,14.0,12.067766189575195,9.97516918182373,13.707016944885254
2020-04-09,33.0,10.983190536499023,8.87855339050293,12.898565292358398
2020-04-10,24.0,11.614862442016602,10.175642967224121,13.623577117919922
2020-04-11,24.0,11.13654613494873,10.559342384338379,12.310330390930176
2020-04-12,15.0,18.393447875976562,16.787654876708984,20.073640823364258
2020-04-13,17.0,18.09347152709961,15.149057388305664,20.048662185668945
