,West Virginia,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,4783.664752195051,,
2020-01-25,0.0,4784.099760233143,,
2020-01-26,0.0,4784.439654566388,,
2020-01-27,0.0,4784.584258872568,,
2020-01-28,0.0,4784.906345438591,,
2020-01-29,0.0,4785.015526591887,,
2020-01-30,0.0,4785.183303839081,,
2020-01-31,0.0,4785.173393078217,,
2020-02-01,0.0,4785.273890392274,,
2020-02-02,0.0,4785.2242645102815,,
2020-02-03,0.0,4785.299574855653,,
2020-02-04,0.0,4785.239969477623,,
2020-02-05,0.0,4785.30502495038,,
2020-02-06,0.0,4785.244753198374,,
2020-02-07,0.0,4785.304522129855,,
2020-02-08,0.0,4785.246204337882,,
2020-02-09,0.0,4785.302422567205,,
2020-02-10,0.0,4785.246643990967,,
2020-02-11,0.0,4785.300020142827,,
2020-02-12,0.0,4785.246777142657,,
2020-02-13,0.0,4785.2976824934885,,
2020-02-14,0.0,4785.246817463857,,
2020-02-15,0.0,4785.295500923344,,
2020-02-16,0.0,4785.2468296735615,,
2020-02-17,0.0,4785.293486413385,,
2020-02-18,0.0,4785.246833370756,,
2020-02-19,0.0,4785.291628256304,,
2020-02-20,0.0,4785.246834490291,,
2020-02-21,0.0,4785.289911292872,,
2020-02-22,0.0,4785.246834829294,,
2020-02-23,0.0,4785.288320741766,,
2020-02-24,0.0,4785.246834931946,,
2020-02-25,0.0,4785.286843359205,,
2020-02-26,0.0,4785.24683496303,,
2020-02-27,0.0,4785.285467549849,,
2020-02-28,0.0,4785.246834972442,,
2020-02-29,0.0,4785.284183207492,,
2020-03-01,0.0,4785.246834975293,,
2020-03-02,0.0,4785.282981510514,,
2020-03-03,0.0,4785.246834976156,,
2020-03-04,0.0,4785.281854732364,,
2020-03-05,0.0,4785.246834976417,,
2020-03-06,0.0,4785.280796079296,,
2020-03-07,0.0,4785.246834976496,,
2020-03-08,0.0,4785.27979955451,,
2020-03-09,0.0,4785.2468349765195,,
2020-03-10,0.0,4785.278859844859,,
2020-03-11,0.0,4785.246834976527,,
2020-03-12,0.0,4785.277972226207,,
2020-03-13,0.0,4785.2468349765295,,
2020-03-14,0.0,4785.277132484024,,
2020-03-15,0.0,4785.2468349765295,,
2020-03-16,0.0,4785.276336846485,,
2020-03-17,0.0,4785.24683497653,,
2020-03-18,1.0,4785.27558192783,,
2020-03-19,2.0,4784.3413189300745,,
2020-03-20,8.0,4784.757386213171,,
2020-03-21,12.0,4780.394569205932,,
2020-03-22,16.0,4784.183836040825,,
2020-03-23,16.0,4784.518748423985,,
2020-03-24,22.0,4787.8676378207365,,
2020-03-25,39.0,4781.82875745903,,
2020-03-26,52.0,4773.175360992953,,
2020-03-27,76.0,4782.587676339987,,
2020-03-28,96.0,4772.224910343986,,
