,Georgia,forecast,interval_low,interval_high
2020-01-23,0.0,0.32913652062416077,-0.4475024342536926,1.8538388013839722
2020-01-24,0.0,-1.4075233936309814,-6.431731700897217,0.2533152103424072
2020-01-25,0.0,0.22909286618232727,0.02310734987258911,0.44370388984680176
2020-01-26,0.0,3.7973239421844482,-0.6749616861343384,20.547992706298828
2020-01-27,0.0,6.552933692932129,-0.7182139158248901,32.26727294921875
2020-01-28,0.0,-0.15272165834903717,-0.4269230365753174,-0.0209653377532959
2020-01-29,0.0,18.75337028503418,0.03821432590484619,50.440460205078125
2020-01-30,0.0,-9.434825897216797,-46.860111236572266,0.027897417545318604
2020-01-31,0.0,11.000884056091309,-0.046974122524261475,54.95161437988281
2020-02-01,0.0,1.600947380065918,-0.3697255253791809,7.728321075439453
2020-02-02,0.0,0.3910459578037262,-9.169476509094238,10.783156394958496
2020-02-03,0.0,0.05758653208613396,-0.05364507436752319,0.2077813744544983
2020-02-04,0.0,-1.1041470766067505,-6.638669967651367,0.7928209900856018
2020-02-05,0.0,-3.953080654144287,-20.559444427490234,2.1872310638427734
2020-02-06,0.0,22.430652618408203,0.6291348934173584,54.97517776489258
2020-02-07,0.0,1.1887716054916382,-1.9601688385009766,7.568573474884033
2020-02-08,0.0,-0.3786647915840149,-0.6602352857589722,-0.17381280660629272
2020-02-09,0.0,1.9797897338867188,-0.022551357746124268,9.363826751708984
2020-02-10,0.0,-42.791168212890625,-163.8830108642578,0.023828357458114624
2020-02-11,0.0,0.5875709652900696,0.008857429027557373,1.5609130859375
2020-02-12,0.0,-2.057720184326172,-8.275583267211914,0.04006132483482361
2020-02-13,0.0,-13.334020614624023,-56.80351638793945,6.648951053619385
2020-02-14,0.0,5.3628411293029785,1.4489266872406006,15.050639152526855
2020-02-15,0.0,2.786712169647217,-1.2932980060577393,15.054425239562988
2020-02-16,0.0,-0.5963654518127441,-2.4833943843841553,0.08100777864456177
2020-02-17,0.0,7.486213684082031,-0.154788076877594,23.942285537719727
2020-02-18,0.0,-2.1037654876708984,-11.517221450805664,1.1104841232299805
2020-02-19,0.0,-0.7843111753463745,-2.2478413581848145,0.4682350754737854
2020-02-20,0.0,7.264452934265137,-0.5237176418304443,31.813861846923828
2020-02-21,0.0,-1.4525845050811768,-4.041088104248047,-0.157958984375
2020-02-22,0.0,0.5498867630958557,-0.3464486598968506,1.2733211517333984
2020-02-23,0.0,-0.8199294805526733,-3.904189109802246,0.443424254655838
2020-02-24,0.0,2.4820120334625244,-1.4248603582382202,8.4034423828125
2020-02-25,0.0,-0.23207852244377136,-1.1273163557052612,0.2907760441303253
2020-02-26,0.0,5.619657039642334,-4.260125160217285,31.589696884155273
2020-02-27,0.0,0.7427759170532227,0.12906956672668457,1.1435902118682861
2020-02-28,0.0,1.8164246082305908,-0.11872118711471558,6.060949325561523
2020-02-29,0.0,-0.8955677151679993,-3.6165666580200195,0.057991743087768555
2020-03-01,0.0,0.9541639089584351,-0.15287762880325317,4.768117904663086
2020-03-02,0.0,5.232203483581543,0.059094011783599854,24.910476684570312
2020-03-03,2.0,1.744188666343689,1.0618213415145874,2.23073673248291
2020-03-04,0.0,-2.469052791595459,-12.302122116088867,0.2174178957939148
2020-03-05,0.0,8.38401985168457,0.1088966429233551,20.07140350341797
2020-03-06,1.0,0.6065477132797241,0.20799437165260315,1.1376795768737793
2020-03-07,2.0,2.4941771030426025,1.8919974565505981,2.7338967323303223
2020-03-08,0.0,-6.592553615570068,-31.4682559967041,0.18111610412597656
2020-03-09,5.0,-3.810443878173828,-33.24774169921875,4.151015281677246
2020-03-10,7.0,8.300820350646973,7.158824920654297,9.276690483093262
2020-03-11,6.0,4.764281272888184,0.7859395742416382,7.704898357391357
2020-03-12,8.0,7.747337341308594,6.959334850311279,9.323808670043945
2020-03-13,11.0,11.384649276733398,10.600269317626953,11.93924331665039
2020-03-14,31.0,31.231624603271484,30.640926361083984,32.83268356323242
2020-03-15,26.0,23.23223114013672,12.76346492767334,26.1224308013916
2020-03-16,22.0,22.045095443725586,20.46489715576172,23.327251434326172
2020-03-17,25.0,25.628559112548828,17.078521728515625,34.89992141723633
2020-03-18,51.0,81.8584976196289,50.9737548828125,148.46475219726562
2020-03-19,90.0,105.17912292480469,88.0247802734375,167.61155700683594
2020-03-20,198.0,173.42637634277344,74.73246765136719,198.6909942626953
2020-03-21,70.0,69.6383285522461,67.85889434814453,71.8569564819336
2020-03-22,66.0,66.36027526855469,65.12451171875,67.97080993652344
2020-03-23,151.0,171.9983367919922,150.97146606445312,213.74066162109375
2020-03-24,254.0,252.96939086914062,251.55960083007812,253.93251037597656
2020-03-25,221.0,241.119873046875,220.33648681640625,315.8830871582031
2020-03-26,278.0,277.9201965332031,277.7629699707031,277.9912109375
2020-03-27,475.0,473.58966064453125,472.20849609375,475.86004638671875
2020-03-28,366.0,353.4424133300781,302.8629455566406,366.38568115234375
2020-03-29,285.0,288.09405517578125,284.9992980957031,299.3105163574219
2020-03-30,157.0,318.18609619140625,157.05442810058594,961.4549560546875
2020-03-31,1121.0,951.1305541992188,273.21484375,1120.9769287109375
2020-04-01,709.0,797.1356201171875,708.969482421875,1147.402099609375
2020-04-02,710.0,709.4358520507812,707.4007568359375,710.7138671875
2020-04-03,483.0,497.60076904296875,482.593994140625,553.4559326171875
2020-04-04,329.0,363.607666015625,326.8603210449219,498.8327941894531
2020-04-05,487.0,542.7534790039062,484.7693176269531,768.5192260742188
2020-04-06,667.0,899.4718627929688,667.0262451171875,1361.6488037109375
