,Connecticut,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,2.2356958389282227,0.0,28.155420303344727
2020-02-03,0.0,8.318470001220703,0.0,28.57505226135254
2020-02-04,0.0,6.93802547454834,0.0,31.14710235595703
2020-02-05,0.0,17.45840835571289,0.0,47.44474411010742
2020-02-06,0.0,20.0970516204834,0.0,60.02095413208008
2020-02-07,0.0,18.32610511779785,0.0,58.37420654296875
2020-02-08,0.0,34.77903366088867,4.514449596405029,57.286338806152344
2020-02-09,0.0,2.2356958389282227,0.0,28.155420303344727
2020-02-10,0.0,8.318470001220703,0.0,28.57505226135254
2020-02-11,0.0,6.93802547454834,0.0,31.14710235595703
2020-02-12,0.0,17.45840835571289,0.0,47.44474411010742
2020-02-13,0.0,20.0970516204834,0.0,60.02095413208008
2020-02-14,0.0,18.32610511779785,0.0,58.37420654296875
2020-02-15,0.0,34.77903366088867,4.514449596405029,57.286338806152344
2020-02-16,0.0,2.2356958389282227,0.0,28.155420303344727
2020-02-17,0.0,8.318470001220703,0.0,28.57505226135254
2020-02-18,0.0,6.93802547454834,0.0,31.14710235595703
2020-02-19,0.0,17.45840835571289,0.0,47.44474411010742
2020-02-20,0.0,20.0970516204834,0.0,60.02095413208008
2020-02-21,0.0,18.32610511779785,0.0,58.37420654296875
2020-02-22,0.0,34.77903366088867,4.514449596405029,57.286338806152344
2020-02-23,0.0,2.2356958389282227,0.0,28.155420303344727
2020-02-24,0.0,8.318470001220703,0.0,28.57505226135254
2020-02-25,0.0,6.93802547454834,0.0,31.14710235595703
2020-02-26,0.0,17.45840835571289,0.0,47.44474411010742
2020-02-27,0.0,20.0970516204834,0.0,60.02095413208008
2020-02-28,0.0,18.32610511779785,0.0,58.37420654296875
2020-02-29,0.0,34.77903366088867,4.514449596405029,57.286338806152344
2020-03-01,0.0,2.2356958389282227,0.0,28.155420303344727
2020-03-02,0.0,8.318470001220703,0.0,28.57505226135254
2020-03-03,0.0,6.93802547454834,0.0,31.14710235595703
2020-03-04,0.0,17.45840835571289,0.0,47.44474411010742
2020-03-05,0.0,20.0970516204834,0.0,60.02095413208008
2020-03-06,0.0,18.32610511779785,0.0,58.37420654296875
2020-03-07,0.0,34.77903366088867,4.514449596405029,57.286338806152344
2020-03-08,0.0,2.2356958389282227,0.0,28.155420303344727
2020-03-09,0.0,8.318470001220703,0.0,28.57505226135254
2020-03-10,1.0,6.93802547454834,0.0,31.14710235595703
2020-03-11,2.0,17.45840835571289,0.0,47.44474411010742
2020-03-12,2.0,20.0970516204834,0.0,60.02095413208008
2020-03-13,6.0,18.32610511779785,0.0,58.37420654296875
2020-03-14,12.0,34.77903366088867,4.514449596405029,57.286338806152344
2020-03-15,1.0,2.8841097354888916,0.0,28.753684997558594
2020-03-16,17.0,9.02344799041748,0.0,29.23818588256836
2020-03-17,27.0,8.40550422668457,0.0,32.43506622314453
2020-03-18,28.0,18.695850372314453,0.0,48.89142990112305
2020-03-19,63.0,21.291790008544922,0.0,61.164066314697266
2020-03-20,35.0,20.670921325683594,0.0,60.82699203491211
2020-03-21,0.0,36.74200439453125,7.12322998046875,59.255794525146484
2020-03-22,133.0,19.765419006347656,0.0,42.261539459228516
2020-03-23,88.0,29.08822250366211,8.989341735839844,49.271949768066406
2020-03-24,203.0,36.74508285522461,5.594326496124268,57.070011138916016
2020-03-25,257.0,46.36802673339844,26.554275512695312,78.48187255859375
2020-03-26,137.0,51.44214630126953,19.295909881591797,87.92432403564453
2020-03-27,279.0,60.63834762573242,18.35224723815918,102.27806854248047
2020-03-28,233.0,73.0267333984375,50.10747146606445,100.47190856933594
2020-03-29,469.0,143.50819396972656,107.54963684082031,183.00648498535156
2020-03-30,578.0,177.1949920654297,143.5347442626953,202.39187622070312
2020-03-31,557.0,246.21109008789062,140.31605529785156,290.15093994140625
2020-04-01,429.0,241.7112579345703,164.36676025390625,288.0317687988281
2020-04-02,267.0,254.6135711669922,137.8276824951172,314.52093505859375
2020-04-03,1090.0,356.9161376953125,202.93319702148438,425.5320129394531
2020-04-04,362.0,335.5708312988281,179.0360870361328,415.4320983886719
2020-04-05,399.0,494.12353515625,406.2066650390625,653.1345825195312
2020-04-06,1231.0,537.6986083984375,443.6969299316406,824.5458984375
2020-04-07,875.0,535.0006713867188,442.6346740722656,585.9061279296875
2020-04-08,0.0,591.0101318359375,472.453369140625,718.5276489257812
2020-04-09,2003.0,655.3289794921875,426.74359130859375,863.1278076171875
2020-04-10,754.0,658.6168212890625,530.8704223632812,790.8831176757812
2020-04-11,972.0,649.8114624023438,471.013916015625,864.0552368164062
2020-04-12,525.0,1301.6943359375,694.908203125,2051.35986328125
2020-04-13,1346.0,719.750732421875,520.486328125,933.38037109375
2020-04-14,608.0,755.7926025390625,591.7484741210938,985.03857421875
2020-04-15,766.0,674.2847900390625,525.9264526367188,980.46337890625
2020-04-16,1129.0,1027.79638671875,640.5319213867188,1443.2083740234375
2020-04-17,925.0,714.7772216796875,601.537353515625,908.6561279296875
2020-04-18,741.0,610.4859619140625,492.9740905761719,769.8099365234375
2020-04-19,412.0,1020.4871826171875,818.9581298828125,1234.3687744140625
2020-04-20,1853.0,911.4524536132812,737.9729614257812,1132.3138427734375
2020-04-21,545.0,804.9119873046875,675.2350463867188,1161.36767578125
