,New Mexico,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,73.69353485107422,13.174928665161133,127.89801025390625
2020-02-03,0.0,104.01190185546875,61.81797790527344,142.18333435058594
2020-02-04,0.0,123.97400665283203,52.48795700073242,188.23536682128906
2020-02-05,0.0,142.0587158203125,75.79265594482422,203.32398986816406
2020-02-06,0.0,172.85658264160156,89.68310546875,242.4569854736328
2020-02-07,0.0,197.06524658203125,112.5010986328125,267.30072021484375
2020-02-08,0.0,213.95655822753906,116.21881866455078,294.930419921875
2020-02-09,0.0,73.69353485107422,13.174928665161133,127.89801025390625
2020-02-10,0.0,104.01190185546875,61.81797790527344,142.18333435058594
2020-02-11,0.0,123.97400665283203,52.48795700073242,188.23536682128906
2020-02-12,0.0,142.0587158203125,75.79265594482422,203.32398986816406
2020-02-13,0.0,172.85658264160156,89.68310546875,242.4569854736328
2020-02-14,0.0,197.06524658203125,112.5010986328125,267.30072021484375
2020-02-15,0.0,213.95655822753906,116.21881866455078,294.930419921875
2020-02-16,0.0,73.69353485107422,13.174928665161133,127.89801025390625
2020-02-17,0.0,104.01190185546875,61.81797790527344,142.18333435058594
2020-02-18,0.0,123.97400665283203,52.48795700073242,188.23536682128906
2020-02-19,0.0,142.0587158203125,75.79265594482422,203.32398986816406
2020-02-20,0.0,172.85658264160156,89.68310546875,242.4569854736328
2020-02-21,0.0,197.06524658203125,112.5010986328125,267.30072021484375
2020-02-22,0.0,213.95655822753906,116.21881866455078,294.930419921875
2020-02-23,0.0,73.69353485107422,13.174928665161133,127.89801025390625
2020-02-24,0.0,104.01190185546875,61.81797790527344,142.18333435058594
2020-02-25,0.0,123.97400665283203,52.48795700073242,188.23536682128906
2020-02-26,0.0,142.0587158203125,75.79265594482422,203.32398986816406
2020-02-27,0.0,172.85658264160156,89.68310546875,242.4569854736328
2020-02-28,0.0,197.06524658203125,112.5010986328125,267.30072021484375
2020-02-29,0.0,213.95655822753906,116.21881866455078,294.930419921875
2020-03-01,0.0,73.69353485107422,13.174928665161133,127.89801025390625
2020-03-02,0.0,104.01190185546875,61.81797790527344,142.18333435058594
2020-03-03,0.0,123.97400665283203,52.48795700073242,188.23536682128906
2020-03-04,0.0,142.0587158203125,75.79265594482422,203.32398986816406
2020-03-05,0.0,172.85658264160156,89.68310546875,242.4569854736328
2020-03-06,0.0,197.06524658203125,112.5010986328125,267.30072021484375
2020-03-07,0.0,213.95655822753906,116.21881866455078,294.930419921875
2020-03-08,0.0,73.69353485107422,13.174928665161133,127.89801025390625
