,Guam,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,0.02049613930284977,0.014068590477108955,0.027773715555667877
2020-02-03,0.0,0.014747005887329578,0.010524080134928226,0.01830298826098442
2020-02-04,0.0,0.017909709364175797,0.01259658858180046,0.022434957325458527
2020-02-05,0.0,0.01201145350933075,0.004988130647689104,0.017002733424305916
2020-02-06,0.0,0.014779260382056236,0.011517852544784546,0.018856298178434372
2020-02-07,0.0,0.006985268089920282,0.0,0.015961643308401108
2020-02-08,0.0,0.010023481212556362,0.0,0.020214198157191277
2020-02-09,0.0,0.02049613930284977,0.014068590477108955,0.027773715555667877
2020-02-10,0.0,0.014747005887329578,0.010524080134928226,0.01830298826098442
2020-02-11,0.0,0.017909709364175797,0.01259658858180046,0.022434957325458527
2020-02-12,0.0,0.01201145350933075,0.004988130647689104,0.017002733424305916
2020-02-13,0.0,0.014779260382056236,0.011517852544784546,0.018856298178434372
2020-02-14,0.0,0.006985268089920282,0.0,0.015961643308401108
2020-02-15,0.0,0.010023481212556362,0.0,0.020214198157191277
2020-02-16,0.0,0.02049613930284977,0.014068590477108955,0.027773715555667877
2020-02-17,0.0,0.014747005887329578,0.010524080134928226,0.01830298826098442
2020-02-18,0.0,0.017909709364175797,0.01259658858180046,0.022434957325458527
2020-02-19,0.0,0.01201145350933075,0.004988130647689104,0.017002733424305916
2020-02-20,0.0,0.014779260382056236,0.011517852544784546,0.018856298178434372
2020-02-21,0.0,0.006985268089920282,0.0,0.015961643308401108
2020-02-22,0.0,0.010023481212556362,0.0,0.020214198157191277
2020-02-23,0.0,0.02049613930284977,0.014068590477108955,0.027773715555667877
2020-02-24,0.0,0.014747005887329578,0.010524080134928226,0.01830298826098442
2020-02-25,0.0,0.017909709364175797,0.01259658858180046,0.022434957325458527
2020-02-26,0.0,0.01201145350933075,0.004988130647689104,0.017002733424305916
2020-02-27,0.0,0.014779260382056236,0.011517852544784546,0.018856298178434372
2020-02-28,0.0,0.006985268089920282,0.0,0.015961643308401108
2020-02-29,0.0,0.010023481212556362,0.0,0.020214198157191277
2020-03-01,0.0,0.02049613930284977,0.014068590477108955,0.027773715555667877
2020-03-02,0.0,0.014747005887329578,0.010524080134928226,0.01830298826098442
2020-03-03,0.0,0.017909709364175797,0.01259658858180046,0.022434957325458527
