,South Carolina,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,1.136812448501587,1.136812448501587,1.136812448501587
2020-01-31,0.0,1.2782115936279297,1.136812448501587,1.4196107387542725
2020-02-01,0.0,1.227737267812093,1.12678861618042,1.4196107387542725
2020-02-02,0.0,1.1658375263214111,0.9801383018493652,1.4196107387542725
2020-02-03,0.0,1.1209197878837585,0.9412488341331482,1.4196107387542725
2020-02-04,0.0,0.9208242297172546,0.0,1.4196107387542725
2020-02-05,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-06,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-07,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-08,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-09,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-10,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-11,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-12,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-13,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-14,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-15,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-16,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-17,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-18,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-19,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-20,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-21,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-22,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-23,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-24,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-25,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-26,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-27,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-28,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-02-29,0.0,0.8487052704606738,0.0,1.4196107387542725
2020-03-01,0.0,0.8487052874905723,0.0,1.419610857963562
2020-03-02,0.0,0.8487052534307752,0.0,1.419610857963562
2020-03-03,0.0,0.8487052364008767,0.0,1.4196107387542725
2020-03-04,0.0,0.84870531303542,0.0,1.4196107387542725
2020-03-05,0.0,0.8487053556101662,0.0,1.4196107387542725
