,Connecticut,forecast,interval_low,interval_high
2020-05-04,686.0,2047.457877422025,2047.457877422025,2047.457877422025
2020-05-05,648.0,0.0,0.0,0.0
2020-05-06,374.0,198.34686457301436,198.34686457301436,198.34686457301436
2020-05-07,789.0,1287.3653589415762,1287.3653589415762,1287.3653589415762
2020-05-08,627.0,79.8833999106381,79.8833999106381,79.8833999106381
2020-05-09,573.0,663.5578772554894,663.5578772554894,663.5578772554894
2020-05-10,570.0,540.599576739721,540.599576739721,540.599576739721
2020-05-11,211.0,322.46786317670467,322.46786317670467,322.46786317670467
2020-05-12,568.0,1323.4322765710517,1323.4322765710517,1323.4322765710517
2020-05-13,522.0,32.325236433867246,32.325236433867246,32.325236433867246
2020-05-14,609.0,658.097530941481,658.097530941481,658.097530941481
2020-05-15,621.0,395.05222531828144,395.05222531828144,395.05222531828144
2020-05-16,618.0,557.9297829827063,557.9297829827063,557.9297829827063
2020-05-17,716.0,657.2848152204934,657.2848152204934,657.2848152204934
2020-05-18,697.0,411.54039882097743,411.54039882097743,411.54039882097743
2020-05-19,314.0,265.22423026722777,265.22423026722777,265.22423026722777
2020-05-20,587.0,1323.6311595357179,1323.6311595357179,1323.6311595357179
2020-05-21,191.0,0.0,0.0,0.0
2020-05-22,432.0,1209.1097143885536,1209.1097143885536,1209.1097143885536
2020-05-23,382.0,121.86037474375121,121.86037474375121,121.86037474375121
2020-05-24,446.0,595.3670479646025,595.3670479646025,595.3670479646025
2020-05-25,405.0,282.0761944221418,282.0761944221418,282.0761944221418
2020-05-26,430.0,473.8294184233977,473.8294184233977,473.8294184233977
2020-05-27,-15.0,0.0,0.0,0.0
2020-05-28,271.0,1129.6579832760153,1129.6579832760153,1129.6579832760153
2020-05-29,203.0,0.0,0.0,0.0
2020-05-30,260.0,383.12909312910676,383.12909312910676,383.12909312910676
2020-05-31,179.0,64.24367708477935,64.24367708477935,64.24367708477935
2020-06-01,539.0,723.8034276480253,723.8034276480253,723.8034276480253
2020-06-02,239.0,0.0,0.0,0.0
2020-06-03,112.0,430.00875177903356,430.00875177903356,430.00875177903356
2020-06-04,148.0,460.90691608176473,460.90691608176473,460.90691608176473
2020-06-05,221.0,299.36501503928173,299.36501503928173,299.36501503928173
2020-06-06,358.0,219.75386380055497,219.75386380055497,219.75386380055497
2020-06-07,150.0,0.0,0.0,0.0
2020-06-08,124.0,479.30270790964266,479.30270790964266,479.30270790964266
2020-06-09,87.0,209.42562250291272,209.42562250291272,209.42562250291272
2020-06-10,168.0,288.64823929969907,288.64823929969907,288.64823929969907
2020-06-11,114.0,0.0,0.0,0.0
2020-06-12,228.0,309.3518819680452,309.3518819680452,309.3518819680452
2020-06-13,305.0,106.05266781178457,106.05266781178457,106.05266781178457
2020-06-14,94.0,0.0,0.0,0.0
2020-06-15,147.0,444.98405093109506,444.98405093109506,444.98405093109506
2020-06-16,114.0,75.74317880549728,75.74317880549728,75.74317880549728
2020-06-17,80.0,153.5169976336483,153.5169976336483,153.5169976336483
2020-06-18,11.0,65.4818505363188,65.4818505363188,65.4818505363188
2020-06-19,117.0,305.90718804365724,305.90718804365724,305.90718804365724
2020-06-20,158.0,20.261375026214466,20.261375026214466,20.261375026214466
2020-06-21,40.0,0.0,0.0,0.0
2020-06-22,27.0,193.6920387631575,193.6920387631575,193.6920387631575
2020-06-23,117.0,186.82623247839314,186.82623247839314,186.82623247839314
2020-06-24,14.0,0.0,0.0,0.0
2020-06-25,81.0,202.24573013276955,202.24573013276955,202.24573013276955
2020-06-26,65.0,0.0,0.0,0.0
2020-06-27,147.0,158.8518100373879,158.8518100373879,158.8518100373879
2020-06-28,97.0,0.0,0.0,0.0
2020-06-29,59.0,74.20288547958455,74.20288547958455,74.20288547958455
2020-06-30,152.0,207.35360507734848,207.35360507734848,207.35360507734848
2020-07-01,58.0,0.0,0.0,0.0
2020-07-02,74.0,183.08258791355132,183.08258791355132,183.08258791355132
2020-07-03,71.0,41.894224449041396,41.894224449041396,41.894224449041396
2020-07-04,0.0,10.917401921377078,10.917401921377078,10.917401921377078
2020-07-05,0.0,118.54056042633283,118.54056042633283,118.54056042633283
2020-07-06,259.0,288.2158024252219,288.2158024252219,288.2158024252219
2020-07-07,57.0,0.0,0.0,0.0
2020-07-08,75.0,281.171571648386,281.171571648386,281.171571648386
2020-07-09,101.0,78.6218944051302,78.6218944051302,78.6218944051302
2020-07-10,78.0,34.16723726266988,34.16723726266988,34.16723726266988
2020-07-11,0.0,0.0,0.0,0.0
2020-07-12,0.0,133.80623614051945,133.80623614051945,133.80623614051945
2020-07-13,223.0,293.0975548325338,293.0975548325338,293.0975548325338
2020-07-14,20.0,0.0,0.0,0.0
2020-07-15,106.0,345.0898169542687,345.0898169542687,345.0898169542687
