,Delaware,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,,,
2020-02-03,0.0,12.264237403869629,10.824575424194336,13.168211936950684
2020-02-04,0.0,11.720664024353027,9.60792350769043,13.205100059509277
2020-02-05,0.0,15.493232727050781,14.121126174926758,16.18770408630371
2020-02-06,0.0,15.5120849609375,14.448430061340332,17.28089714050293
2020-02-07,0.0,18.13399887084961,17.40822982788086,18.707813262939453
2020-02-08,0.0,22.721574783325195,20.038063049316406,27.003189086914062
2020-02-09,0.0,23.296716690063477,22.69662857055664,23.91548728942871
2020-02-10,0.0,12.264237403869629,10.824575424194336,13.168211936950684
2020-02-11,0.0,11.720664024353027,9.60792350769043,13.205100059509277
2020-02-12,0.0,15.493232727050781,14.121126174926758,16.18770408630371
2020-02-13,0.0,15.5120849609375,14.448430061340332,17.28089714050293
2020-02-14,0.0,18.13399887084961,17.40822982788086,18.707813262939453
2020-02-15,0.0,22.721574783325195,20.038063049316406,27.003189086914062
2020-02-16,0.0,23.296716690063477,22.69662857055664,23.91548728942871
2020-02-17,0.0,12.264237403869629,10.824575424194336,13.168211936950684
2020-02-18,0.0,11.720664024353027,9.60792350769043,13.205100059509277
2020-02-19,0.0,15.493232727050781,14.121126174926758,16.18770408630371
2020-02-20,0.0,15.5120849609375,14.448430061340332,17.28089714050293
2020-02-21,0.0,18.13399887084961,17.40822982788086,18.707813262939453
2020-02-22,0.0,22.721574783325195,20.038063049316406,27.003189086914062
2020-02-23,0.0,23.296716690063477,22.69662857055664,23.91548728942871
2020-02-24,0.0,12.264237403869629,10.824575424194336,13.168211936950684
2020-02-25,0.0,11.720664024353027,9.60792350769043,13.205100059509277
2020-02-26,0.0,15.493232727050781,14.121126174926758,16.18770408630371
2020-02-27,0.0,15.5120849609375,14.448430061340332,17.28089714050293
2020-02-28,0.0,18.13399887084961,17.40822982788086,18.707813262939453
2020-02-29,0.0,22.721574783325195,20.038063049316406,27.003189086914062
2020-03-01,0.0,23.296716690063477,22.69662857055664,23.91548728942871
2020-03-02,0.0,12.264237403869629,10.824575424194336,13.168211936950684
2020-03-03,0.0,11.720664024353027,9.60792350769043,13.205100059509277
2020-03-04,0.0,15.493232727050781,14.121126174926758,16.18770408630371
2020-03-05,0.0,15.5120849609375,14.448430061340332,17.28089714050293
2020-03-06,0.0,18.13399887084961,17.40822982788086,18.707813262939453
