,Montana,forecast,interval_low,interval_high
2020-01-23,0.0,0.21208281868306367,0.21208281868306367,0.21208281868306367
2020-01-24,0.0,0.16446424068609825,0.16446424068609825,0.16446424068609825
2020-01-25,0.0,0.1680695391034241,0.1680695391034241,0.1680695391034241
2020-01-26,0.0,0.11224311920804297,0.11224311920804297,0.11224311920804297
2020-01-27,0.0,0.10111963848904051,0.10111963848904051,0.10111963848904051
2020-01-28,0.0,0.09095741359636432,0.09095741359636432,0.09095741359636432
2020-01-29,0.0,0.0977083102071418,0.0977083102071418,0.0977083102071418
2020-01-30,0.0,0.09232283642215428,0.09232283642215428,0.09232283642215428
2020-01-31,0.0,0.0961132971177416,0.0961132971177416,0.0961132971177416
2020-02-01,0.0,0.09316894692020461,0.09316894692020461,0.09316894692020461
2020-02-02,0.0,0.09530055843967204,0.09530055843967204,0.09530055843967204
2020-02-03,0.0,0.09367129770197628,0.09367129770197628,0.09367129770197628
2020-02-04,0.0,0.0948682777446109,0.0948682777446109,0.0948682777446109
2020-02-05,0.0,0.09396200788422175,0.09396200788422175,0.09396200788422175
2020-02-06,0.0,0.09463310379452612,0.09463310379452612,0.09463310379452612
2020-02-07,0.0,0.09412775256668884,0.09412775256668884,0.09412775256668884
2020-02-08,0.0,0.09450358845862858,0.09450358845862858,0.09450358845862858
2020-02-09,0.0,0.09422144751874817,0.09422144751874817,0.09422144751874817
2020-02-10,0.0,0.09443178113954051,0.09443178113954051,0.09443178113954051
2020-02-11,0.0,0.09427415784935632,0.09427415784935632,0.09427415784935632
2020-02-12,0.0,0.09439182069843292,0.09439182069843292,0.09439182069843292
2020-02-13,0.0,0.09430373077560002,0.09430373077560002,0.09430373077560002
2020-02-14,0.0,0.0943695368958493,0.0943695368958493,0.0943695368958493
2020-02-15,0.0,0.09432029724171515,0.09432029724171515,0.09432029724171515
2020-02-16,0.0,0.09435709608829318,0.09435709608829318,0.09435709608829318
2020-02-17,0.0,0.09432956967957026,0.09432956967957026,0.09432956967957026
2020-02-18,0.0,0.09435014605235735,0.09435014605235735,0.09435014605235735
2020-02-19,0.0,0.09433475708272862,0.09433475708272862,0.09433475708272862
2020-02-20,0.0,0.09434626203210998,0.09434626203210998,0.09434626203210998
2020-02-21,0.0,0.09433765836313734,0.09433765836313734,0.09433765836313734
2020-02-22,0.0,0.09434409101588172,0.09434409101588172,0.09434409101588172
2020-02-23,0.0,0.09433928078698471,0.09433928078698471,0.09433928078698471
2020-02-24,0.0,0.09434287736614659,0.09434287736614659,0.09434287736614659
2020-02-25,0.0,0.0943401879859336,0.0943401879859336,0.0943401879859336
2020-02-26,0.0,0.09434219886452325,0.09434219886452325,0.09434219886452325
2020-02-27,0.0,0.09434069523400247,0.09434069523400247,0.09434069523400247
2020-02-28,0.0,0.09434181952889081,0.09434181952889081,0.09434181952889081
2020-02-29,0.0,0.09434097884749365,0.09434097884749365,0.09434097884749365
2020-03-01,0.0,0.09434160744635922,0.09434160744635922,0.09434160744635922
2020-03-02,0.0,0.09434113741967719,0.09434113741967719,0.09434113741967719
2020-03-03,0.0,0.09434148887196453,0.09434148887196453,0.09434148887196453
2020-03-04,0.0,0.09434122607882843,0.09434122607882843,0.09434122607882843
2020-03-05,0.0,0.09434142257714476,0.09434142257714476,0.09434142257714476
2020-03-06,0.0,0.09434127564873986,0.09434127564873986,0.09434127564873986
2020-03-07,0.0,0.09434138551165361,0.09434138551165361,0.09434138551165361
2020-03-08,0.0,0.09434130336353069,0.09434130336353069,0.09434130336353069
2020-03-09,0.0,0.09434136478826571,0.09434136478826571,0.09434136478826571
2020-03-10,0.0,0.09434131885898961,0.09434131885898961,0.09434131885898961
2020-03-11,0.0,0.09434135320176704,0.09434135320176704,0.09434135320176704
2020-03-12,0.0,0.09434132752256057,0.09434132752256057,0.09434132752256057
2020-03-13,0.0,0.09434134672372235,0.09434134672372235,0.09434134672372235
2020-03-14,0.0,0.0943413323663944,0.0943413323663944,0.0943413323663944
2020-03-15,0.0,0.09434134310182776,0.09434134310182776,0.09434134310182776
2020-03-16,0.0,0.09434133507459871,0.09434133507459871,0.09434133507459871
2020-03-17,0.0,0.09434134107681505,0.09434134107681505,0.09434134107681505
2020-03-18,0.0,0.09434133658876488,0.09434133658876488,0.09434133658876488
2020-03-19,0.0,0.09434133994462393,0.09434133994462393,0.09434133994462393
2020-03-20,0.0,0.09434133743534033,0.09434133743534033,0.09434133743534033
2020-03-21,0.0,0.09434133931161215,0.09434133931161215,0.09434133931161215
2020-03-22,0.0,0.09434133790866345,0.09434133790866345,0.09434133790866345
2020-03-23,0.0,0.09434133895769319,0.09434133895769319,0.09434133895769319
2020-03-24,0.0,0.09434133817329998,0.09434133817329998,0.09434133817329998
2020-03-25,0.0,0.09434133875981598,0.09434133875981598,0.09434133875981598
2020-03-26,0.0,0.09434133832125914,0.09434133832125914,0.09434133832125914
2020-03-27,1.0,1.094341338649182,1.094341338649182,1.094341338649182
2020-03-28,0.0,0.3048535149946254,0.3048535149946254,0.3048535149946254
2020-03-29,0.0,0.0,0.0,0.0
2020-03-30,4.0,4.442882268151794,4.442882268151794,4.442882268151794
2020-03-31,0.0,0.9800779836200416,0.9800779836200416,0.9800779836200416
2020-04-01,1.0,0.7232698287186476,0.7232698287186476,0.7232698287186476
2020-04-02,0.0,1.594124732264065,1.594124732264065,1.594124732264065
2020-04-03,-1.0,0.0,0.0,0.0
2020-04-04,1.0,1.734847785821331,1.734847785821331,1.734847785821331
2020-04-05,0.0,0.10066084421076038,0.10066084421076038,0.10066084421076038
