,North Dakota,forecast,interval_low,interval_high
2020-01-23,0.0,0.4454301206431038,0.4454301206431038,0.4454301206431038
2020-01-24,0.0,0.40051775514322036,0.40051775514322036,0.40051775514322036
2020-01-25,0.0,0.35326399242819656,0.35326399242819656,0.35326399242819656
2020-01-26,0.0,0.2856482205725671,0.2856482205725671,0.2856482205725671
2020-01-27,0.0,0.25025572437696786,0.25025572437696786,0.25025572437696786
2020-01-28,0.0,0.19920456027549285,0.19920456027549285,0.19920456027549285
2020-01-29,0.0,0.16848137889577608,0.16848137889577608,0.16848137889577608
2020-01-30,0.0,0.1483571445204805,0.1483571445204805,0.1483571445204805
2020-01-31,0.0,0.13443464502806446,0.13443464502806446,0.13443464502806446
2020-02-01,0.0,0.12443457786842355,0.12443457786842355,0.12443457786842355
2020-02-02,0.0,0.11705680114203593,0.11705680114203593,0.11705680114203593
2020-02-03,0.0,0.11150539264060944,0.11150539264060944,0.11150539264060944
2020-02-04,0.0,0.10726601219480786,0.10726601219480786,0.10726601219480786
2020-02-05,0.0,0.10399187508386076,0.10399187508386076,0.10399187508386076
2020-02-06,0.0,0.10144112942051547,0.10144112942051547,0.10144112942051547
2020-02-07,0.0,0.09944045595894507,0.09944045595894507,0.09944045595894507
2020-02-08,0.0,0.09786288612336469,0.09786288612336469,0.09786288612336469
2020-02-09,0.0,0.09661373157124065,0.09661373157124065,0.09661373157124065
2020-02-10,0.0,0.09562134599116845,0.09562134599116845,0.09562134599116845
2020-02-11,0.0,0.09483087543397356,0.09483087543397356,0.09483087543397356
2020-02-12,0.0,0.09419991875448769,0.09419991875448769,0.09419991875448769
2020-02-13,0.0,0.09369544511966527,0.09369544511966527,0.09369544511966527
2020-02-14,0.0,0.09329156075311074,0.09329156075311074,0.09329156075311074
2020-02-15,0.0,0.09296786305463495,0.09296786305463495,0.09296786305463495
2020-02-16,0.0,0.09270820965196996,0.09270820965196996,0.09270820965196996
2020-02-17,0.0,0.0924997861595509,0.0924997861595509,0.0924997861595509
2020-02-18,0.0,0.09233239261594262,0.09233239261594262,0.09233239261594262
2020-02-19,0.0,0.09219789239858928,0.09219789239858928,0.09219789239858928
2020-02-20,0.0,0.09208978342760515,0.09208978342760515,0.09208978342760515
2020-02-21,0.0,0.09200286244391193,0.09200286244391193,0.09200286244391193
2020-02-22,0.0,0.09193296080661606,0.09193296080661606,0.09193296080661606
2020-02-23,0.0,0.09187673569394339,0.09187673569394339,0.09187673569394339
2020-02-24,0.0,0.09183150451740313,0.09183150451740313,0.09183150451740313
2020-02-25,0.0,0.0917951132338598,0.0917951132338598,0.0917951132338598
2020-02-26,0.0,0.09176583137450767,0.09176583137450767,0.09176583137450767
2020-02-27,0.0,0.09174226821352,0.09174226821352,0.09174226821352
2020-02-28,0.0,0.09172330571729509,0.09172330571729509,0.09172330571729509
2020-02-29,0.0,0.0917080448492194,0.0917080448492194,0.0917080448492194
2020-03-01,0.0,0.09169576252684586,0.09169576252684586,0.09169576252684586
2020-03-02,0.0,0.09168587709037845,0.09168587709037845,0.09168587709037845
2020-03-03,0.0,0.09167792058139668,0.09167792058139668,0.09167792058139668
2020-03-04,0.0,0.09167151647702254,0.09167151647702254,0.09167151647702254
2020-03-05,0.0,0.09166636179833676,0.09166636179833676,0.09166636179833676
2020-03-06,0.0,0.09166221272878333,0.09166221272878333,0.09166221272878333
2020-03-07,0.0,0.09165887305078368,0.09165887305078368,0.09165887305078368
2020-03-08,0.0,0.09165618484624027,0.09165618484624027,0.09165618484624027
2020-03-09,0.0,0.09165402101636538,0.09165402101636538,0.09165402101636538
2020-03-10,0.0,0.09165227926404013,0.09165227926404013,0.09165227926404013
2020-03-11,0.0,0.09165087725218701,0.09165087725218701,0.09165087725218701
2020-03-12,0.0,0.09164974870796522,0.09164974870796522,0.09164974870796522
2020-03-13,0.0,0.0916488402877848,0.0916488402877848,0.0916488402877848
2020-03-14,0.0,0.09164810905440429,0.09164810905440429,0.09164810905440429
2020-03-15,0.0,0.09164752044650903,0.09164752044650903,0.09164752044650903
2020-03-16,0.0,0.09164704664456996,0.09164704664456996,0.09164704664456996
2020-03-17,0.0,0.09164666525560033,0.09164666525560033,0.09164666525560033
2020-03-18,0.0,0.09164635825455031,0.09164635825455031,0.09164635825455031
2020-03-19,0.0,0.09164611113224547,0.09164611113224547,0.09164611113224547
2020-03-20,0.0,0.09164591220955953,0.09164591220955953,0.09164591220955953
2020-03-21,0.0,0.09164575208538206,0.09164575208538206,0.09164575208538206
2020-03-22,0.0,0.09164562319227493,0.09164562319227493,0.09164562319227493
2020-03-23,0.0,0.091645519438807,0.091645519438807,0.091645519438807
2020-03-24,0.0,0.0916454359216562,0.0916454359216562,0.0916454359216562
2020-03-25,0.0,0.09164536869386936,0.09164536869386936,0.09164536869386936
2020-03-26,0.0,0.09164531457832459,0.09164531457832459,0.09164531457832459
2020-03-27,1.0,1.0916452710175775,1.0916452710175775,1.0916452710175775
2020-03-28,0.0,0.028625653877835888,0.028625653877835888,0.028625653877835888
2020-03-29,0.0,0.06110611038075864,0.06110611038075864,0.06110611038075864
2020-03-30,1.0,1.1681114872476772,1.1681114872476772,1.1681114872476772
2020-03-31,1.0,1.0726529322664748,1.0726529322664748,1.0726529322664748
2020-04-01,0.0,0.14774562111246997,0.14774562111246997,0.14774562111246997
2020-04-02,0.0,0.2580417623893796,0.2580417623893796,0.2580417623893796
2020-04-03,0.0,0.30911167292926567,0.30911167292926567,0.30911167292926567
2020-04-04,0.0,0.3633907819766913,0.3633907819766913,0.3633907819766913
2020-04-05,0.0,0.42460807641377674,0.42460807641377674,0.42460807641377674
2020-04-06,0.0,0.35966650666745104,0.35966650666745104,0.35966650666745104
2020-04-07,1.0,1.3073912321817982,1.3073912321817982,1.3073912321817982
2020-04-08,0.0,0.2022922188079114,0.2022922188079114,0.2022922188079114
2020-04-09,1.0,1.2009005038049245,1.2009005038049245,1.2009005038049245
2020-04-10,1.0,1.2176206031440668,1.2176206031440668,1.2176206031440668
2020-04-11,1.0,1.132694777095141,1.132694777095141,1.132694777095141
2020-04-12,0.0,0.2971258309453597,0.2971258309453597,0.2971258309453597
2020-04-13,1.0,1.3607617863389145,1.3607617863389145,1.3607617863389145
2020-04-14,0.0,0.4429964134343544,0.4429964134343544,0.4429964134343544
2020-04-15,1.0,1.4913515107121178,1.4913515107121178,1.4913515107121178
2020-04-16,0.0,0.5656405932686751,0.5656405932686751,0.5656405932686751
2020-04-17,0.0,0.4758560400897038,0.4758560400897038,0.4758560400897038
2020-04-18,0.0,0.6161869631438,0.6161869631438,0.6161869631438
2020-04-19,0.0,0.4963547181176232,0.4963547181176232,0.4963547181176232
2020-04-20,0.0,0.5316385391144987,0.5316385391144987,0.5316385391144987
2020-04-21,4.0,4.445821597125879,4.445821597125879,4.445821597125879
2020-04-22,1.0,1.1246641841097744,1.1246641841097744,1.1246641841097744
2020-04-23,1.0,1.1359607382435628,1.1359607382435628,1.1359607382435628
2020-04-24,0.0,0.4886828706447632,0.4886828706447632,0.4886828706447632
2020-04-25,1.0,1.4623826932479298,1.4623826932479298,1.4623826932479298
2020-04-26,1.0,1.867453905963068,1.867453905963068,1.867453905963068
2020-04-27,2.0,2.770002633796724,2.770002633796724,2.770002633796724
2020-04-28,0.0,0.7471126832858438,0.7471126832858438,0.7471126832858438
2020-04-29,0.0,0.7431716256553931,0.7431716256553931,0.7431716256553931
2020-04-30,0.0,0.9148890919956252,0.9148890919956252,0.9148890919956252
2020-05-01,4.0,4.833491660444546,4.833491660444546,4.833491660444546
2020-05-02,1.0,1.6651604457359346,1.6651604457359346,1.6651604457359346
2020-05-03,1.0,1.5710378474872317,1.5710378474872317,1.5710378474872317
2020-05-04,0.0,0.8389019275135656,0.8389019275135656,0.8389019275135656
