,Oklahoma,forecast,interval_low,interval_high
2020-01-23,0.0,0.018700391054153442,-2.956390380859375e-05,0.0896313488483429
2020-01-24,0.0,0.016912931576371193,-0.002291381359100342,0.08415907621383667
2020-01-25,0.0,-0.020573044195771217,-0.1028909683227539,0.002495884895324707
2020-01-26,0.0,-0.00027674436569213867,-0.0013838410377502441,0.001568615436553955
2020-01-27,0.0,-0.02739882469177246,-0.13387084007263184,-0.00018107891082763672
2020-01-28,0.0,0.02073555625975132,-0.010690569877624512,0.10683181881904602
2020-01-29,0.0,-0.027286063879728317,-0.07440227270126343,0.0004169344902038574
2020-01-30,0.0,0.022162580862641335,-0.001063227653503418,0.0747268795967102
2020-01-31,0.0,0.0001565933198435232,-0.00048679113388061523,0.0010935962200164795
2020-02-01,0.0,-0.00014735459990333766,-0.00041741132736206055,0.00020179152488708496
2020-02-02,0.0,0.015957731753587723,-0.0007513165473937988,0.07969778776168823
2020-02-03,0.0,-0.03462256118655205,-0.1593637466430664,0.0005743503570556641
2020-02-04,0.0,0.04499085620045662,-9.340047836303711e-05,0.2222909927368164
2020-02-05,0.0,0.0008852601167745888,-0.0017532110214233398,0.005584299564361572
2020-02-06,0.0,-0.003422599984332919,-0.014881670475006104,0.0005093514919281006
2020-02-07,0.0,0.021765530109405518,-0.00034350156784057617,0.10512590408325195
2020-02-08,0.0,-0.000523859285749495,-0.004244446754455566,0.0031363964080810547
2020-02-09,0.0,0.0011559843551367521,-0.002912461757659912,0.008280038833618164
2020-02-10,0.0,0.02589886263012886,-0.00038760900497436523,0.06668740510940552
2020-02-11,0.0,-0.0005605518817901611,-0.004158198833465576,0.001584380865097046
2020-02-12,0.0,0.004487114958465099,-0.0008752346038818359,0.010526120662689209
2020-02-13,0.0,-0.01073832530528307,-0.03907400369644165,0.00019103288650512695
2020-02-14,0.0,0.0066609145142138,-0.0016975998878479004,0.03358611464500427
2020-02-15,0.0,-0.002760982606559992,-0.016404449939727783,0.0036834776401519775
2020-02-16,0.0,0.0028923689387738705,-0.004613101482391357,0.01987391710281372
2020-02-17,0.0,-0.00011184811592102051,-0.0009605288505554199,0.0007395744323730469
2020-02-18,0.0,0.021033411845564842,-0.0061078667640686035,0.11470302939414978
2020-02-19,0.0,0.004138773772865534,0.0015707015991210938,0.009391456842422485
2020-02-20,0.0,0.3650692403316498,-0.004996180534362793,1.5945686101913452
2020-02-21,0.0,-0.0023016096092760563,-0.031375765800476074,0.02222353219985962
2020-02-22,0.0,-0.10824809968471527,-0.535387396812439,0.00098341703414917
2020-02-23,0.0,0.020760828629136086,-0.0005095005035400391,0.09920856356620789
2020-02-24,0.0,-0.005282747559249401,-0.021072804927825928,-0.00013744831085205078
2020-02-25,0.0,0.019052714109420776,0.0027385056018829346,0.05334314703941345
2020-02-26,0.0,-0.009470445103943348,-0.039853036403656006,0.003338068723678589
2020-02-27,0.0,0.01132628321647644,-0.03881019353866577,0.09286031126976013
2020-02-28,0.0,-0.014268356375396252,-0.06933552026748657,0.0007869601249694824
2020-02-29,0.0,0.0010561824310570955,-0.0018763542175292969,0.0033629536628723145
2020-03-01,0.0,0.00020413399033714086,-0.0003968477249145508,0.0011275708675384521
2020-03-02,0.0,0.0023976743686944246,-0.0005650520324707031,0.012520164251327515
2020-03-03,0.0,0.02037547156214714,0.0004520118236541748,0.09774342179298401
2020-03-04,0.0,-0.0026929795276373625,-0.005777478218078613,0.0007334649562835693
2020-03-05,0.0,-0.03395109623670578,-0.16993045806884766,0.0006621181964874268
2020-03-06,0.0,0.0015702784294262528,-0.0007514357566833496,0.008152991533279419
2020-03-07,0.0,0.002178919268772006,-0.0007464885711669922,0.008041620254516602
2020-03-08,0.0,-8.171200897777453e-05,-0.001888573169708252,0.0018672049045562744
2020-03-09,0.0,0.013354944996535778,-0.0023430585861206055,0.07094922661781311
2020-03-10,0.0,0.0006887138006277382,-0.0014357566833496094,0.002626657485961914
2020-03-11,0.0,0.000678586948197335,-0.0013384819030761719,0.003598541021347046
2020-03-12,0.0,0.00565336924046278,-0.004871785640716553,0.02636510133743286
2020-03-13,0.0,-0.0021966814529150724,-0.009475111961364746,0.002659738063812256
2020-03-14,0.0,-7.050037675071508e-05,-0.003340423107147217,0.001221686601638794
2020-03-15,0.0,0.000683945429045707,-0.002322256565093994,0.0025498569011688232
2020-03-16,0.0,-0.004399204161018133,-0.02629941701889038,0.0038533806800842285
2020-03-17,0.0,0.03731006383895874,-0.00213015079498291,0.12322235107421875
2020-03-18,0.0,0.45816174149513245,0.0028458833694458008,0.9854803085327148
2020-03-19,1.0,0.7507243752479553,-0.2329232096672058,0.9998801350593567
2020-03-20,0.0,-0.04700915142893791,-0.24134105443954468,0.004890531301498413
