,District of Columbia,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,0.13330671191215515,0.0,4.492083549499512
2020-02-03,0.0,0.5124403238296509,0.0,6.370883941650391
2020-02-04,0.0,1.2385461330413818,0.0,6.625778675079346
2020-02-05,0.0,1.6490548849105835,0.0,9.106735229492188
2020-02-06,0.0,2.132697105407715,0.0,9.568521499633789
2020-02-07,0.0,3.2699577808380127,0.0,10.602737426757812
2020-02-08,0.0,4.182273864746094,0.49969932436943054,11.623356819152832
2020-02-09,0.0,0.13330671191215515,0.0,4.492083549499512
2020-02-10,0.0,0.5124403238296509,0.0,6.370883941650391
2020-02-11,0.0,1.2385461330413818,0.0,6.625778675079346
2020-02-12,0.0,1.6490548849105835,0.0,9.106735229492188
2020-02-13,0.0,2.132697105407715,0.0,9.568521499633789
2020-02-14,0.0,3.2699577808380127,0.0,10.602737426757812
2020-02-15,0.0,4.182273864746094,0.49969932436943054,11.623356819152832
2020-02-16,0.0,0.13330671191215515,0.0,4.492083549499512
2020-02-17,0.0,0.5124403238296509,0.0,6.370883941650391
2020-02-18,0.0,1.2385461330413818,0.0,6.625778675079346
2020-02-19,0.0,1.6490548849105835,0.0,9.106735229492188
2020-02-20,0.0,2.132697105407715,0.0,9.568521499633789
2020-02-21,0.0,3.2699577808380127,0.0,10.602737426757812
2020-02-22,0.0,4.182273864746094,0.49969932436943054,11.623356819152832
2020-02-23,0.0,0.13330671191215515,0.0,4.492083549499512
2020-02-24,0.0,0.5124403238296509,0.0,6.370883941650391
2020-02-25,0.0,1.2385461330413818,0.0,6.625778675079346
2020-02-26,0.0,1.6490548849105835,0.0,9.106735229492188
2020-02-27,0.0,2.132697105407715,0.0,9.568521499633789
2020-02-28,0.0,3.2699577808380127,0.0,10.602737426757812
2020-02-29,0.0,4.182273864746094,0.49969932436943054,11.623356819152832
2020-03-01,0.0,0.13330671191215515,0.0,4.492083549499512
2020-03-02,0.0,0.5124403238296509,0.0,6.370883941650391
2020-03-03,0.0,1.2385461330413818,0.0,6.625778675079346
2020-03-04,0.0,1.6490548849105835,0.0,9.106735229492188
2020-03-05,0.0,2.132697105407715,0.0,9.568521499633789
2020-03-06,0.0,3.2699577808380127,0.0,10.602737426757812
2020-03-07,0.0,4.182273864746094,0.49969932436943054,11.623356819152832
2020-03-08,0.0,0.13330671191215515,0.0,4.492083549499512
