,Arkansas,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,0.03181433212522756,0.03181433212522756,0.03181433212522756
2020-01-25,0.0,0.043800072239808946,0.043800072239808946,0.043800072239808946
2020-01-26,0.0,0.06024777635460135,0.06024777635460135,0.06024777635460135
2020-01-27,0.0,0.07072870257503215,0.07072870257503215,0.07072870257503215
2020-01-28,0.0,0.08140844144649326,0.08140844144649326,0.08140844144649326
2020-01-29,0.0,0.10621516217420698,0.10621516217420698,0.10621516217420698
2020-01-30,0.0,0.1286257510523706,0.1286257510523706,0.1286257510523706
2020-01-31,0.0,0.1482927865131671,0.1482927865131671,0.1482927865131671
2020-02-01,0.0,0.1651175541332059,0.1651175541332059,0.1651175541332059
2020-02-02,0.0,0.17919964211514056,0.17919964211514056,0.17919964211514056
2020-02-03,0.0,0.19077211355904367,0.19077211355904367,0.19077211355904367
2020-02-04,0.0,0.20013983599783355,0.20013983599783355,0.20013983599783355
2020-02-05,0.0,0.2076306886310428,0.2076306886310428,0.2076306886310428
2020-02-06,0.0,0.21356235426592488,0.21356235426592488,0.21356235426592488
2020-02-07,0.0,0.21822306142062717,0.21822306142062717,0.21822306142062717
2020-02-08,0.0,0.2218628541214229,0.2218628541214229,0.2218628541214229
2020-02-09,0.0,0.22469183705070409,0.22469183705070409,0.22469183705070409
2020-02-10,0.0,0.22688248893342666,0.22688248893342666,0.22688248893342666
2020-02-11,0.0,0.2285739759883595,0.2285739759883595,0.2285739759883595
2020-02-12,0.0,0.22987714351588628,0.22987714351588628,0.22987714351588628
2020-02-13,0.0,0.23087942369465758,0.23087942369465758,0.23087942369465758
2020-02-14,0.0,0.2316492747664362,0.2316492747664362,0.2316492747664362
2020-02-15,0.0,0.2322399998355226,0.2322399998355226,0.2322399998355226
2020-02-16,0.0,0.23269292585593887,0.23269292585593887,0.23269292585593887
2020-02-17,0.0,0.23303999089913158,0.23303999089913158,0.23303999089913158
2020-02-18,0.0,0.23330581634896694,0.23330581634896694,0.23330581634896694
2020-02-19,0.0,0.23350934738527124,0.23350934738527124,0.23350934738527124
2020-02-20,0.0,0.23366514064114974,0.23366514064114974,0.23366514064114974
2020-02-21,0.0,0.23378436851775392,0.23378436851775392,0.23378436851775392
2020-02-22,0.0,0.2338755987885831,0.2338755987885831,0.2338755987885831
2020-02-23,0.0,0.23394539760929617,0.23394539760929617,0.23394539760929617
2020-02-24,0.0,0.23399879467537602,0.23399879467537602,0.23399879467537602
2020-02-25,0.0,0.23403964130705524,0.23403964130705524,0.23403964130705524
2020-02-26,0.0,0.2340708856794501,0.2340708856794501,0.2340708856794501
2020-02-27,0.0,0.23409478411877196,0.23409478411877196,0.23409478411877196
2020-02-28,0.0,0.2341130631697581,0.2341130631697581,0.2341130631697581
2020-02-29,0.0,0.2341270438184218,0.2341270438184218,0.2341270438184218
2020-03-01,0.0,0.2341377366573608,0.2341377366573608,0.2341377366573608
2020-03-02,0.0,0.23414591476137003,0.23414591476137003,0.23414591476137003
2020-03-03,0.0,0.23415216947699874,0.23415216947699874,0.23415216947699874
2020-03-04,0.0,0.23415695312198304,0.23415695312198304,0.23415695312198304
2020-03-05,0.0,0.2341606116601047,0.2341606116601047,0.2341606116601047
2020-03-06,0.0,0.23416340970153904,0.23416340970153904,0.23416340970153904
2020-03-07,0.0,0.2341655496292471,0.2341655496292471,0.2341655496292471
2020-03-08,0.0,0.2341671862303601,0.2341671862303601,0.2341671862303601
2020-03-09,0.0,0.23416843788827155,0.23416843788827155,0.23416843788827155
2020-03-10,0.0,0.23416939514348753,0.23416939514348753,0.23416939514348753
2020-03-11,0.0,0.23417012724160166,0.23417012724160166,0.23417012724160166
2020-03-12,0.0,0.2341706871415368,0.2341706871415368,0.2341706871415368
2020-03-13,0.0,0.23417111534603677,0.23417111534603677,0.23417111534603677
2020-03-14,0.0,0.23417144283132324,0.23417144283132324,0.23417144283132324
2020-03-15,0.0,0.23417169328774473,0.23417169328774473,0.23417169328774473
2020-03-16,0.0,0.23417188483344475,0.23417188483344475,0.23417188483344475
2020-03-17,0.0,0.23417203132498107,0.23417203132498107,0.23417203132498107
2020-03-18,0.0,0.2341721433596865,0.2341721433596865,0.2341721433596865
2020-03-19,0.0,0.2341722290422706,0.2341722290422706,0.2341722290422706
2020-03-20,0.0,0.2341722945711115,0.2341722945711115,0.2341722945711115
2020-03-21,0.0,0.2341723446866474,0.2341723446866474,0.2341723446866474
2020-03-22,0.0,0.23417238301430193,0.23417238301430193,0.23417238301430193
2020-03-23,0.0,0.23417241232674968,0.23417241232674968,0.23417241232674968
2020-03-24,2.0,2.234172434744494,2.234172434744494,2.234172434744494
2020-03-25,0.0,0.0,0.0,0.0
2020-03-26,0.0,0.14136261359064317,0.14136261359064317,0.14136261359064317
2020-03-27,1.0,1.4513336322006618,1.4513336322006618,1.4513336322006618
2020-03-28,2.0,1.4408468686416418,1.4408468686416418,1.4408468686416418
2020-03-29,1.0,0.0,0.0,0.0
2020-03-30,1.0,0.8190917639944744,0.8190917639944744,0.8190917639944744
2020-03-31,1.0,0.8885948212745708,0.8885948212745708,0.8885948212745708
2020-04-01,2.0,1.6765415427741122,1.6765415427741122,1.6765415427741122
2020-04-02,2.0,0.9775470344391133,0.9775470344391133,0.9775470344391133
2020-04-03,0.0,0.0,0.0,0.0
2020-04-04,2.0,2.9778638301002367,2.9778638301002367,2.9778638301002367
2020-04-05,2.0,1.5113886257554703,1.5113886257554703,1.5113886257554703
2020-04-06,0.0,0.0,0.0,0.0
