,Florida,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,,,
2020-02-03,0.0,2.8810088634490967,1.8309502601623535,4.215297698974609
2020-02-04,0.0,2.414141893386841,1.347204327583313,3.3658132553100586
2020-02-05,0.0,1.7910293340682983,0.1953033208847046,2.702500820159912
2020-02-06,0.0,1.7058515548706055,0.663438081741333,3.1712772846221924
2020-02-07,0.0,2.5290331840515137,2.3460919857025146,2.65663480758667
2020-02-08,0.0,3.296145439147949,1.9911775588989258,4.593937873840332
2020-02-09,0.0,4.138761043548584,3.366291046142578,4.875679016113281
2020-02-10,0.0,2.8810088634490967,1.8309502601623535,4.215297698974609
2020-02-11,0.0,2.414141893386841,1.347204327583313,3.3658132553100586
2020-02-12,0.0,1.7910293340682983,0.1953033208847046,2.702500820159912
2020-02-13,0.0,1.7058515548706055,0.663438081741333,3.1712772846221924
2020-02-14,0.0,2.5290331840515137,2.3460919857025146,2.65663480758667
2020-02-15,0.0,3.296145439147949,1.9911775588989258,4.593937873840332
2020-02-16,0.0,4.138761043548584,3.366291046142578,4.875679016113281
2020-02-17,0.0,2.8810088634490967,1.8309502601623535,4.215297698974609
2020-02-18,0.0,2.414141893386841,1.347204327583313,3.3658132553100586
2020-02-19,0.0,1.7910293340682983,0.1953033208847046,2.702500820159912
2020-02-20,0.0,1.7058515548706055,0.663438081741333,3.1712772846221924
2020-02-21,0.0,2.5290331840515137,2.3460919857025146,2.65663480758667
2020-02-22,0.0,3.296145439147949,1.9911775588989258,4.593937873840332
2020-02-23,0.0,4.138761043548584,3.366291046142578,4.875679016113281
2020-02-24,0.0,2.8810088634490967,1.8309502601623535,4.215297698974609
2020-02-25,0.0,2.414141893386841,1.347204327583313,3.3658132553100586
2020-02-26,0.0,1.7910293340682983,0.1953033208847046,2.702500820159912
2020-02-27,0.0,1.7058515548706055,0.663438081741333,3.1712772846221924
2020-02-28,0.0,2.5290331840515137,2.3460919857025146,2.65663480758667
2020-02-29,0.0,3.296145439147949,1.9911775588989258,4.593937873840332
2020-03-01,0.0,4.138761043548584,3.366291046142578,4.875679016113281
2020-03-02,0.0,2.8810088634490967,1.8309502601623535,4.215297698974609
2020-03-03,0.0,2.414141893386841,1.347204327583313,3.3658132553100586
2020-03-04,0.0,1.7910293340682983,0.1953033208847046,2.702500820159912
2020-03-05,0.0,1.7058515548706055,0.663438081741333,3.1712772846221924
2020-03-06,0.0,2.5290331840515137,2.3460919857025146,2.65663480758667
2020-03-07,0.0,3.296145439147949,1.9911775588989258,4.593937873840332
2020-03-08,2.0,4.138761043548584,3.366291046142578,4.875679016113281
2020-03-09,0.0,2.8810088634490967,1.8309502601623535,4.215297698974609
2020-03-10,0.0,2.414141893386841,1.347204327583313,3.3658132553100586
2020-03-11,0.0,1.7910293340682983,0.1953033208847046,2.702500820159912
2020-03-12,0.0,1.7058515548706055,0.663438081741333,3.1712772846221924
2020-03-13,0.0,2.5290331840515137,2.3460919857025146,2.65663480758667
2020-03-14,0.0,3.296145439147949,1.9911775588989258,4.593937873840332
2020-03-15,1.0,4.138761043548584,3.366291046142578,4.875679016113281
2020-03-16,0.0,3.1078131198883057,2.0580687522888184,4.445744514465332
2020-03-17,2.0,2.656791925430298,1.5882154703140259,3.658489227294922
2020-03-18,2.0,2.0550966262817383,0.4053630828857422,3.0121071338653564
2020-03-19,2.0,2.06735897064209,1.0225173234939575,3.5699408054351807
2020-03-20,2.0,2.930666208267212,2.7268288135528564,3.0770225524902344
2020-03-21,2.0,3.6488149166107178,2.3269214630126953,4.977288722991943
2020-03-22,0.0,4.41718053817749,3.597126007080078,5.175858497619629
2020-03-23,5.0,3.2670719623565674,2.1609442234039307,4.616230487823486
2020-03-24,0.0,2.6522622108459473,1.6060436964035034,3.593216896057129
2020-03-25,5.0,2.1133010387420654,0.545472264289856,2.976746082305908
2020-03-26,6.0,2.3412539958953857,1.2766424417495728,3.771639823913574
2020-03-27,6.0,3.4203293323516846,3.2584638595581055,3.597550868988037
2020-03-28,19.0,4.536915302276611,3.202578067779541,5.926469802856445
2020-03-29,2.0,5.278689384460449,4.559163570404053,5.934756278991699
2020-03-30,7.0,4.772605895996094,3.7062103748321533,6.105397701263428
2020-03-31,22.0,3.982088088989258,3.034113645553589,4.921013355255127
2020-04-01,2.0,3.2465083599090576,1.6467580795288086,4.11515474319458
2020-04-02,77.0,3.458544969558716,2.3318123817443848,5.038233280181885
2020-04-03,6.0,4.588364124298096,4.3128485679626465,4.903035640716553
2020-04-04,25.0,6.002525806427002,4.59018611907959,7.480113983154297
2020-04-05,26.0,6.9462738037109375,6.181497573852539,7.6657538414001465
2020-04-06,15.0,10.710562705993652,9.765726089477539,12.025193214416504
2020-04-07,47.0,9.751240730285645,8.987031936645508,11.272181510925293
2020-04-08,26.0,9.104741096496582,6.9242472648620605,10.41569709777832
2020-04-09,45.0,10.64538288116455,9.316889762878418,12.951493263244629
2020-04-10,36.0,12.60723876953125,11.922669410705566,13.384163856506348
2020-04-11,48.0,14.124740600585938,12.351710319519043,16.16339683532715
2020-04-12,23.0,14.348212242126465,13.001184463500977,15.36014175415039
2020-04-13,38.0,38.243194580078125,36.12714385986328,39.68935012817383
2020-04-14,72.0,35.93973159790039,34.78782272338867,37.00003433227539
