,South Dakota,forecast,interval_low,interval_high
2020-03-29,90.0,7792.582292233033,,
2020-03-30,101.0,7783.212709071821,,
2020-03-31,108.0,7790.594878016231,,
2020-04-01,129.0,7789.908516554332,,
2020-04-02,165.0,7786.598044702321,,
2020-04-03,187.0,7782.179299777517,,
2020-04-04,212.0,7792.171491498265,,
2020-04-05,240.0,7788.326135592097,,
2020-04-06,288.0,7783.696002504935,,
2020-04-07,320.0,7776.597880883554,,
2020-04-08,393.0,7798.537897715451,,
2020-04-09,447.0,7776.113664934987,,
2020-04-10,536.0,7785.29339604134,,
2020-04-11,626.0,7764.176639099542,,
2020-04-12,730.0,7789.531738712953,,
2020-04-13,868.0,7773.456981717339,,
2020-04-14,988.0,7767.279024735256,,
2020-04-15,1168.0,7782.771140111718,,
2020-04-16,1311.0,7758.709372167924,,
2020-04-17,1411.0,7792.184075345527,,
2020-04-18,1542.0,7789.173325107465,,
2020-04-19,1635.0,7787.564089699122,,
2020-04-20,1685.0,7806.403951073073,,
2020-04-21,1755.0,7815.730031780717,,
2020-04-22,1858.0,7813.675288862697,,
2020-04-23,1956.0,7781.75530161717,,
2020-04-24,2040.0,7785.649656535512,,
2020-04-25,2147.0,7805.82810067528,,
2020-04-26,2212.0,7777.022920477544,,
2020-04-27,2244.0,7781.229120840431,,
2020-04-28,2313.0,7806.8269613918355,,
2020-04-29,2373.0,7807.927810254011,,
2020-04-30,2449.0,7795.017033052252,,
2020-05-01,2525.0,7780.006210705434,,
2020-05-02,2588.0,7800.885683848479,,
2020-05-03,2631.0,7783.813116130406,,
2020-05-04,2668.0,7785.45673907481,,
2020-05-05,2721.0,7800.197554141412,,
2020-05-06,2780.0,7798.0053174743325,,
2020-05-07,2906.0,7792.464499971682,,
2020-05-08,3145.0,7764.445643032672,,
2020-05-09,3393.0,7736.243320611776,,
2020-05-10,3517.0,7746.364769894181,,
2020-05-11,3614.0,7790.232153865964,,
2020-05-12,3663.0,7779.799151273386,,
2020-05-13,3732.0,7806.703963088139,,
2020-05-14,3792.0,7820.797615513608,,
2020-05-15,3887.0,7863.831960467986,,
2020-05-16,3959.0,7792.494173813577,,
2020-05-17,3987.0,7769.76760575991,,
2020-05-18,4027.0,7793.849658550336,,
2020-05-19,4085.0,7807.51165293397,,
2020-05-20,4177.0,7791.400663877456,,
2020-05-21,4177.0,7774.033504414252,,
2020-05-22,4356.0,7829.522877061495,,
2020-05-23,4464.0,7728.542962804381,,
2020-05-24,4563.0,7788.74666460583,,
2020-05-25,4586.0,7764.235807456305,,
2020-05-26,4653.0,7841.07693738599,,
2020-05-27,4710.0,7758.887412513424,,
2020-05-28,4793.0,7795.63075730004,,
2020-05-29,4866.0,7818.751076822495,,
2020-05-30,4960.0,7812.484539504767,,
2020-05-31,4993.0,7747.101411139149,,
2020-06-01,5034.0,7790.619522463287,,
2020-06-02,5067.0,7807.18468621932,,
2020-06-03,5162.0,7813.847579524305,,
2020-06-04,5247.0,7761.675069421846,,
2020-06-05,5277.0,7795.22999607851,,
2020-06-06,5367.0,7808.348856421462,,
2020-06-07,5438.0,7762.053623467367,,
2020-06-08,5471.0,7779.224723366504,,
2020-06-09,5523.0,7805.311550088351,,
2020-06-10,5604.0,7814.497646469731,,
2020-06-11,5665.0,7770.943711291168,,
2020-06-12,5742.0,7777.037595653449,,
2020-06-13,5833.0,7801.571596189875,,
2020-06-14,5898.0,7789.215713105179,,
2020-06-15,5928.0,7770.498982206935,,
2020-06-16,5966.0,7801.051236317826,,
2020-06-17,6050.0,7809.65630267135,,
2020-06-18,6109.0,7778.759449871518,,
2020-06-19,6158.0,7794.629785436829,,
2020-06-20,6225.0,7800.348510785341,,
2020-06-21,6297.0,7782.896109165837,,
2020-06-22,6326.0,7768.134605217069,,
2020-06-23,6353.0,7807.777535657661,,
2020-06-24,6419.0,7812.188683146778,,
2020-06-25,6479.0,7776.277676703308,,
2020-06-26,6535.0,7779.657652250182,,
2020-06-27,6626.0,7802.000038604125,,
2020-06-28,6681.0,7784.012150163702,,
2020-06-29,6716.0,7775.6100982544685,,
2020-06-30,6764.0,7787.5231888946555,,
2020-07-01,6826.0,7808.450467621603,,
2020-07-02,6893.0,7787.752462561536,,
2020-07-03,6978.0,7783.438134945975,,
2020-07-04,7028.0,7789.211953374745,,
2020-07-05,7063.0,7794.8142439172625,,
2020-07-06,7105.0,7782.203051328329,,
2020-07-07,7163.0,7794.345722237311,,
2020-07-08,7242.0,7795.819870872228,,
2020-07-09,7336.0,7790.038253741299,,
2020-07-10,7401.0,7780.2413074398,,
2020-07-11,7454.0,7782.822962664327,,
2020-07-12,7499.0,7783.688267575147,,
2020-07-13,7524.0,7797.1560977153185,,
2020-07-14,7572.0,7805.593537225946,,
2020-07-15,7652.0,7797.225295084806,,
2020-07-16,7694.0,7786.554311854893,,
2020-07-17,7789.0,7793.9202838369,,
2020-07-18,7862.0,7767.13641937989,,
2020-07-19,,7936.187915587181,7885.335067086139,7987.040764088223
2020-07-20,,7995.171846905989,7897.614105020364,8092.729588791613
2020-07-21,,8068.496685418406,7917.724223710263,8219.269147126548
2020-07-22,,8137.695227453544,7934.00182430768,8341.388630599407
2020-07-23,,8206.235430933471,7948.365486117022,8464.105375749921
2020-07-24,,8280.542022189635,7971.787319843915,8589.296724535354
2020-07-25,,8359.093890581024,7996.244385676095,8721.943395485952
