,South Carolina,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.2240351082550119,0.2240351082550119,0.2240351082550119
2020-01-26,0.0,0.38423799538870573,0.38423799538870573,0.38423799538870573
2020-01-27,0.0,0.613795744660701,0.613795744660701,0.613795744660701
2020-01-28,0.0,0.7042670721720619,0.7042670721720619,0.7042670721720619
2020-01-29,0.0,0.853050292043553,0.853050292043553,0.853050292043553
2020-01-30,0.0,1.1503256272205866,1.1503256272205866,1.1503256272205866
2020-01-31,0.0,1.5268596739770515,1.5268596739770515,1.5268596739770515
2020-02-01,0.0,1.954737305451528,1.954737305451528,1.954737305451528
2020-02-02,0.0,2.4160746741835126,2.4160746741835126,2.4160746741835126
2020-02-03,0.0,2.8978386194276062,2.8978386194276062,2.8978386194276062
2020-02-04,0.0,3.3903686278298966,3.3903686278298966,3.3903686278298966
2020-02-05,0.0,3.886579263882415,3.886579263882415,3.886579263882415
2020-02-06,0.0,4.381332443626464,4.381332443626464,4.381332443626464
2020-02-07,0.0,4.870917681034558,4.870917681034558,4.870917681034558
2020-02-08,0.0,5.352643335595393,5.352643335595393,5.352643335595393
2020-02-09,0.0,5.824534175660249,5.824534175660249,5.824534175660249
2020-02-10,0.0,6.2851187137104825,6.2851187137104825,6.2851187137104825
2020-02-11,0.0,6.733285319463776,6.733285319463776,6.733285319463776
2020-02-12,0.0,7.168187401691312,7.168187401691312,7.168187401691312
2020-02-13,0.0,7.589181760283799,7.589181760283799,7.589181760283799
2020-02-14,0.0,7.995788418397365,7.995788418397365,7.995788418397365
2020-02-15,0.0,8.387663867444427,8.387663867444427,8.387663867444427
2020-02-16,0.0,8.764582417859174,8.764582417859174,8.764582417859174
2020-02-17,0.0,9.126422300979431,9.126422300979431,9.126422300979431
2020-02-18,0.0,9.473154479922721,9.473154479922721,9.473154479922721
2020-02-19,0.0,9.80483297637243,9.80483297637243,9.80483297637243
2020-02-20,0.0,10.121586051832345,10.121586051832345,10.121586051832345
2020-02-21,0.0,10.423607904474835,10.423607904474835,10.423607904474835
2020-02-22,0.0,10.711150731494724,10.711150731494724,10.711150731494724
2020-02-23,0.0,10.98451711208475,10.98451711208475,10.98451711208475
2020-02-24,0.0,11.24405272028605,11.24405272028605,11.24405272028605
2020-02-25,0.0,11.490139400671172,11.490139400671172,11.490139400671172
2020-02-26,0.0,11.723188645975505,11.723188645975505,11.723188645975505
2020-02-27,0.0,11.943635512352344,11.943635512352344,11.943635512352344
2020-02-28,0.0,12.151932999723792,12.151932999723792,12.151932999723792
2020-02-29,0.0,12.348546914628969,12.348546914628969,12.348546914628969
2020-03-01,0.0,12.533951222723514,12.533951222723514,12.533951222723514
2020-03-02,0.0,12.708623888603064,12.708623888603064,12.708623888603064
2020-03-03,0.0,12.8730431923894,12.8730431923894,12.8730431923894
2020-03-04,0.0,13.02768450572933,13.02768450572933,13.02768450572933
2020-03-05,0.0,13.173017504537789,13.173017504537789,13.173017504537789
2020-03-06,0.0,13.309503791891169,13.309503791891169,13.309503791891169
2020-03-07,2.0,15.437594901811888,15.437594901811888,15.437594901811888
2020-03-08,0.0,9.94444899194421,9.94444899194421,9.94444899194421
2020-03-09,1.0,17.420254470003233,17.420254470003233,17.420254470003233
2020-03-10,4.0,16.25819941711641,16.25819941711641,16.25819941711641
2020-03-11,3.0,10.561603532224463,10.561603532224463,10.561603532224463
2020-03-12,-3.0,11.54528199423854,11.54528199423854,11.54528199423854
2020-03-13,1.0,25.50323290977951,25.50323290977951,25.50323290977951
2020-03-14,11.0,19.17794958717611,19.17794958717611,19.17794958717611
2020-03-15,0.0,0.0,0.0,0.0
2020-03-16,11.0,43.08669990537098,43.08669990537098,43.08669990537098
2020-03-17,17.0,13.788722944094385,13.788722944094385,13.788722944094385
2020-03-18,13.0,9.350185024839172,9.350185024839172,9.350185024839172
2020-03-19,20.0,38.05841926982187,38.05841926982187,38.05841926982187
2020-03-20,46.0,45.27356884935044,45.27356884935044,45.27356884935044
2020-03-21,48.0,8.389263573510448,8.389263573510448,8.389263573510448
2020-03-22,22.0,19.780714919888158,19.780714919888158,19.780714919888158
2020-03-23,102.0,153.7808118987973,153.7808118987973,153.7808118987973
2020-03-24,44.0,0.0,0.0,0.0
2020-03-25,82.0,166.54432881162649,166.54432881162649,166.54432881162649
2020-03-26,0.0,0.0,0.0,0.0
2020-03-27,118.0,253.94037622664433,253.94037622664433,253.94037622664433
2020-03-28,118.0,0.0,0.0,0.0
2020-03-29,114.0,102.7514928274686,102.7514928274686,102.7514928274686
2020-03-30,151.0,183.2894606076428,183.2894606076428,183.2894606076428
2020-03-31,158.0,83.10220321090283,83.10220321090283,83.10220321090283
2020-04-01,210.0,174.0588930475566,174.0588930475566,174.0588930475566
2020-04-02,261.0,169.38664793549387,169.38664793549387,169.38664793549387
2020-04-03,146.0,36.824810109634896,36.824810109634896,36.824810109634896
2020-04-04,217.0,402.4962870367297,402.4962870367297,402.4962870367297
2020-04-05,132.0,39.689489401797076,39.689489401797076,39.689489401797076
2020-04-06,183.0,330.2583548407314,330.2583548407314,330.2583548407314
2020-04-07,185.0,186.6515115571467,186.6515115571467,186.6515115571467
2020-04-08,0.0,41.54747967620648,41.54747967620648,41.54747967620648
2020-04-09,376.0,772.6685442873118,772.6685442873118,772.6685442873118
2020-04-10,274.0,0.0,0.0,0.0
2020-04-11,144.0,250.22052738891992,250.22052738891992,250.22052738891992
2020-04-12,109.0,409.8472443894419,409.8472443894419,409.8472443894419
