,Colorado,forecast,interval_low,interval_high
2020-03-29,2308.0,39300.32305782576,,
2020-03-30,2627.0,39351.6312812824,,
2020-03-31,2966.0,39294.362544222095,,
2020-04-01,3342.0,39306.97817533278,,
2020-04-02,3728.0,39315.003312553745,,
2020-04-03,4173.0,39333.03136653492,,
2020-04-04,4565.0,39290.255586646854,,
2020-04-05,4950.0,39314.648334903446,,
2020-04-06,5183.0,39313.57880500894,,
2020-04-07,5429.0,39408.81619339064,,
2020-04-08,5655.0,39388.660300088646,,
2020-04-09,6202.0,39396.88475921891,,
2020-04-10,6513.0,39204.221066242644,,
2020-04-11,6893.0,39376.49193600964,,
2020-04-12,7307.0,39303.08840118325,,
2020-04-13,7696.0,39266.13924123938,,
2020-04-14,7950.0,39276.16081477668,,
2020-04-15,8280.0,39415.5594461231,,
2020-04-16,8675.0,39384.61194711945,,
2020-04-17,9047.0,39339.12675423684,,
2020-04-18,9440.0,39333.378333451576,,
2020-04-19,9730.0,39300.452638639246,,
2020-04-20,10112.0,39335.99566439277,,
2020-04-21,10473.0,39274.471567766166,,
2020-04-22,10891.0,39330.66546234893,,
2020-04-23,11278.0,39335.908434980876,,
2020-04-24,12256.0,39375.354895649645,,
2020-04-25,12968.0,39019.23091942911,,
2020-04-26,13441.0,39247.227061380785,,
2020-04-27,13879.0,39397.72716337453,,
2020-04-28,14316.0,39396.409229887686,,
2020-04-29,14758.0,39350.84023254359,,
2020-04-30,15284.0,39403.8073735105,,
2020-05-01,15793.0,39403.16921561045,,
2020-05-02,16225.0,39383.08119070697,,
2020-05-03,16635.0,39336.964523630835,,
2020-05-04,16918.0,39270.80082672282,,
2020-05-05,17367.0,39333.72886177214,,
2020-05-06,17832.0,39291.55228456017,,
2020-05-07,18370.0,39376.880444990406,,
2020-05-08,18827.0,39363.91825552243,,
2020-05-09,19375.0,39374.50877307282,,
2020-05-10,19703.0,39224.294542224365,,
2020-05-11,19879.0,39323.91222407515,,
2020-05-12,20157.0,39420.256411131966,,
2020-05-13,20475.0,39402.90182127713,,
2020-05-14,20838.0,39410.54636661285,,
2020-05-15,21232.0,39385.344812030155,,
2020-05-16,21633.0,39311.68405449578,,
2020-05-17,21938.0,39225.861233153366,,
2020-05-18,22202.0,39260.893237943485,,
2020-05-19,22482.0,39328.06895331022,,
2020-05-20,22797.0,39392.363421927905,,
2020-05-21,23191.0,39418.11298173038,,
2020-05-22,23487.0,39361.8317092302,,
2020-05-23,23964.0,39356.1835390524,,
2020-05-24,24174.0,39175.58592102619,,
2020-05-25,24256.0,39335.3306605022,,
2020-05-26,24552.0,39426.73332689827,,
2020-05-27,24754.0,39343.72169495363,,
2020-05-28,25107.0,39426.85449681613,,
2020-05-29,25598.0,39334.624194862445,,
2020-05-30,26084.0,39222.38231418946,,
2020-05-31,26364.0,39182.42282552013,,
2020-06-01,26563.0,39319.98645744555,,
2020-06-02,26774.0,39385.650436701006,,
2020-06-03,27046.0,39409.92470664969,,
2020-06-04,27346.0,39408.6098884289,,
2020-06-05,27601.0,39400.519562873444,,
2020-06-06,27834.0,39366.079711900216,,
2020-06-07,27987.0,39285.91713357612,,
2020-06-08,28169.0,39284.67158768058,,
2020-06-09,28333.0,39295.15527467266,,
2020-06-10,28484.0,39387.3501157012,,
2020-06-11,28632.0,39440.37949805126,,
2020-06-12,28807.0,39414.92171344575,,
2020-06-13,29002.0,39314.20776856646,,
2020-06-14,29115.0,39242.40478225473,,
2020-06-15,29284.0,39293.94219120788,,
2020-06-16,29427.0,39307.07284788991,,
2020-06-17,29656.0,39381.67917135125,,
2020-06-18,29886.0,39352.57819236131,,
2020-06-19,30172.0,39343.83986672496,,
2020-06-20,30333.0,39266.489952831595,,
2020-06-21,30524.0,39318.13334702413,,
2020-06-22,30689.0,39293.361603307836,,
2020-06-23,30877.0,39348.50578017568,,
2020-06-24,31139.0,39372.15966335741,,
2020-06-25,31463.0,39352.60678417992,,
2020-06-26,31780.0,39297.87403107438,,
2020-06-27,32006.0,39274.44216111786,,
2020-06-28,32290.0,39308.19335143762,,
2020-06-29,32494.0,39277.028874087606,,
2020-06-30,32698.0,39367.44677106991,,
2020-07-01,33012.0,39402.44100506683,,
2020-07-02,33335.0,39347.339746468446,,
2020-07-03,33595.0,39316.0675897746,,
2020-07-04,33849.0,39320.139148910624,,
2020-07-05,34048.0,39294.34967650484,,
2020-07-06,34240.0,39325.215580714364,,
2020-07-07,34647.0,39360.84932106341,,
2020-07-08,35099.0,39281.2232242668,,
2020-07-09,35507.0,39296.70386755126,,
2020-07-10,36173.0,39322.17170636651,,
2020-07-11,36573.0,39144.603701606226,,
2020-07-12,36895.0,39307.88012340656,,
2020-07-13,37218.0,39369.59435331659,,
2020-07-14,37668.0,39406.45418470564,,
2020-07-15,38137.0,39342.48425021898,,
2020-07-16,38708.0,39366.73547897647,,
2020-07-17,39326.0,39287.976511906294,,
2020-07-18,39770.0,39221.41613555626,,
2020-07-19,,40185.54871780824,40036.339655674,40334.75777994248
2020-07-20,,40598.696328468126,40334.68986732543,40862.70278961082
2020-07-21,,41055.176504371855,40670.4766538173,41439.87635492641
2020-07-22,,41578.298846784215,41061.75421689696,42094.84347667147
2020-07-23,,42155.97237586975,41497.928844166294,42814.01590757321
2020-07-24,,42720.36422759235,41918.373814158025,43522.35464102667
2020-07-25,,43219.70523339713,42264.233279411106,44175.17718738315
