,Alaska,forecast,interval_low,interval_high
2020-01-22,0.0,-0.08638754487037659,-0.42093950510025024,0.013040512800216675
2020-01-23,0.0,0.011429578065872192,0.002116262912750244,0.027728408575057983
2020-01-24,0.0,0.044541049748659134,-0.004854440689086914,0.14130473136901855
2020-01-25,0.0,-0.011758362874388695,-0.0304032564163208,0.0075168609619140625
2020-01-26,0.0,0.005358261056244373,-0.0025309324264526367,0.010443001985549927
2020-01-27,0.0,0.009148353710770607,-0.018835902214050293,0.05445849895477295
2020-01-28,0.0,0.000617039215285331,-0.01026374101638794,0.01949089765548706
2020-01-29,0.0,0.025990068912506104,-0.01983577013015747,0.13986125588417053
2020-01-30,0.0,0.028255486860871315,-0.007813572883605957,0.13821712136268616
2020-01-31,0.0,0.002394008683040738,-0.007252514362335205,0.016360074281692505
2020-02-01,0.0,0.008419138379395008,-0.0006735920906066895,0.040939778089523315
2020-02-02,0.0,-0.0003660917282104492,-0.005106627941131592,0.010679960250854492
2020-02-03,0.0,-0.0008697033044882119,-0.04414886236190796,0.01922786235809326
2020-02-04,0.0,-0.05211154744029045,-0.23387956619262695,0.007604032754898071
2020-02-05,0.0,0.008731854148209095,-0.007335007190704346,0.027773350477218628
2020-02-06,0.0,-0.0063790916465222836,-0.022722184658050537,0.010205626487731934
2020-02-07,0.0,-0.05422254651784897,-0.3210374712944031,0.055112630128860474
2020-02-08,0.0,0.0013021945487707853,-0.020079970359802246,0.023948103189468384
2020-02-09,0.0,-0.22828969359397888,-1.1100808382034302,0.02323359251022339
2020-02-10,0.0,-0.08102276921272278,-0.4465119242668152,0.027020692825317383
2020-02-11,0.0,0.0006029129144735634,-0.15254056453704834,0.07599499821662903
2020-02-12,0.0,-0.05486323684453964,-0.14714974164962769,-0.009445369243621826
2020-02-13,0.0,-0.03664027526974678,-0.054950833320617676,-6.854534149169922e-06
2020-02-14,0.0,-0.027416270226240158,-0.1403665542602539,0.028427094221115112
2020-02-15,0.0,0.009277922101318836,-0.016571760177612305,0.03457826375961304
2020-02-16,0.0,-0.00867382250726223,-0.030402958393096924,0.012874484062194824
2020-02-17,0.0,0.0026736855506896973,-0.011481046676635742,0.038229942321777344
2020-02-18,0.0,-0.031590986996889114,-0.14729595184326172,0.011847645044326782
2020-02-19,0.0,-0.016301339492201805,-0.08616119623184204,0.016425877809524536
2020-02-20,0.0,0.002931153867393732,-0.012202799320220947,0.02062547206878662
2020-02-21,0.0,-0.005459976382553577,-0.02752518653869629,0.01790517568588257
2020-02-22,0.0,0.006637686397880316,-0.04109734296798706,0.03780752420425415
2020-02-23,0.0,-0.08349056541919708,-0.41427433490753174,0.01233738660812378
2020-02-24,0.0,0.010343682952225208,-0.010557353496551514,0.055939704179763794
2020-02-25,0.0,-0.012407851405441761,-0.06471127271652222,0.011753946542739868
2020-02-26,0.0,0.03551089018583298,-0.031838834285736084,0.15590497851371765
2020-02-27,0.0,0.013678562827408314,-0.005353987216949463,0.0346217155456543
2020-02-28,0.0,-0.007666110992431641,-0.02128702402114868,0.008807778358459473
2020-02-29,0.0,-0.05996980518102646,-0.2817279100418091,-0.0023782849311828613
2020-03-01,0.0,-0.006330573465675116,-0.026989340782165527,0.008190393447875977
2020-03-02,0.0,0.006757753901183605,-0.005508840084075928,0.019497305154800415
2020-03-03,0.0,0.1298178732395172,-1.843961238861084,2.5113508701324463
2020-03-04,0.0,-0.005981254391372204,-0.051962852478027344,0.038564443588256836
2020-03-05,0.0,0.004815983586013317,-0.016042053699493408,0.03492468595504761
2020-03-06,0.0,-0.04995610564947128,-0.241044282913208,0.019834846258163452
2020-03-07,0.0,0.8811400532722473,-0.08361661434173584,4.455077648162842
2020-03-08,0.0,0.014259385876357555,-0.010759353637695312,0.04850926995277405
2020-03-09,0.0,-0.029319941997528076,-0.06640487909317017,-0.005252182483673096
2020-03-10,0.0,-0.08803294599056244,-0.42036163806915283,0.044921159744262695
2020-03-11,0.0,0.31690216064453125,-0.05713111162185669,1.5553200244903564
2020-03-12,0.0,-0.06936847418546677,-0.33568906784057617,0.0489143431186676
2020-03-13,1.0,0.9017543792724609,0.49408385157585144,1.0231642723083496
2020-03-14,1.0,0.9582382440567017,0.877439558506012,1.0214416980743408
2020-03-15,1.0,0.9737723469734192,0.8249541521072388,1.028768539428711
2020-03-16,1.0,1.4865236282348633,1.0287559032440186,3.28012752532959
2020-03-17,3.0,2.98514461517334,2.9532828330993652,2.998946189880371
2020-03-18,5.0,4.663767337799072,3.2960171699523926,5.014345169067383
2020-03-19,8.0,8.761736869812012,7.991055488586426,11.759625434875488
2020-03-20,11.0,10.99107551574707,10.929872512817383,11.024654388427734
2020-03-21,13.0,13.009634017944336,12.966842651367188,13.044365882873535
2020-03-22,18.0,17.987133026123047,17.97321319580078,18.000917434692383
2020-03-23,30.0,32.6399040222168,29.962635040283203,34.80583572387695
2020-03-24,34.0,35.55768585205078,33.97868728637695,41.77143859863281
2020-03-25,41.0,40.9830436706543,40.907470703125,41.03351593017578
2020-03-26,56.0,48.408912658691406,36.70209884643555,56.05095672607422
2020-03-27,58.0,83.55348205566406,57.95275115966797,102.53843688964844
2020-03-28,85.0,88.41181945800781,84.98902893066406,101.99187469482422
2020-03-29,102.0,102.00247192382812,101.98545837402344,102.01459503173828
2020-03-30,114.0,110.8396987915039,98.24290466308594,113.9974365234375
2020-03-31,119.0,112.94559478759766,99.51917266845703,119.01847076416016
2020-04-01,132.0,135.97166442871094,132.0037078857422,151.80039978027344
2020-04-02,143.0,143.52467346191406,142.98023986816406,145.622802734375
