,Montana,forecast,interval_low,interval_high
2020-01-22,0.0,0.002875161124393344,-0.017526984214782715,0.016994357109069824
2020-01-23,0.0,0.024739641696214676,-0.027128219604492188,0.13074201345443726
2020-01-24,0.0,-0.03475417569279671,-0.16399067640304565,0.01958659291267395
2020-01-25,0.0,-0.03887340426445007,-0.20529747009277344,0.011525988578796387
2020-01-26,0.0,0.007288831286132336,-0.007850229740142822,0.040019094944000244
2020-01-27,0.0,-0.05033181235194206,-0.2842182517051697,0.020586073398590088
2020-01-28,0.0,-0.024498362094163895,-0.1038244366645813,0.011061906814575195
2020-01-29,0.0,-0.05882476642727852,-0.2712426781654358,0.015989869832992554
2020-01-30,0.0,0.004058646969497204,-0.008170783519744873,0.016979634761810303
2020-01-31,0.0,-0.23249602317810059,-1.1296440362930298,-0.0023560523986816406
2020-02-01,0.0,-0.12018388509750366,-0.6166620254516602,0.02001631259918213
2020-02-02,0.0,0.06037168949842453,-0.018074452877044678,0.22888678312301636
2020-02-03,0.0,0.16929852962493896,-0.027221620082855225,0.8532379865646362
2020-02-04,0.0,-0.06900731474161148,-0.36357879638671875,0.05902451276779175
2020-02-05,0.0,-0.0076184808276593685,-0.0508388876914978,0.06119176745414734
2020-02-06,0.0,0.19149193167686462,-0.07431674003601074,1.0444872379302979
2020-02-07,0.0,0.02085018716752529,-0.03714066743850708,0.06033870577812195
2020-02-08,0.0,-0.06140497326850891,-0.20271456241607666,0.073870450258255
2020-02-09,0.0,0.004918265156447887,-0.0076569318771362305,0.013699769973754883
2020-02-10,0.0,0.0380803644657135,-0.01720285415649414,0.2396824061870575
2020-02-11,0.0,-0.004518294241279364,-0.04432958364486694,0.02675643563270569
2020-02-12,0.0,0.01161077618598938,-0.013849377632141113,0.03217366337776184
2020-02-13,0.0,-0.025216836482286453,-0.2682505249977112,0.09365883469581604
2020-02-14,0.0,-0.022310053929686546,-0.06152629852294922,0.01407313346862793
2020-02-15,0.0,-0.06551840901374817,-0.35129427909851074,0.057430535554885864
2020-02-16,0.0,-0.007582074496895075,-0.08560514450073242,0.05320477485656738
2020-02-17,0.0,-0.038366787135601044,-0.16891837120056152,0.011272162199020386
2020-02-18,0.0,0.027861308306455612,0.009325653314590454,0.04906615614891052
