,Virginia,forecast,interval_low,interval_high
2020-05-31,44607.0,75517.86570857198,,
2020-06-01,45398.0,75590.2845693878,,
2020-06-02,46239.0,75623.02929232469,,
2020-06-03,46905.0,75415.0833957871,,
2020-06-04,47856.0,75739.53476793626,,
2020-06-05,48532.0,75380.45005468345,,
2020-06-06,49397.0,75432.64077417353,,
2020-06-07,50681.0,75556.0052167852,,
2020-06-08,51251.0,75068.90515152868,,
2020-06-09,51738.0,75638.53269419367,,
2020-06-10,52177.0,75699.83496668802,,
2020-06-11,52647.0,75615.83829711431,,
2020-06-12,53211.0,75582.17927941242,,
2020-06-13,53869.0,75449.54887405779,,
2020-06-14,54506.0,75468.38516820763,,
2020-06-15,54886.0,75245.46462706859,,
2020-06-16,55331.0,75601.61471791344,,
2020-06-17,55775.0,75558.63122934547,,
2020-06-18,56238.0,75392.70343242883,,
2020-06-19,56793.0,75543.32949051048,,
2020-06-20,57443.0,75398.90194957264,,
2020-06-21,57994.0,75303.30594784417,,
2020-06-22,58465.0,75441.45100555578,,
2020-06-23,58994.0,75504.26130717466,,
2020-06-24,59514.0,75424.05697499735,,
2020-06-25,59946.0,75479.98410771521,,
2020-06-26,60570.0,75509.47359858379,,
2020-06-27,61247.0,75375.01075624613,,
2020-06-28,61736.0,75356.74518398642,,
2020-06-29,62189.0,75478.36461558793,,
2020-06-30,62787.0,75508.55524928242,,
2020-07-01,63203.0,75427.9719742284,,
2020-07-02,63735.0,75491.37626795526,,
2020-07-03,64393.0,75478.7041095159,,
2020-07-04,65109.0,75357.62147602196,,
2020-07-05,65748.0,75318.32921316712,,
2020-07-06,66102.0,75421.24869810052,,
2020-07-07,66740.0,75623.06366532375,,
2020-07-08,67375.0,75366.39181747373,,
2020-07-09,67988.0,75444.04107046076,,
2020-07-10,68931.0,75466.0178837457,,
2020-07-11,69782.0,75190.0782486331,,
2020-07-12,70670.0,75385.783174472,,
2020-07-13,71642.0,75321.79558205216,,
2020-07-14,72443.0,75366.25530352253,,
2020-07-15,73527.0,75514.31451376999,,
2020-07-16,74431.0,75272.10069362681,,
2020-07-17,75433.0,75520.76426460657,,
2020-07-18,76373.0,75402.35744884405,,
2020-07-19,,77266.01983066165,77000.21830087765,77531.82136044565
2020-07-20,,78319.89723821176,77848.10749907554,78791.68697734798
2020-07-21,,79230.3892136925,78569.95093551555,79890.82749186945
2020-07-22,,80235.6127172647,79373.2323391701,81097.99309535928
2020-07-23,,81241.43440741544,80168.36311604577,82314.5056987851
2020-07-24,,82183.389921685,80870.48738121276,83496.29246215723
2020-07-25,,83215.59709610035,81654.26741546787,84776.92677673283
