,Total,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.027633337090446516,0.027633337090446516,0.027633337090446516
2020-01-26,0.0,0.04069038645445266,0.04069038645445266,0.04069038645445266
2020-01-27,0.0,0.05391074643249012,0.05391074643249012,0.05391074643249012
2020-01-28,0.0,0.06507960612847462,0.06507960612847462,0.06507960612847462
2020-01-29,0.0,0.08138207618452407,0.08138207618452407,0.08138207618452407
2020-01-30,0.0,0.11073017413652554,0.11073017413652554,0.11073017413652554
2020-01-31,0.0,0.17617332623768672,0.17617332623768672,0.17617332623768672
2020-02-01,0.0,0.2511213739288044,0.2511213739288044,0.2511213739288044
2020-02-02,0.0,0.32096352772791975,0.32096352772791975,0.32096352772791975
2020-02-03,0.0,0.37561316661429683,0.37561316661429683,0.37561316661429683
2020-02-04,0.0,0.4123377836167493,0.4123377836167493,0.4123377836167493
2020-02-05,0.0,0.434109573683393,0.434109573683393,0.434109573683393
2020-02-06,0.0,0.44577672879279934,0.44577672879279934,0.44577672879279934
2020-02-07,0.0,0.45151650475509375,0.45151650475509375,0.45151650475509375
2020-02-08,0.0,0.45411700122134396,0.45411700122134396,0.45411700122134396
2020-02-09,0.0,0.4551871828620822,0.4551871828620822,0.4551871828620822
2020-02-10,0.0,0.4555687241712334,0.4555687241712334,0.4555687241712334
2020-02-11,0.0,0.45566852156397286,0.45566852156397286,0.45566852156397286
2020-02-12,0.0,0.4556686085616078,0.4556686085616078,0.4556686085616078
2020-02-13,0.0,0.45564307466185444,0.45564307466185444,0.45564307466185444
2020-02-14,0.0,0.4556179554933218,0.4556179554933218,0.4556179554933218
2020-02-15,0.0,0.455599819012725,0.455599819012725,0.455599819012725
2020-02-16,0.0,0.4555884391042704,0.4555884391042704,0.4555884391042704
2020-02-17,0.0,0.45558190820690936,0.45558190820690936,0.45558190820690936
2020-02-18,0.0,0.45557840945939365,0.45557840945939365,0.45557840945939365
2020-02-19,0.0,0.45557664660295477,0.45557664660295477,0.45557664660295477
2020-02-20,0.0,0.455575811801679,0.455575811801679,0.455575811801679
2020-02-21,0.0,0.45557544369364394,0.45557544369364394,0.45557544369364394
2020-02-22,0.0,0.4555752961243,0.4555752961243,0.4555752961243
2020-02-23,0.0,0.45557524555054724,0.45557524555054724,0.45557524555054724
2020-02-24,0.0,0.4555752337145083,0.4555752337145083,0.4555752337145083
2020-02-25,0.0,0.45557523506056824,0.45557523506056824,0.45557523506056824
2020-02-26,0.0,0.45557523942147565,0.45557523942147565,0.45557523942147565
2020-02-27,0.0,0.4555752433625015,0.4555752433625015,0.4555752433625015
2020-02-28,0.0,0.45557524611702527,0.45557524611702527,0.45557524611702527
2020-02-29,1.0,1.455575247813056,1.455575247813056,1.455575247813056
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,5.0,6.5622451014555585,6.5622451014555585,6.5622451014555585
2020-03-03,1.0,0.0,0.0,0.0
2020-03-04,4.0,8.550611944585636,8.550611944585636,8.550611944585636
2020-03-05,1.0,0.0,0.0,0.0
2020-03-06,2.0,6.051311229744224,6.051311229744224,6.051311229744224
2020-03-07,3.0,3.355675220556441,3.355675220556441,3.355675220556441
2020-03-08,4.0,3.8045944311095616,3.8045944311095616,3.8045944311095616
2020-03-09,1.0,1.9070272093921457,1.9070272093921457,1.9070272093921457
2020-03-10,6.0,11.0351132077148,11.0351132077148,11.0351132077148
2020-03-11,5.0,0.0,0.0,0.0
2020-03-12,10.0,10.0562049916168,10.0562049916168,10.0562049916168
2020-03-13,9.0,1.7603854392961766,1.7603854392961766,1.7603854392961766
2020-03-14,6.0,6.272206725352559,6.272206725352559,6.272206725352559
2020-03-15,12.0,16.766405929265574,16.766405929265574,16.766405929265574
2020-03-16,27.0,19.149904104247614,19.149904104247614,19.149904104247614
2020-03-17,34.0,12.286095488603053,12.286095488603053,12.286095488603053
2020-03-18,57.0,42.891441501634475,42.891441501634475,42.891441501634475
2020-03-19,77.0,40.263553146324526,40.263553146324526,40.263553146324526
2020-03-20,97.0,56.81531000347721,56.81531000347721,56.81531000347721
2020-03-21,94.0,51.34852504647223,51.34852504647223,51.34852504647223
2020-03-22,145.0,139.90642604559775,139.90642604559775,139.90642604559775
2020-03-23,183.0,113.62468578473589,113.62468578473589,113.62468578473589
2020-03-24,237.0,177.08931601030727,177.08931601030727,177.08931601030727
2020-03-25,312.0,235.48669137763397,235.48669137763397,235.48669137763397
2020-03-26,413.0,301.10125841291534,301.10125841291534,301.10125841291534
2020-03-27,554.0,391.8503990728106,391.8503990728106,391.8503990728106
2020-03-28,634.0,394.4162861093199,394.4162861093199,394.4162861093199
2020-03-29,627.0,472.8774274982143,472.8774274982143,472.8774274982143
2020-03-30,820.0,822.2298958799246,822.2298958799246,822.2298958799246
2020-03-31,1224.0,989.8516349595395,989.8516349595395,989.8516349595395
2020-04-01,1241.0,675.0017241213498,675.0017241213498,675.0017241213498
2020-04-02,1586.0,1534.1598677354893,1534.1598677354893,1534.1598677354893
2020-04-03,1315.0,889.7477088696354,889.7477088696354,889.7477088696354
2020-04-04,1284.0,1676.949297903356,1676.949297903356,1676.949297903356
2020-04-05,1439.0,1671.4649358403967,1671.4649358403967,1671.4649358403967
2020-04-06,1668.0,1733.1522949712394,1733.1522949712394,1733.1522949712394
2020-04-07,2309.0,2356.8585454235867,2356.8585454235867,2356.8585454235867
2020-04-08,2116.0,1462.1824162634828,1462.1824162634828,1462.1824162634828
2020-04-09,2075.0,2434.281365779791,2434.281365779791,2434.281365779791
