,Arkansas,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.06813109443070008,0.06813109443070008,0.06813109443070008
2020-01-26,0.0,0.11549217503677117,0.11549217503677117,0.11549217503677117
2020-01-27,0.0,0.17653308218517932,0.17653308218517932,0.17653308218517932
2020-01-28,0.0,0.21540990553905925,0.21540990553905925,0.21540990553905925
2020-01-29,0.0,0.2580975485371046,0.2580975485371046,0.2580975485371046
2020-01-30,0.0,0.33735406823800407,0.33735406823800407,0.33735406823800407
2020-01-31,0.0,0.4785343125591188,0.4785343125591188,0.4785343125591188
2020-02-01,0.0,0.61971455688023,0.61971455688023,0.61971455688023
2020-02-02,0.0,0.7608948012013362,0.7608948012013362,0.7608948012013362
2020-02-03,0.0,0.902075045522436,0.902075045522436,0.902075045522436
2020-02-04,0.0,1.0432552898435288,1.0432552898435288,1.0432552898435288
2020-02-05,0.0,1.1844355341646142,1.1844355341646142,1.1844355341646142
2020-02-06,0.0,1.3256157784856921,1.3256157784856921,1.3256157784856921
2020-02-07,0.0,1.4667960228067596,1.4667960228067596,1.4667960228067596
2020-02-08,0.0,1.607976267127816,1.607976267127816,1.607976267127816
2020-02-09,0.0,1.7491565114488603,1.7491565114488603,1.7491565114488603
2020-02-10,0.0,1.8903367557698927,1.8903367557698927,1.8903367557698927
2020-02-11,0.0,2.0315170000909086,2.0315170000909086,2.0315170000909086
2020-02-12,0.0,2.172697244411906,2.172697244411906,2.172697244411906
2020-02-13,0.0,2.313877488732885,2.313877488732885,2.313877488732885
2020-02-14,0.0,2.4550577330538452,2.4550577330538452,2.4550577330538452
2020-02-15,0.0,2.5962379773747872,2.5962379773747872,2.5962379773747872
2020-02-16,0.0,2.7374182216957115,2.7374182216957115,2.7374182216957115
2020-02-17,0.0,2.8785984660166153,2.8785984660166153,2.8785984660166153
2020-02-18,0.0,3.0197787103374982,3.0197787103374982,3.0197787103374982
2020-02-19,0.0,3.1609589546583563,3.1609589546583563,3.1609589546583563
2020-02-20,0.0,3.3021391989791877,3.3021391989791877,3.3021391989791877
2020-02-21,0.0,3.4433194432999894,3.4433194432999894,3.4433194432999894
2020-02-22,0.0,3.584499687620763,3.584499687620763,3.584499687620763
2020-02-23,0.0,3.7256799319415084,3.7256799319415084,3.7256799319415084
2020-02-24,0.0,3.866860176262226,3.866860176262226,3.866860176262226
2020-02-25,0.0,4.008040420582915,4.008040420582915,4.008040420582915
2020-02-26,0.0,4.149220664903575,4.149220664903575,4.149220664903575
2020-02-27,0.0,4.290400909224203,4.290400909224203,4.290400909224203
