,Texas,forecast,interval_low,interval_high
2020-01-22,0.0,-0.42756062746047974,-2.4649722576141357,1.804043173789978
2020-01-23,0.0,1.8608430624008179,-1.2055389881134033,5.3830976486206055
2020-01-24,0.0,-0.8188475370407104,-7.038107872009277,2.9630024433135986
2020-01-25,0.0,-1.1959724426269531,-8.316643714904785,4.070490837097168
2020-01-26,0.0,-0.5698712468147278,-3.01481294631958,1.3597768545150757
2020-01-27,0.0,0.4583907127380371,0.1311999261379242,0.8880009651184082
2020-01-28,0.0,3.420405864715576,-0.35926979780197144,15.129220962524414
2020-01-29,0.0,-0.7170631885528564,-2.420116662979126,2.4185452461242676
2020-01-30,0.0,-26.501964569091797,-136.78448486328125,6.901509761810303
2020-01-31,0.0,29.066272735595703,-0.8013360500335693,106.4810562133789
2020-02-01,0.0,-0.3131891191005707,-2.1019530296325684,1.3994927406311035
2020-02-02,0.0,-0.7514610886573792,-1.5094397068023682,0.21084415912628174
2020-02-03,0.0,89.15824127197266,0.10224992036819458,248.000244140625
2020-02-04,0.0,6.25991153717041,-2.5249171257019043,29.82968521118164
2020-02-05,0.0,0.38199058175086975,-1.1166999340057373,1.158263921737671
2020-02-06,0.0,1.510718584060669,-4.474142074584961,10.523383140563965
2020-02-07,0.0,31.62026596069336,-0.40765124559402466,149.77333068847656
2020-02-08,0.0,16.625513076782227,-1.3383152484893799,78.51761627197266
2020-02-09,0.0,11.27943229675293,-16.933984756469727,69.97047424316406
2020-02-10,0.0,0.13024039566516876,-5.162873268127441,3.145402669906616
2020-02-11,0.0,-3.744086742401123,-19.051651000976562,1.1861815452575684
2020-02-12,0.0,46.349266052246094,-8.028674125671387,227.86611938476562
2020-02-13,0.0,0.9517785906791687,-4.247891426086426,6.1466240882873535
2020-02-14,0.0,-1.0843197107315063,-7.479280948638916,6.4074296951293945
2020-02-15,0.0,-1.0200356245040894,-9.681507110595703,6.945175647735596
2020-02-16,0.0,2.5042080879211426,1.36989426612854,4.419983863830566
2020-02-17,0.0,-0.545785129070282,-2.9323933124542236,1.0982266664505005
2020-02-18,0.0,-6.852911472320557,-21.754104614257812,0.4359433650970459
2020-02-19,0.0,1.5336575508117676,-2.7444772720336914,5.222316741943359
2020-02-20,0.0,-0.16142472624778748,-6.318044662475586,4.082381725311279
2020-02-21,0.0,0.9403020143508911,-3.78731632232666,6.772130966186523
2020-02-22,0.0,-0.30187708139419556,-3.094050645828247,3.792646646499634
2020-02-23,0.0,1.3461339473724365,-0.899001955986023,9.034353256225586
2020-02-24,0.0,-3.6054749488830566,-54.916534423828125,20.463890075683594
2020-02-25,0.0,-12.771867752075195,-35.01806640625,5.606800079345703
2020-02-26,0.0,29.66436767578125,-9.07517147064209,123.98535919189453
2020-02-27,0.0,-0.27974796295166016,-2.467759370803833,2.6779818534851074
2020-02-28,0.0,-2.4687530994415283,-5.67983865737915,-0.08003950119018555
2020-02-29,0.0,-0.809395968914032,-15.248520851135254,7.658489227294922
2020-03-01,0.0,-3.0161514282226562,-18.92266845703125,1.5658546686172485
2020-03-02,0.0,45.79219055175781,-2.3127834796905518,231.93502807617188
2020-03-03,0.0,-0.07024125754833221,-1.811612844467163,0.6933393478393555
2020-03-04,0.0,0.6330176591873169,-1.1947277784347534,6.025053024291992
2020-03-05,3.0,5.546843528747559,1.6454237699508667,12.237197875976562
2020-03-06,4.0,5.163959503173828,-2.1804373264312744,26.591259002685547
2020-03-07,8.0,43.71550369262695,3.718345880508423,197.55491638183594
2020-03-08,11.0,28.992746353149414,9.499287605285645,82.00570678710938
2020-03-09,13.0,14.904147148132324,13.354517936706543,18.229930877685547
2020-03-10,16.0,14.841937065124512,7.854249000549316,19.363431930541992
2020-03-11,21.0,49.300697326660156,8.828423500061035,171.25059509277344
2020-03-12,27.0,30.454570770263672,15.927878379821777,67.36099243164062
2020-03-13,44.0,55.58221435546875,42.77763366699219,86.79368591308594
2020-03-14,60.0,55.820655822753906,42.05434799194336,68.89137268066406
2020-03-15,63.0,64.28291320800781,57.46003341674805,68.87541198730469
2020-03-16,85.0,101.95211029052734,82.96847534179688,172.6894989013672
2020-03-17,110.0,109.35420227050781,101.52208709716797,120.30905151367188
2020-03-18,196.0,199.95635986328125,191.77664184570312,211.8291015625
2020-03-19,306.0,305.1022644042969,300.332763671875,308.2896728515625
2020-03-20,429.0,426.7831115722656,422.09320068359375,438.0745544433594
2020-03-21,582.0,638.2852783203125,580.6544189453125,855.9563598632812
2020-03-22,643.0,642.6199951171875,637.4595947265625,645.3341064453125
2020-03-23,758.0,797.0532836914062,749.0592651367188,959.5140380859375
2020-03-24,955.0,1054.623291015625,948.5967407226562,1228.55126953125
2020-03-25,1229.0,1303.3160400390625,1227.95166015625,1587.543701171875
2020-03-26,1563.0,1562.338134765625,1244.0947265625,1885.9676513671875
2020-03-27,1937.0,2131.262939453125,1935.0843505859375,2459.97314453125
2020-03-28,2455.0,2544.58544921875,2454.345947265625,2715.743896484375
2020-03-29,2792.0,2790.16015625,2787.90771484375,2792.69384765625
2020-03-30,3147.0,3281.908935546875,3145.85986328125,3823.11669921875
2020-03-31,3809.0,3809.740234375,3806.3564453125,3813.315185546875
2020-04-01,4355.0,4353.96484375,4345.49267578125,4358.86328125
2020-04-02,5069.0,5070.31640625,5062.7392578125,5073.52392578125
2020-04-03,5734.0,5879.7763671875,5729.16015625,6468.6298828125
2020-04-04,6567.0,6568.6826171875,6565.92529296875,6571.92529296875
2020-04-05,7209.0,7385.0302734375,7202.56298828125,8090.4091796875
