,Delaware,forecast,interval_low,interval_high
2020-01-23,0.0,-0.0006409287452697754,-0.0025817155838012695,0.0004831254482269287
2020-01-24,0.0,0.003137606428936124,-0.005690813064575195,0.024336427450180054
2020-01-25,0.0,0.0036749481223523617,0.0015009045600891113,0.006617367267608643
2020-01-26,0.0,-0.019579797983169556,-0.0958358645439148,9.390711784362793e-05
2020-01-27,0.0,-0.0020882009994238615,-0.005213737487792969,0.0003146827220916748
2020-01-28,0.0,0.003172940108925104,-0.0015976428985595703,0.007378906011581421
2020-01-29,0.0,0.0002572357770986855,-0.009705841541290283,0.011916130781173706
2020-01-30,0.0,-0.002669298555701971,-0.006930053234100342,0.0002499818801879883
2020-01-31,0.0,0.20277364552021027,0.0014952123165130615,0.985919177532196
2020-02-01,0.0,-0.05821209400892258,-0.2885476350784302,0.0001626908779144287
2020-02-02,0.0,0.002499401569366455,-0.00036519765853881836,0.009541183710098267
2020-02-03,0.0,0.008058363571763039,0.00017651915550231934,0.03503251075744629
2020-02-04,0.0,-0.04888666421175003,-0.24291914701461792,0.001781851053237915
2020-02-05,0.0,-0.0374225378036499,-0.2035546898841858,0.029695212841033936
2020-02-06,0.0,-0.014098095707595348,-0.0826725959777832,0.011158108711242676
2020-02-07,0.0,0.0208873450756073,0.0005293786525726318,0.08129385113716125
2020-02-08,0.0,-0.003444200847297907,-0.0226554274559021,0.0052495598793029785
2020-02-09,0.0,-0.0010919332271441817,-0.003931820392608643,0.0005300641059875488
2020-02-10,0.0,0.013116424903273582,-0.00015527009963989258,0.05800122022628784
2020-02-11,0.0,-0.0014770328998565674,-0.007522165775299072,0.01275220513343811
2020-02-12,0.0,0.0040360926650464535,-0.004086911678314209,0.01984134316444397
2020-02-13,0.0,0.0037217140197753906,-0.0004977583885192871,0.006817221641540527
2020-02-14,0.0,-0.0005093812942504883,-0.0038816332817077637,0.0010015666484832764
2020-02-15,0.0,-0.003119355533272028,-0.06202512979507446,0.0466763973236084
2020-02-16,0.0,0.07392454147338867,0.0010694265365600586,0.359304815530777
