,Nebraska,forecast,interval_low,interval_high
2020-04-16,51.0,178.12006676447174,,
2020-04-17,114.0,118.6467550020155,,
2020-04-18,183.0,73.6570643755675,,
2020-04-19,225.0,50.93356372262542,,
2020-04-20,174.0,25.362948531391766,,
2020-04-21,37.0,89.58923789599001,,
2020-04-22,128.0,175.58691373160707,,
2020-04-23,389.0,67.43932631312902,,
2020-04-24,222.0,-72.84200979507895,,
2020-04-25,295.0,213.2529009876918,,
2020-04-26,311.0,90.67134333749445,,
2020-04-27,328.0,-1.8559153506257644,,
2020-04-28,159.0,-39.66180598249255,,
2020-04-29,334.0,220.13940921373847,,
2020-04-30,430.0,163.62016237331196,,
2020-05-01,727.0,43.00043659100726,,
2020-05-02,309.0,-243.43897039484284,,
2020-05-03,344.0,246.72390979100481,,
2020-05-04,376.0,150.53548004101418,,
2020-05-05,336.0,36.5726834035286,,
2020-05-06,316.0,143.65616643187064,,
2020-05-07,645.0,271.16098455008546,,
2020-05-08,484.0,52.91895804022225,,
2020-05-09,275.0,78.34469433050958,,
2020-05-10,78.0,120.34142320058481,,
2020-05-11,236.0,304.9279757208216,,
2020-05-12,125.0,194.57697926688658,,
2020-05-13,380.0,324.45691071606893,,
2020-05-14,348.0,125.35618115057882,,
2020-05-15,350.0,140.24165437513054,,
2020-05-16,610.0,-5.170028239631961,,
2020-05-17,-43.0,-287.4350880146237,,
2020-05-18,448.0,500.8394283479281,,
2020-05-19,229.0,-41.4916896873348,,
2020-05-20,268.0,262.46218562728586,,
2020-05-21,305.0,177.4861645243776,,
2020-05-22,235.0,112.11758690423552,,
2020-05-23,301.0,245.18613729335428,,
2020-05-24,171.0,-6.661909311596702,,
2020-05-25,228.0,191.78911117075535,,
2020-05-26,257.0,172.1311821682541,,
2020-05-27,365.0,141.8462509715486,,
2020-05-28,265.0,31.12198818143642,,
2020-05-29,399.0,126.71290517164425,,
2020-05-30,257.0,15.985659010687272,,
2020-05-31,196.0,152.11997861851165,,
2020-06-01,244.0,173.83394427310404,,
2020-06-02,271.0,130.41105888186866,,
2020-06-03,269.0,167.9263298981391,,
2020-06-04,254.0,152.25622032919472,,
2020-06-05,267.0,153.47707642078257,,
2020-06-06,166.0,89.53610074152198,,
2020-06-07,92.0,152.60279084891962,,
2020-06-08,122.0,227.55950794558046,,
2020-06-09,132.0,208.58447180780163,,
2020-06-10,140.0,187.44550725456537,,
2020-06-11,257.0,148.29338798046297,,
2020-06-12,207.0,42.287096404414854,,
2020-06-13,118.0,100.92252978486026,,
2020-06-14,90.0,141.21618080059554,,
2020-06-15,121.0,143.50092692545314,,
2020-06-16,187.0,135.32971874643027,,
2020-06-17,193.0,111.61420489335,,
2020-06-18,183.0,155.59425713603935,,
2020-06-19,174.0,129.11503185270718,,
2020-06-20,119.0,60.88347048617322,,
2020-06-21,105.0,103.4014531318923,,
2020-06-22,151.0,167.55194079265596,,
2020-06-23,136.0,170.31882030725075,,
2020-06-24,122.0,167.45186604777646,,
2020-06-25,125.0,125.16769659251914,,
2020-06-26,178.0,106.60098147859756,,
2020-06-27,251.0,74.99162674955676,,
2020-06-28,124.0,45.639718916677566,,
2020-06-29,143.0,193.93838207524595,,
2020-06-30,135.0,122.67643740377645,,
2020-07-01,133.0,103.14175145568413,,
2020-07-02,142.0,126.32662390187733,,
2020-07-03,208.0,165.10388391748583,,
2020-07-04,167.0,127.91955998564603,,
2020-07-05,102.0,108.53865565276364,,
2020-07-06,117.0,123.61604708186863,,
2020-07-07,155.0,121.7053152068079,,
2020-07-08,224.0,128.621624610857,,
2020-07-09,198.0,87.27247899612318,,
2020-07-10,154.0,128.86289191726968,,
2020-07-11,221.0,132.16241420443504,,
2020-07-12,174.0,26.6651490628538,,
2020-07-13,227.0,112.22689192011019,,
2020-07-14,318.0,114.16895002430313,,
2020-07-15,262.0,73.0500370590282,,
2020-07-16,155.0,113.23847256177251,,
2020-07-17,227.0,147.15170223909075,,
2020-07-18,120.0,77.68533215279662,,
2020-07-19,,218.95599348439646,79.02705737786698,358.88492959092594
2020-07-20,,228.3654176300389,86.41737808798888,370.31345717208893
2020-07-21,,260.6916213904267,108.22399561928782,413.15924716156553
2020-07-22,,235.58361143996152,79.88168613981,391.285536740113
2020-07-23,,182.24193841530771,25.357325694761073,339.12655113585436
2020-07-24,,195.96092944445968,37.74079626616259,354.18106262275677
2020-07-25,,196.8376230669271,34.78386590292746,358.89138023092676
