,Utah,forecast,interval_low,interval_high
2020-03-07,1.0,7.088325023651123,5.256960868835449,8.578856468200684
2020-03-08,0.0,2.9918079376220703,0.0,6.745782852172852
2020-03-09,0.0,2.597862720489502,0.0,5.87218713760376
2020-03-10,1.0,4.617441177368164,1.5632755756378174,6.564757823944092
2020-03-11,1.0,5.67072868347168,3.363614082336426,7.305171489715576
2020-03-12,0.0,6.656729221343994,1.2730770111083984,10.145912170410156
2020-03-13,6.0,7.961111068725586,4.511301517486572,9.715890884399414
2020-03-14,1.0,7.088325023651123,5.256960868835449,8.578856468200684
2020-03-15,8.0,3.437164545059204,0.0,7.218667984008789
2020-03-16,10.0,2.9618968963623047,0.0,6.2414093017578125
2020-03-17,11.0,5.006417751312256,1.9339004755020142,6.932127475738525
2020-03-18,8.0,6.088710308074951,3.79787015914917,7.688322067260742
2020-03-19,15.0,7.219813823699951,1.8796577453613281,10.634413719177246
2020-03-20,33.0,8.580151557922363,5.175290584564209,10.393763542175293
2020-03-21,23.0,7.615514278411865,5.680487632751465,9.127724647521973
2020-03-22,44.0,9.165061950683594,5.715721130371094,12.571733474731445
2020-03-23,95.0,8.059226989746094,2.1512913703918457,11.023590087890625
2020-03-24,41.0,11.42547607421875,8.102068901062012,13.486618041992188
2020-03-25,42.0,13.293675422668457,11.143714904785156,14.838208198547363
2020-03-26,56.0,15.958683967590332,11.15068531036377,18.87504768371582
2020-03-27,76.0,17.23972511291504,14.423928260803223,19.691843032836914
2020-03-28,130.0,15.027539253234863,12.14105224609375,16.977357864379883
2020-03-29,118.0,44.60856628417969,41.5362434387207,47.41299819946289
2020-03-30,78.0,42.3089599609375,34.976070404052734,48.589927673339844
2020-03-31,90.0,53.39961242675781,48.810951232910156,56.8388786315918
2020-04-01,0.0,59.57870101928711,55.04956817626953,65.51410675048828
2020-04-02,198.0,67.2883071899414,62.186073303222656,74.83387756347656
2020-04-03,162.0,66.4902114868164,62.86613082885742,70.3897476196289
2020-04-04,180.0,59.968387603759766,53.99641036987305,64.51907348632812
2020-04-05,173.0,84.4813003540039,78.28556823730469,92.6652603149414
2020-04-06,77.0,94.62847900390625,88.24170684814453,100.31875610351562
2020-04-07,61.0,111.93941497802734,107.44834899902344,120.65554809570312
2020-04-08,109.0,118.2096176147461,112.70703125,125.00963592529297
2020-04-09,8.0,109.12833404541016,104.19609069824219,113.88117980957031
2020-04-10,247.0,97.50293731689453,89.9687728881836,108.42622375488281
2020-04-11,104.0,103.38495635986328,92.48587036132812,110.13346862792969
2020-04-12,96.0,162.49847412109375,158.238037109375,168.45745849609375
2020-04-13,60.0,180.60581970214844,175.57115173339844,190.33123779296875
2020-04-14,54.0,179.17442321777344,175.8930206298828,183.72535705566406
2020-04-15,131.0,173.82395935058594,164.42208862304688,183.71148681640625
2020-04-16,135.0,143.77828979492188,129.01425170898438,170.44992065429688
2020-04-17,110.0,141.0138702392578,124.41364288330078,170.6001434326172
2020-04-18,124.0,171.30181884765625,160.2872772216797,179.2707977294922
2020-04-19,152.0,116.1041030883789,111.94405364990234,121.99869537353516
2020-04-20,144.0,122.10391998291016,114.61489868164062,130.3737335205078
2020-04-21,84.0,124.47821044921875,119.70612335205078,127.78953552246094
