,Missouri,forecast,interval_low,interval_high
2020-06-04,288.0,879.4489109302093,,
2020-06-05,167.0,759.2624541700317,,
2020-06-06,289.0,1029.6222876557924,,
2020-06-07,90.0,700.9228931091258,,
2020-06-08,223.0,1189.7338771810241,,
2020-06-09,211.0,760.4537177567798,,
2020-06-10,188.0,917.7375745979316,,
2020-06-11,192.0,936.8809799520662,,
2020-06-12,51.0,863.5942881816986,,
2020-06-13,235.0,1149.0991775520192,,
2020-06-14,30.0,599.5013770853541,,
2020-06-15,349.0,1198.6945310365068,,
2020-06-16,246.0,420.2968076649383,,
2020-06-17,212.0,942.4921569760447,,
2020-06-18,302.0,873.8623346569891,,
2020-06-19,296.0,666.8186298413989,,
2020-06-20,390.0,851.1275019711386,,
2020-06-21,403.0,611.8614016859461,,
2020-06-22,133.0,847.3551375673003,,
2020-06-23,412.0,1268.5382324977338,,
2020-06-24,118.0,510.0486208244962,,
2020-06-25,514.0,1343.1106401631237,,
2020-06-26,579.0,334.5024673437765,,
2020-06-27,356.0,716.0170422285157,,
2020-06-28,224.0,1135.0337793737353,,
2020-06-29,519.0,1048.704592866565,,
2020-06-30,497.0,541.6448433401599,,
2020-07-01,292.0,761.5443692642286,,
2020-07-02,532.0,1249.7887357370084,,
2020-07-03,524.0,663.7967300007119,,
2020-07-04,423.0,828.1048171142415,,
2020-07-05,233.0,929.9840321508625,,
2020-07-06,395.0,1292.917309418237,,
2020-07-07,707.0,789.631856311132,,
2020-07-08,672.0,343.7571571857063,,
2020-07-09,820.0,830.6898577149872,,
2020-07-10,659.0,558.5326565353864,,
2020-07-11,537.0,982.7041421796702,,
2020-07-12,274.0,956.6662339874874,,
2020-07-13,409.0,1374.6470063679149,,
2020-07-14,951.0,975.7144691177908,,
2020-07-15,817.0,165.63884854203957,,
2020-07-16,816.0,996.2041551374205,,
2020-07-17,865.0,789.9222368907465,,
2020-07-18,966.0,710.9672338086043,,
2020-07-19,,703.9328467586363,532.3315976081678,875.5340959091047
2020-07-20,,732.3634705905307,551.473351609441,913.2535895716204
2020-07-21,,965.6525580886309,780.8664172042123,1150.4386989730494
2020-07-22,,978.4447606114354,791.4600602826613,1165.4294609402095
2020-07-23,,972.1637849756062,780.1036222203422,1164.2239477308701
2020-07-24,,995.5770284220166,799.2293460109012,1191.924710833132
2020-07-25,,1059.4930692887317,858.1955603465026,1260.7905782309608
