,Arizona,forecast,interval_low,interval_high
2020-01-23,0.0,3.717433452606201,-0.016985952854156494,12.020146369934082
2020-01-24,0.0,0.1295265108346939,-0.053045451641082764,0.45914962887763977
2020-01-25,0.0,-2.6485564708709717,-5.380602836608887,-0.10303211212158203
2020-01-26,1.0,0.5894819498062134,-0.3756325840950012,1.0918464660644531
2020-01-27,0.0,-0.1564868688583374,-0.6513135433197021,0.06595325469970703
2020-01-28,0.0,0.01020775455981493,-0.2853521704673767,0.20530098676681519
2020-01-29,0.0,-0.01930486597120762,-0.07263195514678955,0.015752315521240234
2020-01-30,0.0,12.212759017944336,0.027745991945266724,24.797269821166992
2020-01-31,0.0,-0.039376042783260345,-0.4246029257774353,0.11332786083221436
2020-02-01,0.0,0.5217217206954956,-0.1018517017364502,2.718358278274536
2020-02-02,0.0,0.5038326382637024,-0.05021613836288452,2.316556930541992
2020-02-03,0.0,-0.014886999502778053,-0.30647021532058716,0.10181421041488647
2020-02-04,0.0,-0.11971207708120346,-0.9376552104949951,0.24342253804206848
2020-02-05,0.0,2.5623443126678467,-0.14119261503219604,7.662517547607422
2020-02-06,0.0,-0.19784529507160187,-0.75909423828125,0.47493329644203186
2020-02-07,0.0,-0.8681833148002625,-3.5694265365600586,0.07601359486579895
2020-02-08,0.0,0.43360939621925354,-0.5803583860397339,0.9520227909088135
2020-02-09,0.0,0.07965145260095596,-0.042450904846191406,0.23210608959197998
2020-02-10,0.0,0.03419136255979538,-0.38464266061782837,0.2614084482192993
2020-02-11,0.0,1.3773621320724487,-0.5573709011077881,7.419931411743164
2020-02-12,0.0,-0.1799822449684143,-0.6102637052536011,0.23373782634735107
2020-02-13,0.0,0.24831919372081757,-0.029126405715942383,0.8939758539199829
2020-02-14,0.0,-1.4888255596160889,-7.014987945556641,0.18012169003486633
2020-02-15,0.0,0.4295380115509033,-0.4833570718765259,1.8516753911972046
2020-02-16,0.0,-1.25676691532135,-5.550417900085449,-0.017652511596679688
2020-02-17,0.0,-0.1648874282836914,-1.6511342525482178,0.38527584075927734
2020-02-18,0.0,-0.6829923391342163,-1.8251526355743408,0.08481329679489136
2020-02-19,0.0,-0.41766172647476196,-2.4132378101348877,0.4653678238391876
2020-02-20,0.0,-0.18492837250232697,-0.3614577651023865,-0.08179748058319092
2020-02-21,0.0,0.20110830664634705,-0.09904640913009644,0.6422251462936401
2020-02-22,0.0,-0.6202048063278198,-1.6391067504882812,-0.075034499168396
2020-02-23,0.0,2.718801259994507,-0.02755504846572876,13.422691345214844
2020-02-24,0.0,0.0022872567642480135,-0.14958399534225464,0.10550430417060852
2020-02-25,0.0,-0.7974725365638733,-1.8551278114318848,-0.013999342918395996
2020-02-26,0.0,-0.39079493284225464,-1.0086973905563354,-0.003992617130279541
2020-02-27,0.0,0.37277498841285706,0.039235830307006836,0.5674543976783752
2020-02-28,0.0,1.3200442790985107,-0.12628120183944702,6.067413330078125
2020-02-29,0.0,-0.15583473443984985,-0.526207685470581,-0.021907925605773926
2020-03-01,0.0,-0.05429401248693466,-0.19254088401794434,0.04716947674751282
2020-03-02,0.0,1.6024391651153564,-2.2875828742980957,8.522415161132812
2020-03-03,0.0,-0.09376928955316544,-0.2936476469039917,0.004413634538650513
2020-03-04,0.0,-0.16110049188137054,-0.5401972532272339,0.07917100191116333
2020-03-05,0.0,0.2616995871067047,-0.11925911903381348,0.6975327134132385
2020-03-06,1.0,0.7351482510566711,-0.06749695539474487,1.0932371616363525
2020-03-07,2.0,-1.7064685821533203,-9.543534278869629,4.33842134475708
2020-03-08,0.0,-1.3834693431854248,-12.219679832458496,4.807320594787598
2020-03-09,0.0,0.23647134006023407,-0.04368549585342407,0.8097769021987915
2020-03-10,2.0,0.03150453418493271,-1.5606296062469482,1.5704892873764038
2020-03-11,3.0,1.8564550876617432,-0.2781714200973511,3.885552406311035
2020-03-12,0.0,-1.399522066116333,-8.771835327148438,1.1790435314178467
2020-03-13,0.0,-1.2489030361175537,-12.423162460327148,4.79518985748291
2020-03-14,3.0,1.239809513092041,-5.149362087249756,2.9381744861602783
2020-03-15,0.0,-0.8380265235900879,-3.5825133323669434,0.13090601563453674
2020-03-16,6.0,4.824021816253662,0.42988044023513794,6.0840983390808105
2020-03-17,2.0,2.5588409900665283,2.142580509185791,3.230332851409912
2020-03-18,7.0,6.490150451660156,5.971700191497803,6.943939685821533
2020-03-19,18.0,18.406211853027344,17.944047927856445,18.95659637451172
2020-03-20,23.0,26.655349731445312,22.414813995361328,42.4031982421875
2020-03-21,36.0,36.008209228515625,35.85414505004883,36.12651443481445
2020-03-22,48.0,47.987571716308594,47.78449249267578,48.310157775878906
2020-03-23,83.0,85.69563293457031,83.02739715576172,95.66708374023438
2020-03-24,91.0,83.51261901855469,70.17613983154297,90.80785369873047
2020-03-25,75.0,75.68367004394531,75.03943634033203,77.28319549560547
2020-03-26,107.0,106.8097915649414,106.66761016845703,106.98387145996094
2020-03-27,157.0,142.97616577148438,90.91657257080078,156.94723510742188
2020-03-28,108.0,129.0077362060547,108.2885971069336,209.9541778564453
2020-03-29,146.0,153.36863708496094,145.7237548828125,183.30862426757812
2020-03-30,238.0,216.41452026367188,132.46792602539062,237.8582000732422
2020-03-31,132.0,132.25328063964844,131.91014099121094,132.51792907714844
2020-04-01,124.0,123.83953857421875,123.38984680175781,124.08158874511719
2020-04-02,183.0,191.30496215820312,182.43360900878906,224.10565185546875
2020-04-03,173.0,198.81053161621094,173.1857452392578,241.6942138671875
2020-04-04,250.0,249.6853790283203,249.3411865234375,250.09010314941406
