,Total,forecast,interval_low,interval_high
2020-03-04,4.0,97.99871989658901,37.53823471069336,143.5645751953125
2020-03-05,1.0,98.17611639840263,38.11203384399414,143.5645751953125
2020-03-06,2.0,98.4440427507673,38.09320831298828,143.5645751953125
2020-03-07,3.0,98.88107626778739,38.43995666503906,143.85475158691406
2020-03-08,4.0,99.44129507882255,38.84965515136719,143.7985382080078
2020-03-09,1.0,100.03328323364258,39.62623977661133,145.18695068359375
2020-03-10,6.0,100.12597547258649,38.767967224121094,145.1377716064453
2020-03-11,5.0,100.23742076328823,39.71445846557617,145.88491821289062
2020-03-12,10.0,100.18825857979911,39.70075988769531,145.56971740722656
2020-03-13,9.0,100.42597252982003,41.15994644165039,145.55540466308594
2020-03-14,6.0,100.8567281450544,42.01015090942383,145.80905151367188
2020-03-15,12.0,101.32546615600586,42.095027923583984,146.3788299560547
2020-03-16,27.0,102.07956150599888,43.33293151855469,145.80604553222656
2020-03-17,34.0,103.69161060878209,47.84312057495117,146.8875274658203
2020-03-18,57.0,105.43894904000419,51.85116195678711,147.37078857421875
2020-03-19,77.0,107.84848294939313,59.560794830322266,149.2548370361328
2020-03-20,97.0,110.91577257428851,68.6178207397461,150.40170288085938
2020-03-21,94.0,115.51091766357422,80.28633117675781,150.28819274902344
2020-03-22,145.0,122.55817304338727,91.14122009277344,151.761962890625
2020-03-23,183.0,134.1111123221261,111.18516540527344,157.3885498046875
2020-03-24,237.0,149.156978062221,134.10671997070312,166.87281799316406
2020-03-25,312.0,167.2876979282924,150.86793518066406,186.59060668945312
2020-03-26,413.0,188.02345493861608,169.0194091796875,202.57691955566406
2020-03-27,554.0,212.29419163295202,191.63768005371094,248.5303955078125
2020-03-28,634.0,243.28608921595983,217.50099182128906,313.3990478515625
2020-03-29,627.0,283.9079023088728,240.08255004882812,386.2709045410156
2020-03-30,820.0,332.92395455496654,267.9637756347656,441.90478515625
2020-03-31,1224.0,399.9507359095982,304.9755554199219,535.26611328125
2020-04-01,1241.0,491.33738490513394,354.6974792480469,699.0745849609375
2020-04-02,1586.0,587.167463030134,422.0242919921875,817.7095947265625
2020-04-03,1315.0,692.247297014509,515.2289428710938,977.0328369140625
2020-04-04,1284.0,786.5216238839286,609.1031494140625,1006.3035888671875
2020-04-05,1439.0,896.226824079241,668.9342651367188,1051.5025634765625
2020-04-06,1668.0,1060.8876429966517,770.73486328125,1219.0369873046875
2020-04-07,2309.0,1258.6444004603795,985.3159790039062,1444.4376220703125
2020-04-08,2116.0,1430.183558872768,1140.44580078125,1678.351318359375
2020-04-09,2075.0,1502.024937220982,1365.019287109375,1711.10986328125
2020-04-10,2093.0,1469.8518240792412,1375.6177978515625,1569.273681640625
2020-04-11,2046.0,1471.5688650948662,1327.1365966796875,1583.601806640625
2020-04-12,1771.0,1593.4920479910713,1351.7406005859375,1710.697509765625
2020-04-13,1828.0,1816.5742885044642,1489.832763671875,1973.6248779296875
2020-04-14,2404.0,2050.708653041295,1875.564208984375,2239.432861328125
2020-04-15,2549.0,2156.572108677455,2004.3177490234375,2344.62353515625
2020-04-16,2113.0,2115.7204241071427,1950.7835693359375,2250.509765625
2020-04-17,2614.0,1966.091796875,1861.593505859375,2069.537109375
2020-04-18,2386.0,1846.0687255859375,1712.757568359375,2002.755859375
2020-04-19,1229.0,1807.8868756975446,1587.84130859375,1970.4085693359375
2020-04-20,1795.0,1881.9453996930804,1559.0960693359375,2062.4296875
2020-04-21,2457.0,2107.0387834821427,1865.996337890625,2236.015625
2020-04-22,2389.0,2308.7740652901784,2147.71337890625,2397.78076171875
2020-04-23,2437.0,2328.432547433036,2027.76953125,2531.619873046875
2020-04-24,2118.0,2194.3994140625,2056.25830078125,2372.489990234375
2020-04-25,1650.0,1872.29833984375,1710.8861083984375,2056.4697265625
2020-04-26,1293.0,1610.231410435268,1359.5245361328125,1896.341796875
2020-04-27,1425.0,1707.3477434430804,1291.3555908203125,2003.8021240234375
2020-04-28,2219.0,2016.783447265625,1737.57421875,2196.813720703125
2020-04-29,2506.0,2270.5130440848216,2053.29931640625,2448.53369140625
2020-04-30,2296.0,2256.4057965959823,2094.760009765625,2468.219970703125
2020-05-01,1869.0,1907.7803606305804,1691.8209228515625,2035.2677001953125
2020-05-02,1556.0,1491.2682233537946,1246.9503173828125,1704.6627197265625
2020-05-03,1096.0,1332.0582624162946,998.219970703125,1673.26513671875
2020-05-04,1309.0,1530.6085728236608,1095.0213623046875,1861.14794921875
2020-05-05,2307.0,1954.256870814732,1628.1246337890625,2193.302978515625
2020-05-06,2458.0,2263.343994140625,2128.9931640625,2411.0263671875
2020-05-07,1919.0,2178.379708426339,1980.87890625,2341.640869140625
2020-05-08,1727.0,1770.2347412109375,1542.3426513671875,1930.6148681640625
2020-05-09,1479.0,1362.8465401785713,1088.191162109375,1568.566162109375
2020-05-10,879.0,1234.0007847377233,865.6295166015625,1605.9451904296875
2020-05-11,1013.0,1483.4003034319196,1010.130126953125,1792.3680419921875
2020-05-12,1615.0,1915.6299002511162,1682.885009765625,2107.711669921875
2020-05-13,1751.0,2131.843924386161,2003.5283203125,2283.12353515625
2020-05-14,1774.0,1971.4833809988838,1822.7796630859375,2182.0625
2020-05-15,1661.0,1595.2364501953125,1319.85498046875,1792.1505126953125
2020-05-16,1223.0,1206.4774169921875,838.9663696289062,1409.0191650390625
2020-05-17,752.0,1011.4406999860491,646.3792724609375,1309.9822998046875
2020-05-18,770.0,1127.7313842773438,853.9617919921875,1396.8118896484375
2020-05-19,1551.0,1424.5573032924108,1271.304443359375,1574.3621826171875
2020-05-20,1568.0,1678.9501953125,1574.2979736328125,1786.6822509765625
2020-05-21,1223.0,1708.4551827566963,1575.897216796875,1887.3671875
2020-05-22,1269.0,1474.1840645926338,1270.655029296875,1689.7613525390625
2020-05-23,1121.0,1144.8885236467634,940.3773193359375,1373.788818359375
2020-05-24,608.0,951.5876377650669,718.4839477539062,1157.340576171875
2020-05-25,513.0,1007.2936401367188,796.4251708984375,1220.6990966796875
2020-05-26,685.0,1233.6770891462054,1140.6556396484375,1347.6907958984375
2020-05-27,1509.0,1377.1863316127233,1164.1793212890625,1458.8656005859375
2020-05-28,1182.0,1359.1208670479912,1242.291259765625,1514.4560546875
2020-05-29,1166.0,1181.8761073521205,966.5062866210938,1392.4637451171875
2020-05-30,969.0,937.5181710379464,705.9443359375,1195.8936767578125
2020-05-31,586.0,760.5375453404018,515.9254150390625,899.981201171875
2020-06-01,772.0,758.9689505440848,514.95361328125,921.3880615234375
2020-06-02,1033.0,932.772234235491,741.348388671875,1036.0531005859375
2020-06-03,990.0,1163.7268938337054,1081.0791015625,1244.2000732421875
2020-06-04,1009.0,1230.3748953683037,1109.643798828125,1382.299072265625
2020-06-05,970.0,1138.2850167410713,1029.5687255859375,1323.48291015625
2020-06-06,680.0,959.0994611467634,762.1372680664062,1127.0062255859375
2020-06-07,451.0,824.7688773018973,635.1141357421875,908.6032104492188
2020-06-08,505.0,837.9500296456473,739.0776977539062,932.559814453125
2020-06-09,940.0,940.3521030970982,869.5990600585938,989.3370971679688
2020-06-10,917.0,1013.1609497070312,938.4862670898438,1063.117431640625
2020-06-11,881.0,998.4654802594866,927.749755859375,1093.547119140625
2020-06-12,822.0,886.4966779436384,749.1160888671875,1056.5863037109375
2020-06-13,750.0,744.1545846121652,624.771484375,914.4947509765625
2020-06-14,298.0,675.3400617327009,575.8117065429688,739.7875366210938
2020-06-15,391.0,710.4818812779018,653.0601196289062,785.9130249023438
2020-06-16,839.0,824.3626534598214,765.9313354492188,892.136962890625
2020-06-17,751.0,916.2352992466518,830.1524658203125,989.5975341796875
2020-06-18,704.0,909.2984270368304,802.5665893554688,1029.7701416015625
2020-06-19,672.0,809.4001813616071,679.0658569335938,987.757080078125
2020-06-20,610.0,679.2429112025669,564.6491088867188,882.6795654296875
2020-06-21,255.0,591.7848249162946,509.48223876953125,675.7195434570312
2020-06-22,406.0,608.9505615234375,567.3352661132812,669.9030151367188
2020-06-23,837.0,699.7745710100446,667.4857177734375,732.156982421875
2020-06-24,757.0,771.0244402204241,716.6521606445312,810.7490844726562
2020-06-25,2422.0,766.4195469447544,701.64599609375,877.1585693359375
2020-06-26,605.0,744.6378261021206,571.3129272460938,1020.9257202148438
2020-06-27,489.0,637.813249860491,497.11456298828125,779.11865234375
2020-06-28,241.0,584.0999843052456,481.523193359375,683.21875
2020-06-29,350.0,690.7510375976562,561.6943359375,836.2268676757812
2020-06-30,721.0,920.2471051897321,701.5885009765625,1131.9664306640625
2020-07-01,673.0,1158.1363525390625,778.7587890625,1376.490966796875
2020-07-02,698.0,1238.1107177734375,1042.5733642578125,1435.2333984375
2020-07-03,639.0,953.2796282087054,597.9542846679688,1214.66357421875
2020-07-04,247.0,620.3849182128906,421.1235046386719,906.1615600585938
2020-07-05,271.0,412.4734148297991,172.6805419921875,583.4619750976562
2020-07-06,325.0,435.57605716160367,25.22371482849121,592.7200927734375
2020-07-07,1195.0,597.4215959821429,315.3526611328125,695.666259765625
2020-07-08,820.0,729.3017490931919,663.5816040039062,788.0225830078125
2020-07-09,990.0,699.4393310546875,602.8621826171875,804.7974853515625
2020-07-10,811.0,613.6971566336496,467.4945983886719,750.825439453125
2020-07-11,676.0,529.2191946847098,393.8245544433594,619.6621704101562
2020-07-12,428.0,546.9850420270648,385.4998474121094,661.8018188476562
2020-07-13,361.0,676.82912336077,477.8573303222656,770.0048217773438
2020-07-14,900.0,859.4797973632812,778.055419921875,960.1491088867188
2020-07-15,949.0,960.0061122349331,838.1884155273438,1117.3299560546875
2020-07-16,943.0,951.3373674665179,847.9500732421875,1099.985107421875
2020-07-17,908.0,833.0865652901786,657.93115234375,1015.0911254882812
2020-07-18,853.0,699.5036882672991,523.06005859375,857.883056640625
2020-07-19,415.0,635.307390485491,489.686767578125,726.705078125
2020-07-20,491.0,680.3246111188616,607.6160888671875,754.7166748046875
2020-07-21,1096.0,815.6573224748884,751.4102172851562,887.3494873046875
2020-07-22,1195.0,952.5647379557291,892.155517578125,1012.3716430664062
2020-07-23,1114.0,1004.5931030273438,911.8265380859375,1114.855224609375
2020-07-24,1130.0,959.8450469970703,785.472412109375,1086.014892578125
2020-07-25,905.0,838.8344116210938,691.3409423828125,953.37548828125
2020-07-26,470.0,694.7167663574219,630.362060546875,759.0714721679688
2020-07-27,1076.0,674.3302612304688,674.3302612304688,674.3302612304688
2020-07-28,,1100.037353515625,1100.037353515625,1100.037353515625
2020-07-29,,1156.5281982421875,1156.5281982421875,1156.5281982421875
2020-07-30,,1070.0916748046875,1070.0916748046875,1070.0916748046875
2020-07-31,,912.7062377929688,912.7062377929688,912.7062377929688
2020-08-01,,820.0261840820312,820.0261840820312,820.0261840820312
2020-08-02,,834.119384765625,834.119384765625,834.119384765625
2020-08-03,,934.6793212890625,934.6793212890625,934.6793212890625
