,Total,forecast,interval_low,interval_high
2020-06-21,26439.0,26086.349609375,23428.314453125,28566.865234375
2020-06-22,30536.0,26221.693359375,23887.990234375,29931.283203125
2020-06-23,35188.0,24912.24609375,23237.841796875,28048.3046875
2020-06-24,34935.0,23403.6015625,22196.208984375,25381.13671875
2020-06-25,39873.0,23296.166015625,21783.83203125,25033.3125
2020-06-26,45255.0,24525.048828125,22562.078125,27081.666015625
2020-06-27,42705.0,26810.083984375,24309.205078125,30132.1953125
2020-06-28,39605.0,35250.5546875,32942.27734375,38061.96484375
2020-06-29,40804.0,34948.8828125,32560.966796875,39320.6171875
2020-06-30,45746.0,34077.43359375,31476.4609375,37214.70703125
2020-07-01,51174.0,33824.60546875,32038.556640625,35734.02734375
2020-07-02,54461.0,34917.5234375,33175.85546875,36518.2578125
2020-07-03,53312.0,36319.8046875,34827.734375,39557.09375
2020-07-04,45880.0,37738.6484375,34968.55078125,41499.55859375
2020-07-05,49883.0,52971.17578125,46086.23046875,57760.91796875
2020-07-06,44953.0,53570.1796875,47704.40625,60030.02734375
2020-07-07,60021.0,51167.984375,47537.74609375,56282.80078125
2020-07-08,58601.0,49934.15625,47807.04296875,52820.6953125
2020-07-09,63247.0,51133.59765625,47793.2265625,53640.30078125
2020-07-10,67791.0,54835.4921875,49761.69140625,57923.87109375
2020-07-11,60188.0,59350.67578125,49755.20703125,63119.75390625
2020-07-12,59017.0,61396.36328125,55063.6640625,65229.6875
2020-07-13,59215.0,61969.57421875,57107.890625,67476.0859375
2020-07-14,67417.0,59526.0390625,57004.24609375,63384.6796875
2020-07-15,67328.0,58173.57421875,56004.0,60056.37109375
2020-07-16,77255.0,60804.04296875,57906.9296875,63504.0859375
2020-07-17,71558.0,64298.3359375,60477.140625,66997.3359375
2020-07-18,63698.0,67905.359375,60276.7890625,70151.359375
2020-07-19,,68957.765625,65949.8828125,72968.0703125
2020-07-20,,72036.671875,67632.375,75461.1171875
2020-07-21,,73820.75,66205.703125,79599.734375
2020-07-22,,72569.171875,68153.609375,77921.640625
2020-07-23,,75069.6640625,67943.5859375,81604.359375
2020-07-24,,74107.6953125,66334.34375,82834.9140625
2020-07-25,,73475.890625,66905.8671875,80483.0234375
