,Mississippi,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,11.99548053741455,3.501868486404419,25.901718139648438
2020-02-03,0.0,18.166868209838867,9.278881072998047,32.15641784667969
2020-02-04,0.0,22.5526065826416,14.838662147521973,37.613128662109375
2020-02-05,0.0,17.103017807006836,7.249419212341309,35.221351623535156
2020-02-06,0.0,18.45011329650879,13.716426849365234,27.698486328125
2020-02-07,0.0,20.381656646728516,12.464349746704102,33.25135040283203
2020-02-08,0.0,20.659879684448242,8.147602081298828,32.304569244384766
2020-02-09,0.0,11.99548053741455,3.501868486404419,25.901718139648438
2020-02-10,0.0,18.166868209838867,9.278881072998047,32.15641784667969
2020-02-11,0.0,22.5526065826416,14.838662147521973,37.613128662109375
2020-02-12,0.0,17.103017807006836,7.249419212341309,35.221351623535156
2020-02-13,0.0,18.45011329650879,13.716426849365234,27.698486328125
2020-02-14,0.0,20.381656646728516,12.464349746704102,33.25135040283203
2020-02-15,0.0,20.659879684448242,8.147602081298828,32.304569244384766
2020-02-16,0.0,11.99548053741455,3.501868486404419,25.901718139648438
2020-02-17,0.0,18.166868209838867,9.278881072998047,32.15641784667969
2020-02-18,0.0,22.5526065826416,14.838662147521973,37.613128662109375
2020-02-19,0.0,17.103017807006836,7.249419212341309,35.221351623535156
2020-02-20,0.0,18.45011329650879,13.716426849365234,27.698486328125
2020-02-21,0.0,20.381656646728516,12.464349746704102,33.25135040283203
2020-02-22,0.0,20.659879684448242,8.147602081298828,32.304569244384766
2020-02-23,0.0,11.99548053741455,3.501868486404419,25.901718139648438
2020-02-24,0.0,18.166868209838867,9.278881072998047,32.15641784667969
2020-02-25,0.0,22.5526065826416,14.838662147521973,37.613128662109375
2020-02-26,0.0,17.103017807006836,7.249419212341309,35.221351623535156
2020-02-27,0.0,18.45011329650879,13.716426849365234,27.698486328125
2020-02-28,0.0,20.381656646728516,12.464349746704102,33.25135040283203
2020-02-29,0.0,20.659879684448242,8.147602081298828,32.304569244384766
2020-03-01,0.0,11.99548053741455,3.501868486404419,25.901718139648438
2020-03-02,0.0,18.166868209838867,9.278881072998047,32.15641784667969
2020-03-03,0.0,22.5526065826416,14.838662147521973,37.613128662109375
2020-03-04,0.0,17.103017807006836,7.249419212341309,35.221351623535156
2020-03-05,0.0,18.45011329650879,13.716426849365234,27.698486328125
2020-03-06,0.0,20.381656646728516,12.464349746704102,33.25135040283203
2020-03-07,0.0,20.659879684448242,8.147602081298828,32.304569244384766
2020-03-08,0.0,11.99548053741455,3.501868486404419,25.901718139648438
2020-03-09,0.0,18.166868209838867,9.278881072998047,32.15641784667969
2020-03-10,0.0,22.5526065826416,14.838662147521973,37.613128662109375
2020-03-11,0.0,17.103017807006836,7.249419212341309,35.221351623535156
2020-03-12,1.0,18.45011329650879,13.716426849365234,27.698486328125
2020-03-13,5.0,20.381656646728516,12.464349746704102,33.25135040283203
2020-03-14,0.0,20.659879684448242,8.147602081298828,32.304569244384766
2020-03-15,0.0,11.99548053741455,3.501868486404419,25.901718139648438
2020-03-16,6.0,18.166868209838867,9.278881072998047,32.15641784667969
2020-03-17,9.0,22.5526065826416,14.838662147521973,37.613128662109375
2020-03-18,13.0,17.103017807006836,7.249419212341309,35.221351623535156
2020-03-19,16.0,18.45011329650879,13.716426849365234,27.698486328125
2020-03-20,30.0,20.381656646728516,12.464349746704102,33.25135040283203
2020-03-21,60.0,20.659879684448242,8.147602081298828,32.304569244384766
2020-03-22,67.0,17.446189880371094,9.139941215515137,31.29991912841797
2020-03-23,42.0,22.2631778717041,13.723493576049805,36.2581787109375
2020-03-24,71.0,27.274999618530273,19.69976234436035,42.19086837768555
2020-03-25,57.0,20.630300521850586,11.122014045715332,38.41738510131836
2020-03-26,108.0,22.713937759399414,17.82497215270996,31.962013244628906
2020-03-27,94.0,25.437232971191406,17.82697296142578,38.40399932861328
2020-03-28,84.0,27.464311599731445,14.802604675292969,39.410640716552734
2020-03-29,96.0,64.08274841308594,55.6904411315918,76.2234115600586
2020-03-30,88.0,64.5174789428711,55.37085723876953,78.28305053710938
2020-03-31,90.0,72.46533966064453,64.3484878540039,86.68111419677734
2020-04-01,136.0,68.03082275390625,58.3919677734375,84.0652847290039
2020-04-02,104.0,72.5711441040039,66.73326873779297,81.70443725585938
2020-04-03,181.0,74.93669891357422,67.12532806396484,89.2066650390625
2020-04-04,97.0,79.87945556640625,69.39904022216797,92.78560638427734
2020-04-05,183.0,122.07532501220703,115.02143859863281,133.9864501953125
2020-04-06,100.0,124.6539077758789,115.48894500732422,140.40713500976562
2020-04-07,177.0,132.8540802001953,121.97240447998047,148.98951721191406
2020-04-08,88.0,123.57508087158203,111.62464141845703,137.63011169433594
2020-04-09,257.0,121.3504638671875,117.54777526855469,128.89605712890625
2020-04-10,209.0,122.74185943603516,112.75138092041016,136.01341247558594
2020-04-11,173.0,135.58082580566406,125.88816833496094,149.78468322753906
2020-04-12,139.0,153.7512969970703,147.8247833251953,162.81756591796875
2020-04-13,161.0,160.24546813964844,151.2276611328125,174.8775634765625
2020-04-14,145.0,167.4607391357422,159.30496215820312,183.45864868164062
2020-04-15,273.0,170.05795288085938,156.30078125,184.0510711669922
2020-04-16,264.0,167.28147888183594,160.57469177246094,175.29872131347656
