,California,forecast,interval_low,interval_high
2020-01-22,0.0,-0.2526204586029053,-4.013279914855957,6.227300643920898
2020-01-23,0.0,-4.478694915771484,-22.090593338012695,8.372625350952148
2020-01-24,0.0,-42.551082611083984,-115.84964752197266,1.942177414894104
2020-01-25,0.0,37.37216567993164,-0.47578275203704834,94.35700225830078
2020-01-26,2.0,12.434107780456543,1.8311491012573242,44.67598342895508
2020-01-27,2.0,58.7115592956543,0.5140225887298584,288.6517639160156
2020-01-28,2.0,7.1978044509887695,2.34205961227417,16.135108947753906
2020-01-29,2.0,-47.7567253112793,-227.65879821777344,2.114711046218872
2020-01-30,2.0,-21.071964263916016,-74.5326919555664,4.009751319885254
2020-01-31,3.0,-60.42191696166992,-183.95327758789062,2.7928667068481445
2020-02-01,3.0,3.311549663543701,1.9285534620285034,4.579967498779297
2020-02-02,3.0,-51.48497772216797,-277.09765625,8.412832260131836
2020-02-03,6.0,7.8431243896484375,-3.494872570037842,23.283653259277344
2020-02-04,6.0,14.340631484985352,4.417479515075684,40.96194839477539
2020-02-05,6.0,5.446450233459473,1.3583455085754395,13.047449111938477
2020-02-06,6.0,3.6438403129577637,-8.537954330444336,8.056509017944336
2020-02-07,6.0,15.913164138793945,3.4541375637054443,33.51788330078125
2020-02-08,6.0,-2.1650288105010986,-19.892414093017578,6.9424357414245605
2020-02-09,6.0,-24.776090621948242,-164.56576538085938,15.071746826171875
2020-02-10,6.0,5.596230506896973,0.904322624206543,9.507195472717285
2020-02-11,7.0,9.617134094238281,-5.253952503204346,19.339609146118164
2020-02-12,7.0,5.452547550201416,-4.684043884277344,10.76063060760498
2020-02-13,8.0,16.469860076904297,4.398617744445801,37.483036041259766
2020-02-14,8.0,13.752374649047852,-3.915123462677002,58.489288330078125
2020-02-15,8.0,4.145417213439941,-6.1190643310546875,18.388160705566406
2020-02-16,8.0,16.77812957763672,-106.23678588867188,119.24057006835938
2020-02-17,8.0,-53.17854690551758,-270.5848693847656,27.010299682617188
2020-02-18,8.0,11.240137100219727,-5.215802192687988,49.8619499206543
2020-02-19,8.0,5.885399341583252,-39.882259368896484,43.219635009765625
2020-02-20,8.0,9.0911283493042,0.5562460422515869,13.559052467346191
2020-02-21,10.0,-18.010833740234375,-143.16403198242188,19.282848358154297
2020-02-22,10.0,6.807810306549072,-5.340031147003174,13.443473815917969
2020-02-23,10.0,-2.3655402660369873,-43.36492156982422,19.03516387939453
2020-02-24,10.0,1.3563625812530518,-26.030532836914062,16.564434051513672
2020-02-25,10.0,7.950284481048584,-1.3537601232528687,13.11318302154541
2020-02-26,10.0,9.156237602233887,5.87912130355835,11.206218719482422
2020-02-27,11.0,-0.2761106491088867,-13.450446128845215,14.352920532226562
2020-02-28,11.0,12.469500541687012,8.555582046508789,16.064208984375
2020-02-29,12.0,15.0167818069458,11.366100311279297,19.000154495239258
2020-03-01,12.0,11.354503631591797,10.193757057189941,12.307132720947266
2020-03-02,21.0,32.84988784790039,18.17438316345215,68.91934967041016
2020-03-03,25.0,23.02187156677246,15.596634864807129,29.884611129760742
2020-03-04,35.0,36.98426055908203,31.31778335571289,41.308780670166016
2020-03-05,51.0,48.433563232421875,45.573486328125,54.02320098876953
2020-03-06,59.0,57.376197814941406,48.233253479003906,62.862464904785156
2020-03-07,81.0,150.77163696289062,65.00607299804688,433.9194641113281
2020-03-08,95.0,85.56855773925781,34.14973068237305,113.1130599975586
2020-03-09,101.0,104.29521179199219,53.026153564453125,183.61575317382812
2020-03-10,144.0,155.97988891601562,144.40977478027344,171.90167236328125
2020-03-11,178.0,168.7425994873047,150.0701141357422,194.9890899658203
2020-03-12,221.0,213.4507598876953,156.2445068359375,263.8303527832031
2020-03-13,281.0,335.15472412109375,265.9361572265625,447.4956970214844
2020-03-14,372.0,373.7471923828125,366.2156982421875,386.61651611328125
2020-03-15,373.0,395.03814697265625,265.4361572265625,586.7139282226562
2020-03-16,557.0,623.9879150390625,558.054931640625,843.6051025390625
2020-03-17,700.0,661.094482421875,519.9108276367188,701.4743041992188
2020-03-18,831.0,865.1800537109375,816.772705078125,1014.0936279296875
2020-03-19,1009.0,979.8932495117188,884.3349609375,1029.299072265625
2020-03-20,1243.0,1321.353515625,1240.44873046875,1483.5750732421875
2020-03-21,1412.0,1442.998779296875,1404.44873046875,1562.7242431640625
2020-03-22,1651.0,1763.1273193359375,1391.3682861328125,2479.98583984375
2020-03-23,2113.0,2182.357421875,2108.51220703125,2448.094970703125
2020-03-24,2542.0,2542.899658203125,2532.598388671875,2550.707763671875
2020-03-25,3009.0,3001.607421875,2991.9716796875,3008.971923828125
2020-03-26,3910.0,4089.892578125,3908.696044921875,4768.40966796875
2020-03-27,4679.0,4752.0087890625,4674.7001953125,5036.3994140625
2020-03-28,5110.0,5102.365234375,5078.77734375,5115.24267578125
2020-03-29,5863.0,6070.9677734375,5861.10400390625,6877.787109375
2020-03-30,7155.0,7151.8662109375,7148.74853515625,7154.19580078125
2020-03-31,8233.0,8029.1376953125,7207.94677734375,8235.5087890625
2020-04-01,9410.0,9415.6181640625,9410.2529296875,9423.7841796875
