,South Dakota,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,0.009596917904889285,0.009596917904889285,0.009596917904889285
2020-01-25,0.0,0.013557978909803248,0.013557978909803248,0.013557978909803248
2020-01-26,0.0,0.016482854445216504,0.016482854445216504,0.016482854445216504
2020-01-27,0.0,0.019143667077883973,0.019143667077883973,0.019143667077883973
2020-01-28,0.0,0.0276409743888623,0.0276409743888623,0.0276409743888623
2020-01-29,0.0,0.03539971944212152,0.03539971944212152,0.03539971944212152
2020-01-30,0.0,0.04234182350460446,0.04234182350460446,0.04234182350460446
2020-01-31,0.0,0.04850598356047348,0.04850598356047348,0.04850598356047348
2020-02-01,0.0,0.053992895080187286,0.053992895080187286,0.053992895080187286
2020-02-02,0.0,0.05892401452421205,0.05892401452421205,0.05892401452421205
2020-02-03,0.0,0.06341696237277508,0.06341696237277508,0.06341696237277508
2020-02-04,0.0,0.0675739558668847,0.0675739558668847,0.0675739558668847
2020-02-05,0.0,0.0714783660616915,0.0714783660616915,0.0714783660616915
2020-02-06,0.0,0.0751955082988309,0.0751955082988309,0.0751955082988309
2020-02-07,0.0,0.07877520147295791,0.07877520147295791,0.07877520147295791
2020-02-08,0.0,0.08225475460245951,0.08225475460245951,0.08225475460245951
2020-02-09,0.0,0.08566175126287306,0.08566175126287306,0.08566175126287306
2020-02-10,0.0,0.08901639769998616,0.08901639769998616,0.08901639769998616
2020-02-11,0.0,0.0923333963831079,0.0923333963831079,0.0923333963831079
2020-02-12,0.0,0.09562339120257154,0.09562339120257154,0.09562339120257154
2020-02-13,0.0,0.0988940580297591,0.0988940580297591,0.0988940580297591
2020-02-14,0.0,0.10215091550765773,0.10215091550765773,0.10215091550765773
2020-02-15,0.0,0.1053979215913401,0.1053979215913401,0.1053979215913401
2020-02-16,0.0,0.10863790916490942,0.10863790916490942,0.10863790916490942
2020-02-17,0.0,0.11187290237619688,0.11187290237619688,0.11187290237619688
2020-02-18,0.0,0.11510434537666264,0.11510434537666264,0.11510434537666264
2020-02-19,0.0,0.11833326717185064,0.11833326717185064,0.11833326717185064
2020-02-20,0.0,0.12156040010935151,0.12156040010935151,0.12156040010935151
2020-02-21,0.0,0.12478626485502987,0.12478626485502987,0.12478626485502987
2020-02-22,0.0,0.12801123122173202,0.12801123122173202,0.12801123122173202
2020-02-23,0.0,0.1312355616421979,0.1312355616421979,0.1312355616421979
2020-02-24,0.0,0.13445944219411277,0.13445944219411277,0.13445944219411277
2020-02-25,0.0,0.137683004713522,0.137683004713522,0.137683004713522
2020-02-26,0.0,0.14090634253832537,0.14090634253832537,0.14090634253832537
2020-02-27,0.0,0.14412952170500423,0.14412952170500423,0.14412952170500423
2020-02-28,0.0,0.14735258890400774,0.14735258890400774,0.14735258890400774
2020-02-29,0.0,0.1505755771270612,0.1505755771270612,0.1505755771270612
2020-03-01,0.0,0.15379850967267736,0.15379850967267736,0.15379850967267736
2020-03-02,0.0,0.15702140298494338,0.15702140298494338,0.15702140298494338
2020-03-03,0.0,0.1602442686639408,0.1602442686639408,0.1602442686639408
2020-03-04,0.0,0.16346711488852253,0.16346711488852253,0.16346711488852253
2020-03-05,0.0,0.16668994742255142,0.16668994742255142,0.16668994742255142
2020-03-06,0.0,0.1699127703260988,0.1699127703260988,0.1699127703260988
2020-03-07,0.0,0.17313558645781538,0.17313558645781538,0.17313558645781538
2020-03-08,0.0,0.1763583978295887,0.1763583978295887,0.1763583978295887
2020-03-09,0.0,0.17958120585678558,0.17958120585678558,0.17958120585678558
2020-03-10,0.0,0.18280401153472875,0.18280401153472875,0.18280401153472875
2020-03-11,1.0,1.186026815563091,1.186026815563091,1.186026815563091
2020-03-12,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.20989838763021415,0.20989838763021415,0.20989838763021415
2020-03-14,0.0,0.103933762740267,0.103933762740267,0.103933762740267
2020-03-15,0.0,0.0012785458776710112,0.0012785458776710112,0.0012785458776710112
2020-03-16,0.0,0.3944416106892509,0.3944416106892509,0.3944416106892509
2020-03-17,0.0,0.3410742087181797,0.3410742087181797,0.3410742087181797
2020-03-18,0.0,0.30525848567054514,0.30525848567054514,0.30525848567054514
2020-03-19,0.0,0.2815363987065663,0.2815363987065663,0.2815363987065663
2020-03-20,0.0,0.26614782167257767,0.26614782167257767,0.26614782167257767
2020-03-21,0.0,0.25650224799438115,0.25650224799438115,0.25650224799438115
2020-03-22,0.0,0.2508149001336446,0.2508149001336446,0.2508149001336446
2020-03-23,0.0,0.24785607201737678,0.24785607201737678,0.24785607201737678
2020-03-24,0.0,0.24677846276130597,0.24677846276130597,0.24677846276130597
2020-03-25,0.0,0.2469982306100139,0.2469982306100139,0.2469982306100139
2020-03-26,0.0,0.24811305072090992,0.24811305072090992,0.24811305072090992
2020-03-27,0.0,0.24984566310356535,0.24984566310356535,0.24984566310356535
2020-03-28,0.0,0.25200498012831773,0.25200498012831773,0.25200498012831773
2020-03-29,0.0,0.2544592908266273,0.2544592908266273,0.2544592908266273
2020-03-30,0.0,0.25711779894810527,0.25711779894810527,0.25711779894810527
2020-03-31,0.0,0.25991790251330815,0.25991790251330815,0.25991790251330815
2020-04-01,1.0,1.2628164290571577,1.2628164290571577,1.2628164290571577
2020-04-02,0.0,0.0,0.0,0.0
2020-04-03,0.0,0.2821527096305273,0.2821527096305273,0.2821527096305273
2020-04-04,0.0,0.1761407861640649,0.1761407861640649,0.1761407861640649
2020-04-05,0.0,0.07299596289959429,0.07299596289959429,0.07299596289959429
