,Colorado,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,2.9407472610473633,0.0,9.032279968261719
2020-02-03,0.0,9.64517879486084,1.4506107568740845,17.1309757232666
2020-02-04,0.0,12.62777328491211,7.498218059539795,17.200916290283203
2020-02-05,0.0,14.31362247467041,10.586129188537598,19.576908111572266
2020-02-06,0.0,16.860511779785156,14.97846508026123,17.86885643005371
2020-02-07,0.0,21.233369827270508,19.247957229614258,22.824054718017578
2020-02-08,0.0,26.98162269592285,20.32658576965332,31.310644149780273
2020-02-09,0.0,2.9407472610473633,0.0,9.032279968261719
2020-02-10,0.0,9.64517879486084,1.4506107568740845,17.1309757232666
2020-02-11,0.0,12.62777328491211,7.498218059539795,17.200916290283203
2020-02-12,0.0,14.31362247467041,10.586129188537598,19.576908111572266
2020-02-13,0.0,16.860511779785156,14.97846508026123,17.86885643005371
2020-02-14,0.0,21.233369827270508,19.247957229614258,22.824054718017578
2020-02-15,0.0,26.98162269592285,20.32658576965332,31.310644149780273
2020-02-16,0.0,2.9407472610473633,0.0,9.032279968261719
2020-02-17,0.0,9.64517879486084,1.4506107568740845,17.1309757232666
2020-02-18,0.0,12.62777328491211,7.498218059539795,17.200916290283203
2020-02-19,0.0,14.31362247467041,10.586129188537598,19.576908111572266
2020-02-20,0.0,16.860511779785156,14.97846508026123,17.86885643005371
2020-02-21,0.0,21.233369827270508,19.247957229614258,22.824054718017578
2020-02-22,0.0,26.98162269592285,20.32658576965332,31.310644149780273
2020-02-23,0.0,2.9407472610473633,0.0,9.032279968261719
2020-02-24,0.0,9.64517879486084,1.4506107568740845,17.1309757232666
2020-02-25,0.0,12.62777328491211,7.498218059539795,17.200916290283203
2020-02-26,0.0,14.31362247467041,10.586129188537598,19.576908111572266
2020-02-27,0.0,16.860511779785156,14.97846508026123,17.86885643005371
2020-02-28,0.0,21.233369827270508,19.247957229614258,22.824054718017578
2020-02-29,0.0,26.98162269592285,20.32658576965332,31.310644149780273
2020-03-01,0.0,2.9407472610473633,0.0,9.032279968261719
2020-03-02,0.0,9.64517879486084,1.4506107568740845,17.1309757232666
2020-03-03,0.0,12.62777328491211,7.498218059539795,17.200916290283203
2020-03-04,0.0,14.31362247467041,10.586129188537598,19.576908111572266
2020-03-05,2.0,16.860511779785156,14.97846508026123,17.86885643005371
