,Alaska,forecast,interval_low,interval_high
2020-01-23,0.0,0.0019482076168060303,-0.0033899545669555664,0.005252808332443237
2020-01-24,0.0,-0.014649832621216774,-0.06306338310241699,0.0019940733909606934
2020-01-25,0.0,-0.09588656574487686,-0.476898729801178,0.0018321573734283447
2020-01-26,0.0,-0.028500670567154884,-0.12983733415603638,0.0022886693477630615
2020-01-27,0.0,0.003020942211151123,-0.003042876720428467,0.006993383169174194
2020-01-28,0.0,0.04621152952313423,-0.004220902919769287,0.2261963188648224
2020-01-29,0.0,-0.027874451130628586,-0.15150684118270874,0.00914350152015686
2020-01-30,0.0,-0.000762379146181047,-0.007284045219421387,0.0036160647869110107
2020-01-31,0.0,0.36536043882369995,-0.03288155794143677,1.863564133644104
2020-02-01,0.0,0.05280933529138565,-0.01604849100112915,0.27905845642089844
2020-02-02,0.0,0.01075046043843031,-0.043202996253967285,0.09661370515823364
2020-02-03,0.0,0.008213621564209461,-0.0023733973503112793,0.04591217637062073
2020-02-04,0.0,-0.04781169444322586,-0.23966532945632935,0.004952341318130493
2020-02-05,0.0,0.017655247822403908,-0.04927617311477661,0.1693611443042755
2020-02-06,0.0,-0.005498635582625866,-0.013232231140136719,0.0014243125915527344
2020-02-07,0.0,0.019078845158219337,0.0012236535549163818,0.06275475025177002
2020-02-08,0.0,0.017091751098632812,-0.002953827381134033,0.05337211489677429
2020-02-09,0.0,-0.1481330692768097,-0.7285531759262085,-0.0016956329345703125
2020-02-10,0.0,0.005159246735274792,-0.0017639994621276855,0.017222046852111816
2020-02-11,0.0,-0.008027911186218262,-0.04042893648147583,0.011211514472961426
2020-02-12,0.0,-0.004135996103286743,-0.014105081558227539,0.004515796899795532
2020-02-13,0.0,-0.005959439091384411,-0.026968061923980713,0.002607583999633789
2020-02-14,0.0,0.0018741965759545565,-0.0035230517387390137,0.006086140871047974
2020-02-15,0.0,0.003935694694519043,-0.04049617052078247,0.05982750654220581
2020-02-16,0.0,-0.03730982542037964,-0.1768418550491333,-0.0007837414741516113
2020-02-17,0.0,0.019890982657670975,-0.007322907447814941,0.10769587755203247
2020-02-18,0.0,0.04813029617071152,-0.09448522329330444,0.3313932418823242
2020-02-19,0.0,0.05504264682531357,0.005698353052139282,0.22306427359580994
2020-02-20,0.0,-0.06507334113121033,-0.2899082899093628,0.0001576840877532959
2020-02-21,0.0,0.0024855793453752995,-0.005635619163513184,0.007726520299911499
2020-02-22,0.0,-0.0013813376426696777,-0.008587419986724854,0.005791515111923218
2020-02-23,0.0,0.040958989411592484,-0.12167823314666748,0.3223830461502075
2020-02-24,0.0,0.005344337318092585,5.4776668548583984e-05,0.014759242534637451
2020-02-25,0.0,-0.009853792376816273,-0.0332484245300293,-0.0020945072174072266
2020-02-26,0.0,0.4140571653842926,-0.004738867282867432,2.062790870666504
2020-02-27,0.0,-0.00018471479415893555,-0.003740072250366211,0.002632737159729004
2020-02-28,0.0,0.9148420095443726,-0.0016344785690307617,4.56963586807251
2020-02-29,0.0,0.002068072557449341,-0.002660393714904785,0.004501670598983765
2020-03-01,0.0,0.015680909156799316,-0.0005486011505126953,0.07490810751914978
2020-03-02,0.0,-0.0009358644601888955,-0.005371809005737305,0.0008072257041931152
2020-03-03,0.0,0.0022442222107201815,-0.003793179988861084,0.0069608986377716064
2020-03-04,0.0,0.02849004790186882,-0.016138970851898193,0.151741623878479
2020-03-05,0.0,-0.012093174271285534,-0.04334819316864014,-0.0017036795616149902
2020-03-06,0.0,0.006729322485625744,0.001233607530593872,0.01846456527709961
2020-03-07,0.0,-0.007813459262251854,-0.016248464584350586,0.00016894936561584473
2020-03-08,0.0,0.011883157305419445,-0.00778430700302124,0.0509621798992157
2020-03-09,0.0,-0.09005191922187805,-0.4345805048942566,0.001355677843093872
2020-03-10,0.0,0.002816015388816595,-0.009703874588012695,0.016085565090179443
2020-03-11,0.0,-0.005827176384627819,-0.029568791389465332,0.008822053670883179
2020-03-12,0.0,0.1399918496608734,-0.008875131607055664,0.6827630996704102
2020-03-13,1.0,1.0016090869903564,0.9829974174499512,1.036017656326294
2020-03-14,0.0,-0.0019490659469738603,-0.015060901641845703,0.00463259220123291
2020-03-15,0.0,0.002786237047985196,-0.008632540702819824,0.014887690544128418
2020-03-16,0.0,0.8012495040893555,0.0001246333122253418,2.025970935821533
2020-03-17,2.0,2.133897304534912,1.9996212720870972,2.640598773956299
2020-03-18,2.0,1.9836883544921875,1.9139938354492188,2.005610942840576
2020-03-19,3.0,2.913707733154297,2.6454765796661377,3.0019936561584473
2020-03-20,3.0,2.9919509887695312,2.9809601306915283,2.996645450592041
2020-03-21,2.0,2.0133018493652344,2.004450798034668,2.018867254257202
2020-03-22,5.0,6.807790279388428,4.995350360870361,14.04986572265625
2020-03-23,12.0,10.695941925048828,5.573789119720459,11.991615295410156
2020-03-24,4.0,5.424651145935059,4.011577129364014,8.037951469421387
2020-03-25,7.0,7.591364860534668,4.121110916137695,15.106279373168945
2020-03-26,15.0,7.518370151519775,2.0365381240844727,14.977843284606934
2020-03-27,2.0,2.01039719581604,1.9989134073257446,2.0228524208068848
2020-03-28,27.0,24.74087905883789,15.7736234664917,26.993745803833008
2020-03-29,17.0,17.001506805419922,16.99350357055664,17.0048828125
2020-03-30,12.0,11.999185562133789,11.996843338012695,12.00274658203125
2020-03-31,5.0,8.436445236206055,5.003805160522461,15.05489730834961
2020-04-01,13.0,12.998039245605469,12.991930961608887,13.01172161102295
2020-04-02,11.0,11.7649507522583,11.002533912658691,13.271228790283203
2020-04-03,14.0,13.115986824035645,11.648260116577148,14.008301734924316
2020-04-04,14.0,13.884719848632812,13.224714279174805,14.199472427368164
2020-04-05,14.0,14.107271194458008,13.99303150177002,14.54167652130127
2020-04-06,5.0,8.534139633178711,5.0080952644348145,17.665611267089844
2020-04-07,23.0,14.482261657714844,5.788733959197998,22.980926513671875
2020-04-08,13.0,12.543022155761719,10.774131774902344,13.001188278198242
2020-04-09,9.0,9.738821029663086,9.01271915435791,11.0311279296875
2020-04-10,11.0,10.831643104553223,10.161537170410156,10.99952220916748
2020-04-11,11.0,11.856263160705566,9.81258487701416,14.175605773925781
2020-04-12,15.0,13.809854507446289,9.075006484985352,14.996589660644531
2020-04-13,5.0,5.3015947341918945,4.9846978187561035,6.539031028747559
2020-04-14,8.0,8.059342384338379,7.871176242828369,8.392486572265625
2020-04-15,8.0,8.663383483886719,7.967060565948486,10.746284484863281
2020-04-16,7.0,7.522133827209473,7.008759021759033,8.659055709838867
2020-04-17,9.0,8.989297866821289,8.973922729492188,8.999173164367676
2020-04-18,5.0,6.003981590270996,4.994997978210449,10.007063865661621
2020-04-19,5.0,4.814484596252441,4.016604423522949,5.071762561798096
2020-04-20,2.0,2.87872314453125,2.0111899375915527,6.300593852996826
2020-04-21,8.0,7.981106758117676,7.969716548919678,7.992919445037842
