,South Dakota,forecast,interval_low,interval_high
2020-01-23,0.0,0.5972913503646851,-0.005884706974029541,2.419665813446045
2020-01-24,0.0,-0.27035802602767944,-1.311795711517334,0.011531263589859009
2020-01-25,0.0,0.47455114126205444,-0.003523528575897217,2.281973361968994
2020-01-26,0.0,-0.42308536171913147,-2.067821741104126,-0.0010334253311157227
2020-01-27,0.0,-0.2581993043422699,-0.7582513093948364,-0.004614710807800293
2020-01-28,0.0,0.38568925857543945,-0.4352104663848877,2.2913007736206055
2020-01-29,0.0,-0.39576056599617004,-1.9138131141662598,-0.0023800134658813477
2020-01-30,0.0,0.013776153326034546,-0.0008383989334106445,0.02439039945602417
2020-01-31,0.0,-0.004638111684471369,-0.011452019214630127,0.0002224445343017578
2020-02-01,0.0,0.0016893685096874833,-0.0037328004837036133,0.005920708179473877
2020-02-02,0.0,-0.198307603597641,-0.736979603767395,0.019280552864074707
2020-02-03,0.0,0.0008014142513275146,-0.02658402919769287,0.02323770523071289
2020-02-04,0.0,-0.019217049703001976,-0.028382837772369385,-0.011303544044494629
2020-02-05,0.0,0.008411133661866188,-0.009786546230316162,0.04724380373954773
2020-02-06,0.0,-0.010210597887635231,-0.080089271068573,0.0631750226020813
2020-02-07,0.0,-0.003584951162338257,-0.03512948751449585,0.021241694688796997
2020-02-08,0.0,-0.015745103359222412,-0.057647109031677246,0.024453163146972656
2020-02-09,0.0,0.7105830907821655,-0.011876046657562256,2.9902124404907227
2020-02-10,0.0,0.12438831478357315,0.004395395517349243,0.4832375943660736
2020-02-11,0.0,0.01073107123374939,-0.012707173824310303,0.051114171743392944
2020-02-12,0.0,-0.1030382364988327,-0.5264713764190674,0.0507945716381073
2020-02-13,0.0,-0.039531439542770386,-0.11919164657592773,0.009139269590377808
2020-02-14,0.0,0.008723283186554909,-0.014221727848052979,0.07074740529060364
2020-02-15,0.0,0.011783624067902565,-0.050101399421691895,0.05811530351638794
2020-02-16,0.0,-0.031101107597351074,-0.05704987049102783,-0.0061185359954833984
2020-02-17,0.0,0.020230090245604515,-0.7073463201522827,0.47447627782821655
2020-02-18,0.0,-0.040293894708156586,-0.10838913917541504,0.015102863311767578
2020-02-19,0.0,0.1325049102306366,0.016884833574295044,0.42598724365234375
2020-02-20,0.0,0.007952654734253883,-0.0034259557723999023,0.023301273584365845
2020-02-21,0.0,-0.13117429614067078,-0.3832932114601135,-0.014172375202178955
2020-02-22,0.0,0.5343397259712219,-0.015771210193634033,2.418095350265503
2020-02-23,0.0,-0.013243937864899635,-0.06962734460830688,0.02120310068130493
2020-02-24,0.0,-0.0432623028755188,-0.19413715600967407,-0.00012320280075073242
2020-02-25,0.0,0.07626555860042572,-0.3410705327987671,0.5647228956222534
2020-02-26,0.0,0.11508089303970337,-0.008783340454101562,0.2069517970085144
2020-02-27,0.0,-0.7495564222335815,-3.7811646461486816,0.019629627466201782
2020-02-28,0.0,0.11699800193309784,-0.014215469360351562,0.6137351393699646
2020-02-29,0.0,0.09796761721372604,-0.40201854705810547,0.9001484513282776
2020-03-01,0.0,-0.0009563088533468544,-0.014977753162384033,0.011080920696258545
2020-03-02,0.0,0.009605037979781628,-0.005592405796051025,0.023160070180892944
2020-03-03,0.0,-0.002066361950710416,-0.01739943027496338,0.023121535778045654
2020-03-04,0.0,0.01022910512983799,-0.01786404848098755,0.018942683935165405
2020-03-05,0.0,0.03266642242670059,-0.04708939790725708,0.19571679830551147
2020-03-06,0.0,0.007449137978255749,-0.00406259298324585,0.02036222815513611
2020-03-07,0.0,0.007321721408516169,-0.009120821952819824,0.022398531436920166
2020-03-08,0.0,0.03465426713228226,-0.0021941661834716797,0.15383073687553406
2020-03-09,0.0,0.0027328431606292725,-0.007478177547454834,0.02810835838317871
2020-03-10,0.0,3.1209092140197754,-0.0005581974983215332,8.129727363586426
2020-03-11,8.0,4.420192241668701,-0.8506224155426025,7.921419620513916
2020-03-12,-1.0,-0.10335841029882431,-0.9530644416809082,3.192164421081543
2020-03-13,1.0,0.9615997076034546,0.9267302751541138,1.0273075103759766
2020-03-14,0.0,0.01684010587632656,-0.013657927513122559,0.05054023861885071
2020-03-15,0.0,0.41916531324386597,-0.014546334743499756,1.223906397819519
2020-03-16,2.0,1.8038018941879272,1.10685133934021,2.010470390319824
2020-03-17,1.0,0.5356751680374146,-0.41965818405151367,1.0453925132751465
2020-03-18,0.0,0.903648853302002,0.06173935532569885,4.055258750915527
2020-03-19,3.0,2.110105037689209,-0.9054480791091919,2.954896926879883
2020-03-20,0.0,0.04757123440504074,0.0069183409214019775,0.08992388844490051
2020-03-21,0.0,-0.0330367274582386,-0.12715089321136475,0.02836325764656067
2020-03-22,7.0,5.639637470245361,3.3196890354156494,7.13415002822876
2020-03-23,7.0,7.212337493896484,6.996413230895996,8.065258979797363
2020-03-24,2.0,7.161970615386963,2.0083272457122803,10.747443199157715
2020-03-25,11.0,10.941598892211914,10.856534957885742,10.990616798400879
2020-03-26,5.0,5.0813679695129395,5.040274620056152,5.13058614730835
2020-03-27,12.0,11.158360481262207,8.028913497924805,11.98532485961914
2020-03-28,10.0,12.478803634643555,10.00997543334961,22.27060317993164
2020-03-29,22.0,16.339813232421875,6.203747749328613,22.0283203125
2020-03-30,11.0,11.0043306350708,10.989962577819824,11.018781661987305
2020-03-31,7.0,7.001243591308594,6.979315280914307,7.012460231781006
2020-04-01,21.0,23.95450782775879,21.012523651123047,35.56881332397461
2020-04-02,36.0,33.08039093017578,21.786285400390625,35.94295883178711
2020-04-03,22.0,22.062496185302734,22.00041389465332,22.09108543395996
