,Minnesota,forecast,interval_low,interval_high
2020-01-23,0.0,-0.2996741533279419,-1.5370450019836426,0.02612924575805664
2020-01-24,0.0,-0.6066198945045471,-2.513850212097168,-0.0025437474250793457
2020-01-25,0.0,-0.5510697364807129,-2.796783208847046,0.05637079477310181
2020-01-26,0.0,0.14237192273139954,-0.05211728811264038,0.7560337781906128
2020-01-27,0.0,0.5556569695472717,-0.007572770118713379,1.4253511428833008
2020-01-28,0.0,0.005413091275840998,-0.01991027593612671,0.06644672155380249
2020-01-29,0.0,-0.9981605410575867,-4.680835247039795,0.01457551121711731
2020-01-30,0.0,1.0144349336624146,-0.5198897123336792,6.060408592224121
2020-01-31,0.0,0.010449385270476341,-0.009288430213928223,0.06377977132797241
2020-02-01,0.0,0.22890277206897736,-0.008194983005523682,1.1314058303833008
2020-02-02,0.0,-0.28609180450439453,-1.3140580654144287,0.0003351867198944092
2020-02-03,0.0,-0.0016214668285101652,-0.03215384483337402,0.024231910705566406
2020-02-04,0.0,0.13784034550189972,-0.074069082736969,0.7334674596786499
2020-02-05,0.0,-0.014171445742249489,-0.05983531475067139,0.024745911359786987
2020-02-06,0.0,0.0048303185030817986,-0.02622443437576294,0.019165337085723877
2020-02-07,0.0,0.22470000386238098,0.020852774381637573,0.8527805209159851
2020-02-08,0.0,-0.03349044919013977,-0.08574211597442627,0.030774027109146118
2020-02-09,0.0,0.01372140645980835,-0.015274107456207275,0.059577882289886475
2020-02-10,0.0,-0.16319724917411804,-0.5160200595855713,-0.03133821487426758
2020-02-11,0.0,0.003630423452705145,-0.00593644380569458,0.018928706645965576
2020-02-12,0.0,-0.05922076851129532,-1.070635437965393,0.7026668787002563
2020-02-13,0.0,-0.21309097111225128,-0.7965662479400635,0.024851173162460327
2020-02-14,0.0,0.008185428567230701,-0.029764771461486816,0.03650429844856262
2020-02-15,0.0,-0.27030473947525024,-1.0634373426437378,0.12999454140663147
2020-02-16,0.0,-1.2362951040267944,-3.4376165866851807,-0.0035852789878845215
2020-02-17,0.0,-0.014636272564530373,-0.10811972618103027,0.05549919605255127
2020-02-18,0.0,0.5434492230415344,-0.005510926246643066,2.565478563308716
2020-02-19,0.0,-0.31256231665611267,-1.460199236869812,0.02733650803565979
2020-02-20,0.0,-0.42484602332115173,-1.680621862411499,0.21312278509140015
2020-02-21,0.0,0.019549280405044556,-0.0993645191192627,0.18433746695518494
2020-02-22,0.0,-0.010762417688965797,-0.031520724296569824,0.024697303771972656
2020-02-23,0.0,0.08931109309196472,0.02104082703590393,0.1264546513557434
2020-02-24,0.0,0.39530444145202637,0.010314911603927612,1.9207786321640015
2020-02-25,0.0,-0.05179929733276367,-0.08748996257781982,-0.0015253424644470215
2020-02-26,0.0,0.12620170414447784,-0.008131146430969238,0.5616783499717712
2020-02-27,0.0,-0.0011515319347381592,-0.10341930389404297,0.058699190616607666
2020-02-28,0.0,0.05887303873896599,-0.09139746427536011,0.43147772550582886
2020-02-29,0.0,-0.21232721209526062,-1.0415903329849243,0.049061328172683716
2020-03-01,0.0,0.017625128850340843,0.0016863048076629639,0.03338813781738281
2020-03-02,0.0,-0.01154379267245531,-0.036517202854156494,0.0051093995571136475
2020-03-03,0.0,0.17263689637184143,-0.04338103532791138,0.9032405614852905
2020-03-04,0.0,0.16805538535118103,-0.00112229585647583,0.6957756280899048
2020-03-05,0.0,0.09060388803482056,-0.08473098278045654,0.5837309956550598
2020-03-06,1.0,0.9929213523864746,0.8696393966674805,1.0386910438537598
2020-03-07,0.0,0.19712230563163757,0.00527617335319519,0.8670653104782104
2020-03-08,0.0,-0.028767317533493042,-0.06695979833602905,0.030474692583084106
2020-03-09,1.0,1.219294548034668,0.8677222728729248,2.23454213142395
2020-03-10,0.0,1.0105546712875366,-0.026451528072357178,2.9374165534973145
2020-03-11,3.0,3.2460784912109375,2.919041872024536,4.167305946350098
2020-03-12,4.0,4.0417680740356445,3.944852352142334,4.103509902954102
2020-03-13,5.0,4.937783241271973,4.611418724060059,5.176355838775635
2020-03-14,7.0,4.457891941070557,-0.49413639307022095,6.8991241455078125
2020-03-15,0.0,6.481232643127441,-0.023687422275543213,17.24050521850586
2020-03-16,32.0,18.437557220458984,2.6882026195526123,31.971092224121094
2020-03-17,6.0,9.522614479064941,6.061850070953369,23.17862892150879
2020-03-18,18.0,17.875755310058594,17.8076114654541,17.95391273498535
2020-03-19,12.0,12.100433349609375,12.062041282653809,12.153183937072754
2020-03-20,24.0,23.888057708740234,23.79364013671875,24.00533676147461
2020-03-21,21.0,23.350215911865234,20.965072631835938,32.45366668701172
2020-03-22,33.0,32.97732162475586,32.9255485534668,33.076969146728516
2020-03-23,67.0,59.4973258972168,29.547428131103516,67.0214614868164
2020-03-24,27.0,28.278133392333984,26.900386810302734,33.33592987060547
2020-03-25,25.0,31.7523250579834,25.103168487548828,58.20724868774414
2020-03-26,58.0,56.490440368652344,50.98607635498047,57.9536247253418
2020-03-27,52.0,51.74829864501953,46.45405197143555,56.719383239746094
2020-03-28,45.0,49.495391845703125,45.0179328918457,61.5234489440918
2020-03-29,62.0,57.681663513183594,43.96903610229492,61.99579620361328
2020-03-30,73.0,70.11650085449219,58.7701301574707,73.00196075439453
2020-03-31,53.0,56.219749450683594,52.98392868041992,69.0686264038086
2020-04-01,60.0,58.69160079956055,47.922733306884766,65.73368072509766
2020-04-02,53.0,53.09461212158203,53.020179748535156,53.16450500488281
2020-04-03,46.0,55.88157272338867,45.970088958740234,80.07162475585938
2020-04-04,77.0,75.18350982666016,68.37798309326172,76.99036407470703
