,Louisiana,forecast,interval_low,interval_high
2020-01-23,0.0,0.011534655466675758,-0.0024151206016540527,0.033037543296813965
2020-01-24,0.0,-0.011947453022003174,-0.022979021072387695,-0.000916898250579834
2020-01-25,0.0,0.07107751071453094,-0.010107934474945068,0.3288113474845886
2020-01-26,0.0,-0.14279566705226898,-0.6878095865249634,0.015395104885101318
2020-01-27,0.0,-0.08414997160434723,-0.3607429265975952,0.003020167350769043
2020-01-28,0.0,0.008590596728026867,-0.006568014621734619,0.029469996690750122
2020-01-29,0.0,-0.8318530917167664,-4.11592960357666,0.007680296897888184
2020-01-30,0.0,0.4833811819553375,-0.1018906831741333,2.4879496097564697
2020-01-31,0.0,0.017981404438614845,-1.9912571907043457,2.067366600036621
2020-02-01,0.0,-0.21045097708702087,-1.0379738807678223,-0.0014718174934387207
2020-02-02,0.0,0.00239921803586185,-0.0009649991989135742,0.004849851131439209
2020-02-03,0.0,0.0783841460943222,-0.004858553409576416,0.38945838809013367
2020-02-04,0.0,0.09087453037500381,-0.013807713985443115,0.45331871509552
2020-02-05,0.0,0.013243550434708595,-0.01979130506515503,0.04958584904670715
2020-02-06,0.0,-0.054472416639328,-0.20158588886260986,0.006044924259185791
2020-02-07,0.0,-0.02430831268429756,-0.0989147424697876,0.04544168710708618
2020-02-08,0.0,0.02159014344215393,-0.024503111839294434,0.1380276381969452
2020-02-09,0.0,-0.05271504074335098,-0.2664884924888611,0.014142990112304688
2020-02-10,0.0,0.0034994601737707853,-0.009990990161895752,0.029584646224975586
2020-02-11,0.0,0.22810927033424377,-0.02880305051803589,1.1600147485733032
2020-02-12,0.0,-0.2988460659980774,-1.2365962266921997,0.12761351466178894
2020-02-13,0.0,0.11940161138772964,-0.011071562767028809,0.6299120783805847
2020-02-14,0.0,-0.040454138070344925,-0.2676410675048828,0.04843565821647644
2020-02-15,0.0,0.026014382019639015,-0.033370018005371094,0.06851029396057129
2020-02-16,0.0,-0.016252148896455765,-0.02522188425064087,-0.00458979606628418
2020-02-17,0.0,0.003390532685443759,-0.0068114399909973145,0.023545533418655396
2020-02-18,0.0,0.011740535497665405,-0.0007817745208740234,0.035804420709609985
2020-02-19,0.0,-0.03068164549767971,-0.06812864542007446,-0.0006627440452575684
2020-02-20,0.0,-0.005022603087127209,-0.043901920318603516,0.050861477851867676
2020-02-21,0.0,0.0014174699317663908,-0.04287910461425781,0.03224039077758789
2020-02-22,0.0,0.031284816563129425,-0.007915079593658447,0.15408524870872498
2020-02-23,0.0,-0.4046647548675537,-1.979691743850708,0.012601256370544434
2020-02-24,0.0,-0.0369391068816185,-0.3168830871582031,0.18849533796310425
2020-02-25,0.0,-0.10648735612630844,-0.3478180766105652,0.04485774040222168
2020-02-26,0.0,-0.05273650959134102,-0.249245285987854,0.005113005638122559
2020-02-27,0.0,-0.027830202132463455,-0.19460135698318481,0.05246233940124512
2020-02-28,0.0,0.20063133537769318,0.00456082820892334,0.8744233250617981
2020-02-29,0.0,-0.10045889765024185,-0.46129417419433594,0.038548558950424194
2020-03-01,0.0,0.005208486225455999,-0.00017029047012329102,0.00938427448272705
2020-03-02,0.0,-0.10180000960826874,-0.5064915418624878,0.002411782741546631
2020-03-03,0.0,0.014772075228393078,0.000957190990447998,0.03481775522232056
2020-03-04,0.0,-0.022080445662140846,-0.09150153398513794,0.009924918413162231
2020-03-05,0.0,0.00672875065356493,-0.03638666868209839,0.055315226316452026
2020-03-06,0.0,0.1956762671470642,-0.014820575714111328,0.9736776351928711
2020-03-07,0.0,-0.017023783177137375,-0.11282414197921753,0.02141055464744568
2020-03-08,0.0,0.07321765273809433,-0.020944416522979736,0.343671053647995
2020-03-09,0.0,-0.06781946122646332,-0.309486448764801,0.011039286851882935
2020-03-10,0.0,-0.020413529127836227,-0.05847519636154175,0.0049381256103515625
2020-03-11,0.0,0.031699132174253464,-0.004795491695404053,0.08091530203819275
2020-03-12,0.0,0.07786691188812256,-0.10090208053588867,0.5807380676269531
2020-03-13,0.0,-0.009263521060347557,-0.043298423290252686,0.008968710899353027
2020-03-14,1.0,1.1827278137207031,1.002084493637085,1.8313915729522705
2020-03-15,1.0,0.9572697877883911,0.8642406463623047,1.0121076107025146
2020-03-16,1.0,0.9264850616455078,0.6039668917655945,1.0185985565185547
2020-03-17,1.0,1.10457444190979,1.0036077499389648,1.4659218788146973
2020-03-18,2.0,2.398686647415161,1.962270736694336,3.9251015186309814
2020-03-19,4.0,3.887310028076172,3.603039503097534,3.980095386505127
2020-03-20,4.0,4.031285762786865,4.014835357666016,4.075672626495361
2020-03-21,6.0,4.852689266204834,0.3742923140525818,6.0187225341796875
2020-03-22,0.0,0.03263794630765915,0.0038856565952301025,0.11142221093177795
2020-03-23,15.0,14.99504280090332,14.964310646057129,15.011427879333496
2020-03-24,11.0,12.97088623046875,11.01555347442627,20.759889602661133
2020-03-25,19.0,20.194429397583008,18.82743263244629,25.27168083190918
2020-03-26,18.0,18.036174774169922,17.980846405029297,18.111827850341797
2020-03-27,36.0,32.42338180541992,18.318328857421875,35.98957443237305
2020-03-28,18.0,20.317203521728516,16.548681259155273,32.0874137878418
2020-03-29,14.0,17.43532943725586,13.9957857131958,31.12802505493164
2020-03-30,34.0,34.860504150390625,33.796512603759766,38.49140167236328
2020-03-31,54.0,53.990814208984375,53.96433639526367,54.00815963745117
2020-04-01,34.0,34.53803253173828,34.002899169921875,36.59796905517578
2020-04-02,37.0,37.00053405761719,36.991947174072266,37.0225944519043
2020-04-03,60.0,56.3366813659668,41.83124923706055,59.97101593017578
