,Connecticut,forecast,interval_low,interval_high
2020-01-23,0.0,-0.22982816398143768,-0.4801202416419983,0.0006546676158905029
2020-01-24,0.0,0.9233026504516602,-0.02529066801071167,4.110684871673584
2020-01-25,0.0,-0.07566356658935547,-0.2464500069618225,0.17924845218658447
2020-01-26,0.0,0.046349652111530304,-0.12983417510986328,0.23270383477210999
2020-01-27,0.0,12.400396347045898,-2.2938358783721924,36.27947235107422
2020-01-28,0.0,1.2186689376831055,-0.14714300632476807,6.262650489807129
2020-01-29,0.0,0.022812724113464355,-0.13577800989151,0.24880626797676086
2020-01-30,0.0,0.18088313937187195,-0.04240387678146362,0.6895022392272949
2020-01-31,0.0,0.0898360162973404,-0.13129383325576782,0.26303791999816895
2020-02-01,0.0,0.2542475163936615,-0.31872689723968506,1.5729053020477295
2020-02-02,0.0,-16.51374626159668,-82.1702651977539,-0.037330687046051025
2020-02-03,0.0,0.03864426165819168,-0.027286112308502197,0.10725605487823486
2020-02-04,0.0,0.00181712512858212,-0.5530993938446045,0.2794279456138611
2020-02-05,0.0,-2.0843892097473145,-9.187053680419922,-0.04507178068161011
2020-02-06,0.0,-0.4700540006160736,-2.703604221343994,0.32503557205200195
2020-02-07,0.0,0.5290461778640747,-1.9646108150482178,4.620617389678955
2020-02-08,0.0,-0.01748412288725376,-0.1766883134841919,0.12430739402770996
2020-02-09,0.0,0.16130179166793823,-0.0036278963088989258,0.52027827501297
2020-02-10,0.0,0.005411469843238592,-0.12145620584487915,0.17197206616401672
2020-02-11,0.0,-0.08566594123840332,-0.4473692774772644,0.31815314292907715
2020-02-12,0.0,0.12426809966564178,-0.3940701484680176,0.7190396785736084
2020-02-13,0.0,0.6201330423355103,-0.7512482404708862,3.6304938793182373
2020-02-14,0.0,-0.6360616683959961,-2.9607694149017334,0.1367417871952057
2020-02-15,0.0,-1.369140863418579,-4.285411834716797,1.0937079191207886
2020-02-16,0.0,2.5753347873687744,-0.4773862957954407,13.121711730957031
2020-02-17,0.0,22.83650016784668,-0.011671364307403564,72.31204986572266
2020-02-18,0.0,-0.3817649781703949,-1.2215301990509033,0.2188086211681366
2020-02-19,0.0,1.7798192501068115,0.1411834955215454,3.6700456142425537
2020-02-20,0.0,0.0796036571264267,-0.37910741567611694,0.33058229088783264
2020-02-21,0.0,-3.413137435913086,-15.131712913513184,-0.18953931331634521
2020-02-22,0.0,9.327594757080078,0.1471627950668335,45.19424819946289
2020-02-23,0.0,-0.6621031165122986,-3.0361039638519287,0.18568360805511475
2020-02-24,0.0,20.874828338623047,-2.57015323638916,106.5963134765625
2020-02-25,0.0,0.7157565951347351,-0.24248307943344116,2.72775936126709
2020-02-26,0.0,-0.15980446338653564,-0.9445879459381104,0.5069152116775513
2020-02-27,0.0,-0.7561192512512207,-4.079402923583984,0.3516328036785126
2020-02-28,0.0,0.03666956350207329,-2.121114730834961,2.2492170333862305
2020-02-29,0.0,7.536009311676025,-0.11014008522033691,37.92007064819336
2020-03-01,0.0,0.6440587043762207,-0.4734315872192383,2.139862537384033
2020-03-02,0.0,-2.319664478302002,-9.711773872375488,0.018562644720077515
2020-03-03,0.0,0.11215011775493622,0.024799078702926636,0.20909863710403442
2020-03-04,0.0,-5.174384117126465,-15.172075271606445,-0.16228115558624268
2020-03-05,0.0,-0.18633659183979034,-0.888228178024292,0.5147750377655029
2020-03-06,0.0,0.4935275614261627,-0.8732807636260986,2.8866536617279053
2020-03-07,0.0,0.2441161870956421,0.005039840936660767,0.8262633681297302
2020-03-08,0.0,-0.1730615794658661,-0.3440905213356018,-0.05916780233383179
2020-03-09,0.0,-0.8381679654121399,-5.10225772857666,0.5501526594161987
2020-03-10,1.0,0.7166129350662231,0.19130268692970276,0.9677960872650146
2020-03-11,2.0,4.071034908294678,1.4520879983901978,8.771112442016602
2020-03-12,2.0,4.298402309417725,1.657289981842041,12.938782691955566
2020-03-13,6.0,7.846353054046631,5.955820560455322,13.216873168945312
2020-03-14,12.0,11.414813041687012,10.564607620239258,12.064825057983398
2020-03-15,1.0,1.1956803798675537,1.0931074619293213,1.2646472454071045
2020-03-16,17.0,20.275619506835938,16.533220291137695,33.84033966064453
2020-03-17,27.0,27.212238311767578,26.74818992614746,27.774736404418945
2020-03-18,28.0,28.197702407836914,28.029949188232422,28.674022674560547
2020-03-19,63.0,53.313087463378906,17.730379104614258,62.88444519042969
2020-03-20,35.0,37.69797897338867,2.630977153778076,79.2021255493164
2020-03-21,0.0,24.64291763305664,-0.3119587302207947,116.51095581054688
2020-03-22,133.0,114.8411636352539,85.90274810791016,132.90911865234375
2020-03-23,88.0,145.83340454101562,87.67276000976562,377.3227844238281
2020-03-24,203.0,180.30210876464844,88.44823455810547,203.3389892578125
2020-03-25,257.0,215.4696807861328,108.53844451904297,256.405029296875
2020-03-26,137.0,166.185546875,136.67312622070312,280.416748046875
2020-03-27,279.0,250.90017700195312,139.06430053710938,279.26922607421875
2020-03-28,233.0,395.11773681640625,234.18869018554688,459.37701416015625
2020-03-29,469.0,468.8031311035156,468.3972473144531,469.0821533203125
2020-03-30,578.0,628.8798828125,577.7547607421875,832.4000854492188
2020-03-31,557.0,556.8360595703125,556.6312255859375,556.9403076171875
2020-04-01,429.0,405.64337158203125,312.6472473144531,428.99700927734375
2020-04-02,267.0,324.73480224609375,267.2338562011719,553.33935546875
2020-04-03,1090.0,814.14306640625,364.4315490722656,1089.6396484375
2020-04-04,362.0,362.26141357421875,361.8782653808594,362.8492431640625
2020-04-05,399.0,491.4110412597656,398.8764953613281,763.6919555664062
