,South Carolina,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,0.19310826510675527,0.19310826510675527,0.19310826510675527
2020-01-25,0.0,0.30352854004333246,0.30352854004333246,0.30352854004333246
2020-01-26,0.0,0.3819487158187384,0.3819487158187384,0.3819487158187384
2020-01-27,0.0,0.4177302423824818,0.4177302423824818,0.4177302423824818
2020-01-28,0.0,0.5696213291830308,0.5696213291830308,0.5696213291830308
2020-01-29,0.0,0.690210312850063,0.690210312850063,0.690210312850063
2020-01-30,0.0,0.9356947732599532,0.9356947732599532,0.9356947732599532
2020-01-31,0.0,1.1382006894937489,1.1382006894937489,1.1382006894937489
2020-02-01,0.0,1.1218869328472048,1.1218869328472048,1.1218869328472048
2020-02-02,0.0,0.9548349538573833,0.9548349538573833,0.9548349538573833
2020-02-03,0.0,0.830084818616414,0.830084818616414,0.830084818616414
2020-02-04,0.0,0.8072856932099776,0.8072856932099776,0.8072856932099776
2020-02-05,0.0,0.855289513420786,0.855289513420786,0.855289513420786
2020-02-06,0.0,0.9186526211585044,0.9186526211585044,0.9186526211585044
2020-02-07,0.0,0.9472597953355094,0.9472597953355094,0.9472597953355094
2020-02-08,0.0,0.9289063924387297,0.9289063924387297,0.9289063924387297
2020-02-09,0.0,0.8927846519804475,0.8927846519804475,0.8927846519804475
2020-02-10,0.0,0.8713047752179628,0.8713047752179628,0.8713047752179628
2020-02-11,0.0,0.8738385230444767,0.8738385230444767,0.8738385230444767
2020-02-12,0.0,0.8901514409134974,0.8901514409134974,0.8901514409134974
2020-02-13,0.0,0.9041900967983203,0.9041900967983203,0.9041900967983203
2020-02-14,0.0,0.906539030019381,0.906539030019381,0.906539030019381
2020-02-15,0.0,0.899309587574391,0.899309587574391,0.899309587574391
2020-02-16,0.0,0.8909650678801881,0.8909650678801881,0.8909650678801881
2020-02-17,0.0,0.8878306373640598,0.8878306373640598,0.8878306373640598
2020-02-18,0.0,0.8903224695412795,0.8903224695412795,0.8903224695412795
2020-02-19,0.0,0.8947644793758203,0.8947644793758203,0.8947644793758203
2020-02-20,0.0,0.8973342132255329,0.8973342132255329,0.8973342132255329
2020-02-21,0.0,0.8968138505770018,0.8968138505770018,0.8968138505770018
2020-02-22,0.0,0.8946159609501216,0.8946159609501216,0.8946159609501216
2020-02-23,0.0,0.892880886344788,0.892880886344788,0.892880886344788
2020-02-24,0.0,0.8926877164505552,0.8926877164505552,0.8926877164505552
2020-02-25,0.0,0.8936506658424799,0.8936506658424799,0.8936506658424799
2020-02-26,0.0,0.8946924963751136,0.8946924963751136,0.8946924963751136
2020-02-27,0.0,0.8950424531119989,0.8950424531119989,0.8950424531119989
2020-02-28,0.0,0.8946836383809741,0.8946836383809741,0.8946836383809741
2020-02-29,0.0,0.8941119732617242,0.8941119732617242,0.8941119732617242
2020-03-01,0.0,0.893807650721228,0.893807650721228,0.893807650721228
2020-03-02,0.0,0.8938972896103154,0.8938972896103154,0.8938972896103154
2020-03-03,0.0,0.8941836696879087,0.8941836696879087,0.8941836696879087
2020-03-04,0.0,0.8943958828629178,0.8943958828629178,0.8943958828629178
2020-03-05,0.0,0.894407435669841,0.894407435669841,0.894407435669841
2020-03-06,0.0,0.8942778805582339,0.8942778805582339,0.8942778805582339
2020-03-07,0.0,0.8941474346388004,0.8941474346388004,0.8941474346388004
2020-03-08,0.0,0.8941095233277008,0.8941095233277008,0.8941095233277008
2020-03-09,0.0,0.8941599160927667,0.8941599160927667,0.8941599160927667
2020-03-10,0.0,0.894232786136661,0.894232786136661,0.894232786136661
2020-03-11,0.0,0.8942685106157549,0.8942685106157549,0.8942685106157549
2020-03-12,0.0,0.8942541372056905,0.8942541372056905,0.8942541372056905
2020-03-13,0.0,0.8942168635402848,0.8942168635402848,0.8942168635402848
2020-03-14,0.0,0.8941910435671002,0.8941910435671002,0.8941910435671002
2020-03-15,0.0,0.8941912382321727,0.8941912382321727,0.8941912382321727
2020-03-16,1.0,1.8942085135216638,1.8942085135216638,1.8942085135216638
2020-03-17,0.0,0.0,0.0,0.0
2020-03-18,0.0,1.122068176866731,1.122068176866731,1.122068176866731
2020-03-19,0.0,1.0518709835777753,1.0518709835777753,1.0518709835777753
2020-03-20,2.0,2.9134655912840146,2.9134655912840146,2.9134655912840146
2020-03-21,0.0,0.0,0.0,0.0
2020-03-22,0.0,1.4306991685610908,1.4306991685610908,1.4306991685610908
2020-03-23,2.0,3.5052363621188203,3.5052363621188203,3.5052363621188203
2020-03-24,0.0,0.0,0.0,0.0
2020-03-25,2.0,3.7909680691064374,3.7909680691064374,3.7909680691064374
2020-03-26,2.0,1.167830319831685,1.167830319831685,1.167830319831685
2020-03-27,4.0,3.770619825789554,3.770619825789554,3.770619825789554
2020-03-28,2.0,0.35444568630888673,0.35444568630888673,0.35444568630888673
2020-03-29,1.0,1.3382878138022425,1.3382878138022425,1.3382878138022425
2020-03-30,2.0,3.8089661787673066,3.8089661787673066,3.8089661787673066
2020-03-31,4.0,4.243509091903044,4.243509091903044,4.243509091903044
2020-04-01,4.0,2.9382950584548677,2.9382950584548677,2.9382950584548677
2020-04-02,5.0,4.585351352034776,4.585351352034776,4.585351352034776
2020-04-03,3.0,2.1929289091985242,2.1929289091985242,2.1929289091985242
2020-04-04,6.0,7.400911546565476,7.400911546565476,7.400911546565476
2020-04-05,4.0,1.6122466608513752,1.6122466608513752,1.6122466608513752
2020-04-06,4.0,3.914048913787483,3.914048913787483,3.914048913787483
2020-04-07,3.0,3.926002848100694,3.926002848100694,3.926002848100694
