,Alabama,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,0.10593584370553291,0.10593584370553291,0.10593584370553291
2020-01-25,0.0,0.1342214027050318,0.1342214027050318,0.1342214027050318
2020-01-26,0.0,0.1709627858485791,0.1709627858485791,0.1709627858485791
2020-01-27,0.0,0.19846138022562598,0.19846138022562598,0.19846138022562598
2020-01-28,0.0,0.2506567562635613,0.2506567562635613,0.2506567562635613
2020-01-29,0.0,0.34027904293201855,0.34027904293201855,0.34027904293201855
2020-01-30,0.0,0.5367591164935613,0.5367591164935613,0.5367591164935613
2020-01-31,0.0,0.5367591164935641,0.5367591164935641,0.5367591164935641
2020-02-01,0.0,0.5367591164935664,0.5367591164935664,0.5367591164935664
2020-02-02,0.0,0.5367591164935669,0.5367591164935669,0.5367591164935669
2020-02-03,0.0,0.5367591164935669,0.5367591164935669,0.5367591164935669
2020-02-04,0.0,0.5367591164935661,0.5367591164935661,0.5367591164935661
2020-02-05,0.0,0.5367591164935661,0.5367591164935661,0.5367591164935661
2020-02-06,0.0,0.5367591164935658,0.5367591164935658,0.5367591164935658
2020-02-07,0.0,0.5367591164935653,0.5367591164935653,0.5367591164935653
2020-02-08,0.0,0.5367591164935649,0.5367591164935649,0.5367591164935649
2020-02-09,0.0,0.5367591164935642,0.5367591164935642,0.5367591164935642
2020-02-10,0.0,0.5367591164935636,0.5367591164935636,0.5367591164935636
2020-02-11,0.0,0.536759116493563,0.536759116493563,0.536759116493563
2020-02-12,0.0,0.5367591164935629,0.5367591164935629,0.5367591164935629
2020-02-13,0.0,0.5367591164935626,0.5367591164935626,0.5367591164935626
2020-02-14,0.0,0.5367591164935621,0.5367591164935621,0.5367591164935621
2020-02-15,0.0,0.5367591164935619,0.5367591164935619,0.5367591164935619
2020-02-16,0.0,0.5367591164935617,0.5367591164935617,0.5367591164935617
2020-02-17,0.0,0.5367591164935611,0.5367591164935611,0.5367591164935611
2020-02-18,0.0,0.536759116493561,0.536759116493561,0.536759116493561
2020-02-19,0.0,0.536759116493561,0.536759116493561,0.536759116493561
2020-02-20,0.0,0.5367591164935609,0.5367591164935609,0.5367591164935609
2020-02-21,0.0,0.536759116493561,0.536759116493561,0.536759116493561
2020-02-22,0.0,0.536759116493561,0.536759116493561,0.536759116493561
2020-02-23,0.0,0.5367591164935609,0.5367591164935609,0.5367591164935609
2020-02-24,0.0,0.5367591164935611,0.5367591164935611,0.5367591164935611
2020-02-25,0.0,0.5367591164935611,0.5367591164935611,0.5367591164935611
2020-02-26,0.0,0.5367591164935609,0.5367591164935609,0.5367591164935609
2020-02-27,0.0,0.5367591164935606,0.5367591164935606,0.5367591164935606
2020-02-28,0.0,0.5367591164935605,0.5367591164935605,0.5367591164935605
2020-02-29,0.0,0.5367591164935602,0.5367591164935602,0.5367591164935602
2020-03-01,0.0,0.5367591164935598,0.5367591164935598,0.5367591164935598
2020-03-02,0.0,0.5367591164935596,0.5367591164935596,0.5367591164935596
2020-03-03,0.0,0.5367591164935597,0.5367591164935597,0.5367591164935597
2020-03-04,0.0,0.5367591164935597,0.5367591164935597,0.5367591164935597
2020-03-05,0.0,0.5367591164935595,0.5367591164935595,0.5367591164935595
2020-03-06,0.0,0.5367591164935592,0.5367591164935592,0.5367591164935592
2020-03-07,0.0,0.5367591164935593,0.5367591164935593,0.5367591164935593
2020-03-08,0.0,0.5367591164935592,0.5367591164935592,0.5367591164935592
2020-03-09,0.0,0.5367591164935595,0.5367591164935595,0.5367591164935595
2020-03-10,0.0,0.5367591164935598,0.5367591164935598,0.5367591164935598
2020-03-11,0.0,0.5367591164935597,0.5367591164935597,0.5367591164935597
2020-03-12,0.0,0.5367591164935596,0.5367591164935596,0.5367591164935596
2020-03-13,0.0,0.5367591164935593,0.5367591164935593,0.5367591164935593
2020-03-14,0.0,0.5367591164935596,0.5367591164935596,0.5367591164935596
2020-03-15,0.0,0.5367591164935593,0.5367591164935593,0.5367591164935593
2020-03-16,0.0,0.5367591164935596,0.5367591164935596,0.5367591164935596
2020-03-17,0.0,0.5367591164935596,0.5367591164935596,0.5367591164935596
2020-03-18,0.0,0.5367591164935595,0.5367591164935595,0.5367591164935595
2020-03-19,0.0,0.5367591164935596,0.5367591164935596,0.5367591164935596
2020-03-20,0.0,0.5367591164935593,0.5367591164935593,0.5367591164935593
2020-03-21,0.0,0.5367591164935595,0.5367591164935595,0.5367591164935595
2020-03-22,0.0,0.5367591164935593,0.5367591164935593,0.5367591164935593
2020-03-23,0.0,0.5367591164935597,0.5367591164935597,0.5367591164935597
2020-03-24,0.0,0.5367591164935596,0.5367591164935596,0.5367591164935596
2020-03-25,1.0,1.5367591164935597,1.5367591164935597,1.5367591164935597
2020-03-26,0.0,0.0,0.0,0.0
2020-03-27,3.0,3.515327778715478,3.515327778715478,3.515327778715478
2020-03-28,0.0,0.0,0.0,0.0
2020-03-29,6.0,6.410447552264844,6.410447552264844,6.410447552264844
2020-03-30,0.0,0.0,0.0,0.0
2020-03-31,13.0,13.302779781192433,13.302779781192433,13.302779781192433
2020-04-01,4.0,0.0,0.0,0.0
2020-04-02,5.0,2.220366697997009,2.220366697997009,2.220366697997009
2020-04-03,6.0,6.171626226174849,6.171626226174849,6.171626226174849
2020-04-04,6.0,2.1510908701003966,2.1510908701003966,2.1510908701003966
2020-04-05,1.0,1.4324014226555537,1.4324014226555537,1.4324014226555537
2020-04-06,4.0,5.231566161189571,5.231566161189571,5.231566161189571
2020-04-07,15.0,20.927302006912544,20.927302006912544,20.927302006912544
