,New Hampshire,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,0.005840928904339969,0.005840928904339969,0.005840928904339969
2020-01-25,0.0,0.008386624197005312,0.008386624197005312,0.008386624197005312
2020-01-26,0.0,0.010335407373681268,0.010335407373681268,0.010335407373681268
2020-01-27,0.0,0.01451591984460835,0.01451591984460835,0.01451591984460835
2020-01-28,0.0,0.017237223407259843,0.017237223407259843,0.017237223407259843
2020-01-29,0.0,0.0222870955545527,0.0222870955545527,0.0222870955545527
2020-01-30,0.0,0.03143689121188005,0.03143689121188005,0.03143689121188005
2020-01-31,0.0,0.033280318513330485,0.033280318513330485,0.033280318513330485
2020-02-01,0.0,0.04061462528694756,0.04061462528694756,0.04061462528694756
2020-02-02,0.0,0.040353990785810874,0.040353990785810874,0.040353990785810874
2020-02-03,0.0,0.04567372031037851,0.04567372031037851,0.04567372031037851
2020-02-04,0.0,0.044393459590276636,0.044393459590276636,0.044393459590276636
2020-02-05,0.0,0.04815660843297103,0.04815660843297103,0.04815660843297103
2020-02-06,0.0,0.046570136973722503,0.046570136973722503,0.046570136973722503
2020-02-07,0.0,0.04926426105475816,0.04926426105475816,0.04926426105475816
2020-02-08,0.0,0.04772691227112504,0.04772691227112504,0.04772691227112504
2020-02-09,0.0,0.049702753564247026,0.049702753564247026,0.049702753564247026
2020-02-10,0.0,0.048352781601386126,0.048352781601386126,0.048352781601386126
2020-02-11,0.0,0.04983641483890822,0.04983641483890822,0.04983641483890822
2020-02-12,0.0,0.048705905295272446,0.048705905295272446,0.048705905295272446
2020-02-13,0.0,0.049840814023736586,0.049840814023736586,0.049840814023736586
2020-02-14,0.0,0.04891720223281034,0.04891720223281034,0.04891720223281034
2020-02-15,0.0,0.04979681115154732,0.04979681115154732,0.04979681115154732
2020-02-16,0.0,0.04905228766983726,0.04905228766983726,0.04905228766983726
2020-02-17,0.0,0.0497399849306381,0.0497399849306381,0.0497399849306381
2020-02-18,0.0,0.04914427711519254,0.04914427711519254,0.04914427711519254
2020-02-19,0.0,0.04968492691499767,0.04968492691499767,0.04968492691499767
2020-02-20,0.0,0.049210277650769824,0.049210277650769824,0.049210277650769824
2020-02-21,0.0,0.04963679080657256,0.04963679080657256,0.04963679080657256
2020-02-22,0.0,0.049259487947040784,0.049259487947040784,0.049259487947040784
2020-02-23,0.0,0.049596666833871206,0.049596666833871206,0.049596666833871206
2020-02-24,0.0,0.04929714115404811,0.04929714115404811,0.04929714115404811
2020-02-25,0.0,0.04956403183821629,0.04956403183821629,0.04956403183821629
2020-02-26,0.0,0.04932642429976974,0.04932642429976974,0.04932642429976974
2020-02-27,0.0,0.04953783481237611,0.04953783481237611,0.04953783481237611
2020-02-28,0.0,0.049349420452025054,0.049349420452025054,0.049349420452025054
2020-02-29,0.0,0.049516954757514914,0.049516954757514914,0.049516954757514914
2020-03-01,0.0,0.04936757980307391,0.04936757980307391,0.04936757980307391
2020-03-02,0.0,0.04950037540257468,0.04950037540257468,0.04950037540257468
2020-03-03,0.0,0.04938196286330431,0.04938196286330431,0.04938196286330431
2020-03-04,0.0,0.0494872362496776,0.0494872362496776,0.0494872362496776
2020-03-05,0.0,0.04939337225111818,0.04939337225111818,0.04939337225111818
2020-03-06,0.0,0.04947683272817294,0.04947683272817294,0.04947683272817294
2020-03-07,0.0,0.04940242889433867,0.04940242889433867,0.04940242889433867
2020-03-08,0.0,0.049468597946397186,0.049468597946397186,0.049468597946397186
2020-03-09,0.0,0.049409619511635694,0.049409619511635694,0.049409619511635694
2020-03-10,0.0,0.049462079991557,0.049462079991557,0.049462079991557
2020-03-11,0.0,0.0494153284562004,0.0494153284562004,0.0494153284562004
2020-03-12,0.0,0.04945692033487425,0.04945692033487425,0.04945692033487425
2020-03-13,0.0,0.0494198604336085,0.0494198604336085,0.0494198604336085
2020-03-14,0.0,0.04945283520007198,0.04945283520007198,0.04945283520007198
2020-03-15,0.0,0.04942345745968312,0.04942345745968312,0.04942345745968312
2020-03-16,0.0,0.04944960019997826,0.04944960019997826,0.04944960019997826
2020-03-17,0.0,0.04942631189982006,0.04942631189982006,0.04942631189982006
2020-03-18,0.0,0.04944703795445926,0.04944703795445926,0.04944703795445926
2020-03-19,0.0,0.049428576675153636,0.049428576675153636,0.049428576675153636
2020-03-20,0.0,0.049445008228177406,0.049445008228177406,0.049445008228177406
2020-03-21,0.0,0.04943037333033096,0.04943037333033096,0.04943037333033096
2020-03-22,0.0,0.049443400121787905,0.049443400121787905,0.049443400121787905
2020-03-23,1.0,1.0494317984429569,1.0494317984429569,1.0494317984429569
2020-03-24,0.0,0.0,0.0,0.0
2020-03-25,0.0,0.0,0.0,0.0
2020-03-26,0.0,0.0,0.0,0.0
2020-03-27,0.0,0.2081263997326312,0.2081263997326312,0.2081263997326312
2020-03-28,1.0,1.0648214978335444,1.0648214978335444,1.0648214978335444
2020-03-29,0.0,0.0,0.0,0.0
2020-03-30,1.0,1.2944940307850057,1.2944940307850057,1.2944940307850057
2020-03-31,0.0,0.0,0.0,0.0
2020-04-01,0.0,0.30518001511107196,0.30518001511107196,0.30518001511107196
2020-04-02,0.0,0.0,0.0,0.0
2020-04-03,2.0,2.517748357180907,2.517748357180907,2.517748357180907
2020-04-04,2.0,0.5947025276211113,0.5947025276211113,0.5947025276211113
2020-04-05,2.0,0.2994741604129425,0.2994741604129425,0.2994741604129425
2020-04-06,0.0,0.0,0.0,0.0
2020-04-07,0.0,0.0,0.0,0.0
2020-04-08,4.0,4.457250449511134,4.457250449511134,4.457250449511134
