,Diamond Princess,forecast,interval_low,interval_high
2020-05-26,49.0,49.27167406146503,,
2020-05-27,49.0,49.27167406146503,,
2020-05-28,49.0,49.27167406146503,,
2020-05-29,49.0,49.27167406146503,,
2020-05-30,49.0,49.27167406146503,,
2020-05-31,49.0,49.27167406146503,,
2020-06-01,49.0,49.27167406146503,,
2020-06-02,49.0,49.27167406146503,,
2020-06-03,49.0,49.27167406146503,,
2020-06-04,49.0,49.27167406146503,,
2020-06-05,49.0,49.27167406146503,,
2020-06-06,49.0,49.27167406146503,,
2020-06-07,49.0,49.27167406146503,,
2020-06-08,49.0,49.27167406146503,,
2020-06-09,49.0,49.27167406146503,,
2020-06-10,49.0,49.27167406146503,,
2020-06-11,49.0,49.27167406146503,,
2020-06-12,49.0,49.27167406146503,,
2020-06-13,49.0,49.27167406146503,,
2020-06-14,49.0,49.27167406146503,,
2020-06-15,49.0,49.27167406146503,,
2020-06-16,49.0,49.27167406146503,,
2020-06-17,49.0,49.27167406146503,,
2020-06-18,49.0,49.27167406146503,,
2020-06-19,49.0,49.27167406146503,,
2020-06-20,49.0,49.27167406146503,,
2020-06-21,49.0,49.27167406146503,,
2020-06-22,49.0,49.27167406146503,,
2020-06-23,49.0,49.27167406146503,,
2020-06-24,49.0,49.27167406146503,,
2020-06-25,49.0,49.27167406146503,,
2020-06-26,49.0,49.27167406146503,,
2020-06-27,49.0,49.27167406146503,,
2020-06-28,49.0,49.27167406146503,,
2020-06-29,49.0,49.27167406146503,,
2020-06-30,49.0,49.27167406146503,,
2020-07-01,49.0,49.27167406146503,,
2020-07-02,49.0,49.27167406146503,,
2020-07-03,49.0,49.27167406146503,,
2020-07-04,49.0,49.27167406146503,,
2020-07-05,49.0,49.27167406146503,,
2020-07-06,49.0,49.27167406146503,,
2020-07-07,49.0,49.27167406146503,,
2020-07-08,49.0,49.27167406146503,,
2020-07-09,49.0,49.27167406146503,,
2020-07-10,49.0,49.27167406146503,,
2020-07-11,49.0,49.27167406146503,,
2020-07-12,49.0,49.27167406146503,,
2020-07-13,49.0,49.27167406146503,,
2020-07-14,49.0,49.27167406146503,,
2020-07-15,49.0,49.27167406146503,,
2020-07-16,49.0,49.27167406146503,,
2020-07-17,49.0,49.27167406146503,,
2020-07-18,49.0,49.27167406146503,,
2020-07-19,,49.27167406146503,42.3870367679894,56.156311354940655
2020-07-20,,49.541781612701186,39.83346416188306,59.250099063519315
2020-07-21,,49.81033169131835,37.95428427935569,61.66637910328102
2020-07-22,,50.088614005979785,36.29376052447549,63.88346748748408
2020-07-23,,50.36522439367287,34.891559137961224,65.83888964938451
2020-07-24,,50.64017287495009,33.67014073780808,67.6102050120921
2020-07-25,,50.91550661357827,32.56705136030196,69.26396186685459
