,Missouri,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,31742.82475355335,,
2020-01-25,0.0,31744.608704236103,,
2020-01-26,0.0,31746.68306758542,,
2020-01-27,0.0,31748.94010041953,,
2020-01-28,0.0,31749.906296397126,,
2020-01-29,0.0,31751.919481012694,,
2020-01-30,0.0,31757.047080430668,,
2020-01-31,0.0,31754.619670593445,,
2020-02-01,0.0,31751.082721746072,,
2020-02-02,0.0,31752.386597459317,,
2020-02-03,0.0,31754.233712764326,,
2020-02-04,0.0,31752.978549402207,,
2020-02-05,0.0,31751.811931629178,,
2020-02-06,0.0,31752.625612896758,,
2020-02-07,0.0,31753.308207917307,,
2020-02-08,0.0,31752.634376486425,,
2020-02-09,0.0,31752.2349192669,,
2020-02-10,0.0,31752.694459037175,,
2020-02-11,0.0,31752.92056957715,,
2020-02-12,0.0,31752.57330492554,,
2020-02-13,0.0,31752.45372287984,,
2020-02-14,0.0,31752.692473299794,,
2020-02-15,0.0,31752.75110039328,,
2020-02-16,0.0,31752.580668800918,,
2020-02-17,0.0,31752.557218869682,,
2020-02-18,0.0,31752.673251393826,,
2020-02-19,0.0,31752.67816927783,,
2020-02-20,0.0,31752.59852416973,,
2020-02-21,0.0,31752.602698508977,,
2020-02-22,0.0,31752.65593007388,,
2020-02-23,0.0,31752.64804498763,,
2020-02-24,0.0,31752.61265058441,,
2020-02-25,0.0,31752.62130822769,,
2020-02-26,0.0,31752.64440103891,,
2020-02-27,0.0,31752.636342994876,,
2020-02-28,0.0,31752.62145858116,,
2020-02-29,0.0,31752.628308965366,,
2020-03-01,0.0,31752.637729677535,,
2020-03-02,0.0,31752.632197264677,,
2020-03-03,0.0,31752.626342159794,,
2020-03-04,0.0,31752.6306367357,,
2020-03-05,0.0,31752.634193145605,,
2020-03-06,0.0,31752.6309488038,,
2020-03-07,0.0,31752.62884826435,,
2020-03-08,1.0,31752.631241742634,,
2020-03-09,1.0,31752.000361938597,,
2020-03-10,1.0,31752.85490141591,,
2020-03-11,1.0,31752.637958901094,,
2020-03-12,1.0,31752.694815312418,,
2020-03-13,4.0,31752.709927277676,,
2020-03-14,4.0,31750.821560012067,,
2020-03-15,5.0,31753.665187582228,,
2020-03-16,8.0,31751.929719772274,,
2020-03-17,14.0,31750.9135915592,,
2020-03-18,21.0,31749.839165308556,,
2020-03-19,42.0,31750.051643664654,,
2020-03-20,79.0,31742.257056202638,,
2020-03-21,89.0,31734.335604415686,,
2020-03-22,122.0,31755.65830082023,,
2020-03-23,225.0,31738.019476958456,,
2020-03-24,291.0,31701.676008925064,,
2020-03-25,382.0,31740.72741557755,,
2020-03-26,577.0,31722.509123592812,,
2020-03-27,744.0,31671.171987474558,,
2020-03-28,864.0,31703.206996664507,,
2020-03-29,934.0,31739.99880504615,,
