,Oklahoma,forecast,interval_low,interval_high
2020-01-23,0.0,1.001934289932251,0.022563815116882324,4.824258804321289
2020-01-24,0.0,0.008721858263015747,-0.04531508684158325,0.043752044439315796
2020-01-25,0.0,-0.3341008722782135,-1.1603527069091797,0.1735730767250061
2020-01-26,0.0,-0.017212729901075363,-0.06373763084411621,0.03500613570213318
2020-01-27,0.0,-0.48144015669822693,-2.2816734313964844,0.0055436789989471436
2020-01-28,0.0,0.04271581023931503,-0.004442989826202393,0.0910346508026123
2020-01-29,0.0,-0.05238976329565048,-0.16855984926223755,0.013750314712524414
2020-01-30,0.0,0.04160972684621811,-0.035530805587768555,0.09815266728401184
2020-01-31,0.0,-1.4661858081817627,-4.375053882598877,0.009951293468475342
2020-02-01,0.0,-0.3032786250114441,-1.6130797863006592,0.055754274129867554
2020-02-02,0.0,1.3648967742919922,0.0029953718185424805,5.351990699768066
2020-02-03,0.0,-0.03760039806365967,-0.061125874519348145,-0.003998398780822754
2020-02-04,0.0,0.19487164914608002,0.014204710721969604,0.7018901705741882
2020-02-05,0.0,-0.13094954192638397,-0.45469599962234497,0.007192760705947876
2020-02-06,0.0,-0.0405571386218071,-0.08808690309524536,0.012107521295547485
2020-02-07,0.0,0.0491364486515522,-0.02308046817779541,0.1415455937385559
2020-02-08,0.0,-0.03927158564329147,-0.14282596111297607,0.0662749707698822
2020-02-09,0.0,-0.24236774444580078,-1.10618257522583,0.14838939905166626
2020-02-10,0.0,0.005087929777801037,-0.08344507217407227,0.09750434756278992
2020-02-11,0.0,-0.13698270916938782,-0.3537203073501587,0.036853939294815063
2020-02-12,0.0,0.0801229178905487,-0.0468485951423645,0.19646531343460083
2020-02-13,0.0,0.11430653184652328,-0.03468620777130127,0.21899384260177612
2020-02-14,0.0,-0.7475268840789795,-3.87290096282959,0.44048434495925903
2020-02-15,0.0,-0.0826798677444458,-0.1883651614189148,0.052706241607666016
2020-02-16,0.0,0.08235988020896912,-0.02749556303024292,0.22476613521575928
2020-02-17,0.0,-0.08711352944374084,-0.5731334686279297,0.08187419176101685
2020-02-18,0.0,0.518774688243866,-0.17088401317596436,2.810229778289795
2020-02-19,0.0,-0.43357712030410767,-2.093437433242798,0.144564688205719
2020-02-20,0.0,-1.0742965936660767,-2.9560582637786865,0.006229132413864136
2020-02-21,0.0,0.029119830578565598,-0.060498952865600586,0.09459865093231201
2020-02-22,0.0,-0.06430944055318832,-0.2302408218383789,0.13423532247543335
2020-02-23,0.0,0.10315561294555664,-0.667008638381958,1.0688408613204956
2020-02-24,0.0,0.18261387944221497,-0.021240055561065674,0.9375149011611938
2020-02-25,0.0,-0.2164040505886078,-1.2417144775390625,0.13043108582496643
2020-02-26,0.0,0.002975237322971225,-0.1063535213470459,0.12011098861694336
2020-02-27,0.0,0.5966727137565613,-0.06144338846206665,1.5934089422225952
2020-02-28,0.0,-0.3781406879425049,-2.7867283821105957,0.7964208126068115
2020-02-29,0.0,-0.07571108639240265,-0.24869275093078613,0.007929474115371704
2020-03-01,0.0,0.9835111498832703,-0.046295344829559326,3.555795907974243
2020-03-02,0.0,0.3065384030342102,-0.011902928352355957,1.4321004152297974
2020-03-03,0.0,-0.06885067373514175,-0.18973970413208008,-0.006509900093078613
2020-03-04,0.0,-0.056809477508068085,-0.28358834981918335,0.04315236210823059
2020-03-05,0.0,0.09255765378475189,-0.0009650588035583496,0.2219426929950714
2020-03-06,0.0,-0.5630859136581421,-2.409240245819092,0.006911814212799072
2020-03-07,1.0,2.565732002258301,0.8967059850692749,8.887092590332031
2020-03-08,0.0,0.012076998129487038,-0.01977670192718506,0.06981530785560608
2020-03-09,0.0,1.4819755554199219,-0.04089951515197754,3.7103288173675537
2020-03-10,1.0,1.0144901275634766,0.7772112488746643,1.180573582649231
2020-03-11,0.0,-0.072076216340065,-0.23677164316177368,0.07806995511054993
2020-03-12,1.0,1.8563587665557861,0.9996534585952759,4.983760833740234
2020-03-13,0.0,0.293000727891922,0.07446566224098206,1.0707852840423584
2020-03-14,1.0,0.3230432868003845,-1.8026535511016846,0.9179548025131226
2020-03-15,0.0,-0.733221709728241,-3.750225067138672,0.09055891633033752
2020-03-16,6.0,6.042137622833252,5.906149387359619,6.1676530838012695
2020-03-17,7.0,5.833898067474365,1.1864442825317383,7.1014838218688965
2020-03-18,0.0,9.678349494934082,-0.15324103832244873,25.73777961730957
2020-03-19,27.0,26.86492347717285,26.637317657470703,26.976818084716797
2020-03-20,5.0,6.313339710235596,4.850952625274658,11.222067832946777
2020-03-21,4.0,4.141664981842041,4.0084228515625,4.297581672668457
2020-03-22,14.0,13.91667366027832,13.812255859375,13.993277549743652
2020-03-23,14.0,16.13077163696289,14.018606185913086,24.41012954711914
2020-03-24,25.0,49.86286163330078,24.940570831298828,80.12881469726562
2020-03-25,58.0,58.0453987121582,57.77094650268555,58.32477569580078
2020-03-26,84.0,77.82865905761719,70.01205444335938,83.69120025634766
2020-03-27,74.0,73.9052963256836,73.58489227294922,74.11029052734375
2020-03-28,55.0,55.079681396484375,54.948951721191406,55.19441604614258
2020-03-29,52.0,46.785545349121094,26.40468406677246,52.048770904541016
2020-03-30,52.0,53.31126022338867,51.97277069091797,58.546722412109375
2020-03-31,87.0,67.97904205322266,39.01845169067383,87.0367660522461
2020-04-01,153.0,153.3739013671875,152.94383239746094,154.88816833496094
2020-04-02,160.0,150.5998992919922,113.42081451416016,159.9326934814453
2020-04-03,109.0,109.23371887207031,109.16944122314453,109.31771087646484
2020-04-04,171.0,170.79605102539062,170.6767120361328,170.89483642578125
