,Hawaii,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,10.115403175354004,1.3856945037841797,19.031982421875
2020-02-03,0.0,16.057403564453125,5.385146617889404,26.751056671142578
2020-02-04,0.0,21.88486671447754,11.569398880004883,32.55683135986328
2020-02-05,0.0,25.842422485351562,14.390089988708496,36.16645431518555
2020-02-06,0.0,29.520349502563477,18.73076820373535,39.090911865234375
2020-02-07,0.0,35.43941116333008,22.933931350708008,45.65164566040039
2020-02-08,0.0,43.05580139160156,30.40011978149414,54.557762145996094
2020-02-09,0.0,10.115403175354004,1.3856945037841797,19.031982421875
2020-02-10,0.0,16.057403564453125,5.385146617889404,26.751056671142578
2020-02-11,0.0,21.88486671447754,11.569398880004883,32.55683135986328
2020-02-12,0.0,25.842422485351562,14.390089988708496,36.16645431518555
2020-02-13,0.0,29.520349502563477,18.73076820373535,39.090911865234375
2020-02-14,0.0,35.43941116333008,22.933931350708008,45.65164566040039
2020-02-15,0.0,43.05580139160156,30.40011978149414,54.557762145996094
2020-02-16,0.0,10.115403175354004,1.3856945037841797,19.031982421875
2020-02-17,0.0,16.057403564453125,5.385146617889404,26.751056671142578
2020-02-18,0.0,21.88486671447754,11.569398880004883,32.55683135986328
2020-02-19,0.0,25.842422485351562,14.390089988708496,36.16645431518555
2020-02-20,0.0,29.520349502563477,18.73076820373535,39.090911865234375
2020-02-21,0.0,35.43941116333008,22.933931350708008,45.65164566040039
2020-02-22,0.0,43.05580139160156,30.40011978149414,54.557762145996094
2020-02-23,0.0,10.115403175354004,1.3856945037841797,19.031982421875
2020-02-24,0.0,16.057403564453125,5.385146617889404,26.751056671142578
2020-02-25,0.0,21.88486671447754,11.569398880004883,32.55683135986328
2020-02-26,0.0,25.842422485351562,14.390089988708496,36.16645431518555
2020-02-27,0.0,29.520349502563477,18.73076820373535,39.090911865234375
2020-02-28,0.0,35.43941116333008,22.933931350708008,45.65164566040039
2020-02-29,0.0,43.05580139160156,30.40011978149414,54.557762145996094
2020-03-01,0.0,10.115403175354004,1.3856945037841797,19.031982421875
2020-03-02,0.0,16.057403564453125,5.385146617889404,26.751056671142578
2020-03-03,0.0,21.88486671447754,11.569398880004883,32.55683135986328
2020-03-04,0.0,25.842422485351562,14.390089988708496,36.16645431518555
2020-03-05,0.0,29.520349502563477,18.73076820373535,39.090911865234375
2020-03-06,0.0,35.43941116333008,22.933931350708008,45.65164566040039
2020-03-07,1.0,43.05580139160156,30.40011978149414,54.557762145996094
2020-03-08,1.0,10.115403175354004,1.3856945037841797,19.031982421875
