,Illinois,forecast,interval_low,interval_high
2020-01-23,0.0,-0.18649189174175262,-0.5326950550079346,0.20016005635261536
2020-01-24,1.0,1.4527816772460938,1.0712997913360596,1.6577352285385132
2020-01-25,0.0,-0.31690672039985657,-0.903408408164978,0.15165600180625916
2020-01-26,0.0,0.07305089384317398,-0.3989226818084717,0.5128322839736938
2020-01-27,0.0,5.465395927429199,-1.7772538661956787,15.792591094970703
2020-01-28,0.0,-1.8609110116958618,-8.995250701904297,0.05783969163894653
2020-01-29,0.0,-0.0988629013299942,-0.34861212968826294,0.1746199131011963
2020-01-30,0.0,0.003628939390182495,-0.2958354353904724,0.36561137437820435
2020-01-31,1.0,1.0701488256454468,0.8742946982383728,1.2088329792022705
2020-02-01,0.0,-0.02583547867834568,-0.10945427417755127,0.10556113719940186
2020-02-02,0.0,-3.221012830734253,-8.176183700561523,0.03700050711631775
2020-02-03,0.0,-0.03738045692443848,-0.8393821716308594,0.35893839597702026
2020-02-04,0.0,-2.2367501258850098,-10.532028198242188,-0.043396174907684326
2020-02-05,0.0,0.692687451839447,-2.047804594039917,4.793025493621826
2020-02-06,0.0,-0.12777814269065857,-0.7655105590820312,0.8912487030029297
2020-02-07,0.0,-0.08167381584644318,-0.6101535558700562,0.36776089668273926
2020-02-08,0.0,1.2278612852096558,0.1489514410495758,3.622314214706421
2020-02-09,0.0,-0.8529072999954224,-4.535584926605225,0.27102068066596985
2020-02-10,0.0,-2.3771767616271973,-9.070793151855469,0.15016639232635498
2020-02-11,0.0,-0.19579212367534637,-0.8743129968643188,0.46003687381744385
2020-02-12,0.0,0.2780715525150299,-0.17918962240219116,1.1267662048339844
2020-02-13,0.0,-0.2433813512325287,-0.8019109964370728,0.7223490476608276
2020-02-14,0.0,-0.46061649918556213,-3.985213279724121,0.9439682364463806
2020-02-15,0.0,-0.286232590675354,-1.948033332824707,0.9173937439918518
2020-02-16,0.0,-0.3182220160961151,-1.6124398708343506,0.20314732193946838
2020-02-17,0.0,1.524714708328247,-0.30763769149780273,7.295749664306641
2020-02-18,0.0,-0.8671439290046692,-3.258948564529419,0.2997562289237976
2020-02-19,0.0,0.14096638560295105,-0.7368237972259521,0.676518976688385
2020-02-20,0.0,-0.2995040714740753,-0.7427231073379517,0.24357208609580994
2020-02-21,0.0,2.2701637744903564,-0.3031824231147766,7.606323719024658
2020-02-22,0.0,0.19142773747444153,-0.20433253049850464,0.7890618443489075
2020-02-23,0.0,0.9864668846130371,-0.07431191205978394,4.868277072906494
2020-02-24,0.0,-1.0318326950073242,-5.841423511505127,1.4977927207946777
2020-02-25,0.0,-0.160837322473526,-1.34927499294281,0.3558814525604248
2020-02-26,0.0,-0.08640465885400772,-3.9364891052246094,4.083413124084473
2020-02-27,0.0,0.11707453429698944,-0.301965594291687,0.5032049417495728
2020-02-28,0.0,0.36634528636932373,-0.17474383115768433,2.141502857208252
2020-02-29,0.0,1.5436676740646362,-2.673398017883301,10.693486213684082
2020-03-01,1.0,1.0633524656295776,0.9171507358551025,1.2001676559448242
2020-03-02,1.0,-1.6007169485092163,-10.805329322814941,1.005652904510498
2020-03-03,0.0,-0.1746533066034317,-0.9731767177581787,0.17100101709365845
2020-03-04,0.0,1.1527502536773682,-0.539129376411438,4.804886817932129
2020-03-05,1.0,-0.9893601536750793,-7.558793067932129,0.9198861122131348
2020-03-06,0.0,0.6178593635559082,-0.11075180768966675,1.2345354557037354
2020-03-07,1.0,0.6526927947998047,0.32859084010124207,0.988044023513794
2020-03-08,1.0,2.1828885078430176,0.4076351225376129,7.194042205810547
2020-03-09,0.0,0.5306432843208313,-0.17031222581863403,1.851148247718811
2020-03-10,5.0,7.5414323806762695,4.921003341674805,12.545478820800781
2020-03-11,13.0,10.352261543273926,1.1363497972488403,13.061059951782227
2020-03-12,7.0,12.252115249633789,7.202244281768799,23.842758178710938
2020-03-13,14.0,13.778056144714355,6.487346649169922,19.04897689819336
2020-03-14,18.0,18.8753604888916,18.12179183959961,20.89814567565918
2020-03-15,2.0,9.673429489135742,1.5993542671203613,23.180742263793945
2020-03-16,17.0,16.899316787719727,16.3704833984375,17.208526611328125
2020-03-17,78.0,91.8853988647461,77.976806640625,117.21643829345703
2020-03-18,111.0,111.1633529663086,110.18972778320312,111.97158813476562
2020-03-19,150.0,149.3607635498047,148.3251495361328,150.6636962890625
2020-03-20,163.0,160.82151794433594,149.18516540527344,164.0095977783203
2020-03-21,168.0,217.61825561523438,166.75050354003906,294.8575439453125
2020-03-22,296.0,270.72125244140625,170.3660125732422,296.349609375
2020-03-23,236.0,241.0477752685547,235.87998962402344,248.7476806640625
2020-03-24,252.0,268.2641296386719,251.91888427734375,331.697265625
2020-03-25,328.0,382.870361328125,266.6221008300781,662.7792358398438
2020-03-26,673.0,488.0640563964844,307.0986633300781,672.2017211914062
2020-03-27,486.0,479.6483459472656,467.4970397949219,486.5411071777344
2020-03-28,467.0,470.45947265625,467.0456237792969,483.85247802734375
2020-03-29,1105.0,943.0955200195312,469.0247802734375,1105.0509033203125
2020-03-30,460.0,552.3869018554688,460.0362548828125,921.41552734375
2020-03-31,938.0,839.75244140625,447.297119140625,937.9385986328125
2020-04-01,986.0,953.8406372070312,826.805908203125,986.0427856445312
2020-04-02,715.0,715.549072265625,714.9934692382812,716.3577270507812
2020-04-03,1209.0,1208.95068359375,1208.364990234375,1209.2803955078125
2020-04-04,1453.0,1302.6934814453125,931.8847045898438,1452.728515625
2020-04-05,902.0,1068.89453125,902.5911865234375,1373.449951171875
