,West Virginia,forecast,interval_low,interval_high
2020-02-18,0.0,-0.12060530483722687,-0.4088614583015442,-0.0348963737487793
2020-02-19,0.0,0.07764413207769394,0.013601213693618774,0.14758557081222534
2020-02-20,0.0,0.06835344433784485,0.035451650619506836,0.15194985270500183
2020-02-21,0.0,-0.014903748407959938,-0.08871132135391235,0.07461786270141602
2020-02-22,0.0,0.17870056629180908,-0.09031528234481812,1.0276367664337158
2020-02-23,0.0,0.029208730906248093,0.004853338003158569,0.07496094703674316
2020-02-24,0.0,0.008679365739226341,-0.026164352893829346,0.07507258653640747
2020-02-25,0.0,0.1564553678035736,-0.00879204273223877,0.7662049531936646
2020-02-26,0.0,0.013430630788207054,-0.034407854080200195,0.052401721477508545
2020-02-27,0.0,-0.040993593633174896,-0.1057051420211792,0.01474839448928833
2020-02-28,0.0,0.009894078597426414,-0.013492882251739502,0.03953930735588074
2020-02-29,0.0,0.006308853626251221,-0.00903165340423584,0.02021801471710205
2020-03-01,0.0,-0.12077357620000839,-0.9442218542098999,0.2593769133090973
2020-03-02,0.0,1.1471697092056274,-0.005946457386016846,3.2343039512634277
2020-03-03,0.0,-0.13894978165626526,-0.5884107351303101,0.004442989826202393
2020-03-04,0.0,0.06260894238948822,0.01793593168258667,0.10933804512023926
2020-03-05,0.0,-0.26133838295936584,-1.5382795333862305,0.2962162494659424
2020-03-06,0.0,-0.1933930218219757,-0.7372456789016724,0.007089763879776001
2020-03-07,0.0,-0.29716578125953674,-2.0157792568206787,0.4507770538330078
2020-03-08,0.0,-0.027553409337997437,-0.1715787649154663,0.05192574858665466
2020-03-09,0.0,-0.06945854425430298,-0.1473115086555481,-0.029728591442108154
2020-03-10,0.0,0.8517778515815735,0.013955295085906982,2.4390649795532227
2020-03-11,0.0,0.0010310650104656816,-0.05132782459259033,0.0557137131690979
2020-03-12,0.0,-0.06205453351140022,-0.1819705367088318,0.01682320237159729
2020-03-13,0.0,-0.02021505869925022,-0.12670445442199707,0.06916236877441406
2020-03-14,0.0,0.10061737149953842,-0.0351635217666626,0.44399264454841614
2020-03-15,0.0,0.24556975066661835,-0.1517999768257141,1.1447134017944336
2020-03-16,0.0,-0.5282946825027466,-1.7392406463623047,0.015775084495544434
2020-03-17,0.0,0.1821410357952118,-0.12338465452194214,1.072813630104065
2020-03-18,1.0,1.0815002918243408,1.0346195697784424,1.1275935173034668
2020-03-19,1.0,0.9991669654846191,0.8596165180206299,1.062441349029541
2020-03-20,6.0,5.312175750732422,3.9827466011047363,6.18807315826416
2020-03-21,4.0,3.919734239578247,3.8401577472686768,3.997619152069092
2020-03-22,4.0,4.524537086486816,3.995112180709839,6.3736677169799805
2020-03-23,0.0,3.4368693828582764,0.07871651649475098,6.094158172607422
2020-03-24,6.0,7.1200385093688965,5.893084526062012,11.69163703918457
2020-03-25,17.0,17.010244369506836,14.209228515625,20.073179244995117
2020-03-26,13.0,13.012567520141602,12.895323753356934,13.10745620727539
2020-03-27,24.0,24.028234481811523,23.981571197509766,24.089885711669922
2020-03-28,20.0,19.95516586303711,19.91997718811035,19.983531951904297
2020-03-29,17.0,17.023521423339844,17.008668899536133,17.04526710510254
2020-03-30,32.0,31.949005126953125,31.936861038208008,31.97179412841797
2020-03-31,17.0,17.011608123779297,16.99080467224121,17.024805068969727
2020-04-01,29.0,28.99190330505371,28.97295379638672,29.010425567626953
2020-04-02,25.0,23.581317901611328,21.036945343017578,25.267305374145508
2020-04-03,21.0,21.071731567382812,21.03351593017578,21.131092071533203
2020-04-04,45.0,44.932456970214844,44.845279693603516,44.982147216796875
2020-04-05,42.0,40.24299621582031,33.2322998046875,42.03710174560547
2020-04-06,21.0,29.333337783813477,21.010839462280273,62.49713897705078
2020-04-07,67.0,61.483543395996094,39.78204345703125,66.97830963134766
