,Minnesota,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,0.028413077898450306,0.028413077898450306,0.028413077898450306
2020-01-25,0.0,0.03971084783664681,0.03971084783664681,0.03971084783664681
2020-01-26,0.0,0.045481465857698064,0.045481465857698064,0.045481465857698064
2020-01-27,0.0,0.05286170644142178,0.05286170644142178,0.05286170644142178
2020-01-28,0.0,0.07245106155723441,0.07245106155723441,0.07245106155723441
2020-01-29,0.0,0.08861781273311385,0.08861781273311385,0.08861781273311385
2020-01-30,0.0,0.114704277375273,0.114704277375273,0.114704277375273
2020-01-31,0.0,0.12636595576100243,0.12636595576100243,0.12636595576100243
2020-02-01,0.0,0.10934347959089463,0.10934347959089463,0.10934347959089463
2020-02-02,0.0,0.0879547820594891,0.0879547820594891,0.0879547820594891
2020-02-03,0.0,0.08177008977990818,0.08177008977990818,0.08177008977990818
2020-02-04,0.0,0.08954796703331043,0.08954796703331043,0.08954796703331043
2020-02-05,0.0,0.10229946464193113,0.10229946464193113,0.10229946464193113
2020-02-06,0.0,0.1075654418462234,0.1075654418462234,0.1075654418462234
2020-02-07,0.0,0.09980659618369755,0.09980659618369755,0.09980659618369755
2020-02-08,0.0,0.08895951537554872,0.08895951537554872,0.08895951537554872
2020-02-09,0.0,0.08550062658515777,0.08550062658515777,0.08550062658515777
2020-02-10,0.0,0.09036056270446098,0.09036056270446098,0.09036056270446098
2020-02-11,0.0,0.09806267348781324,0.09806267348781324,0.09806267348781324
2020-02-12,0.0,0.10099576536058516,0.10099576536058516,0.10099576536058516
2020-02-13,0.0,0.0963691513350739,0.0963691513350739,0.0963691513350739
2020-02-14,0.0,0.08981876412323743,0.08981876412323743,0.08981876412323743
2020-02-15,0.0,0.08772946159926882,0.08772946159926882,0.08772946159926882
2020-02-16,0.0,0.09101332088530878,0.09101332088530878,0.09101332088530878
2020-02-17,0.0,0.09599860781729778,0.09599860781729778,0.09599860781729778
2020-02-18,0.0,0.09774644952754023,0.09774644952754023,0.09774644952754023
2020-02-19,0.0,0.09473085466417576,0.09473085466417576,0.09473085466417576
2020-02-20,0.0,0.09052101533287998,0.09052101533287998,0.09052101533287998
2020-02-21,0.0,0.08922639249349588,0.08922639249349588,0.08922639249349588
2020-02-22,0.0,0.09150767587544746,0.09150767587544746,0.09150767587544746
2020-02-23,0.0,0.09482146381477298,0.09482146381477298,0.09482146381477298
2020-02-24,0.0,0.09588853519731728,0.09588853519731728,0.09588853519731728
2020-02-25,0.0,0.09384973407579687,0.09384973407579687,0.09384973407579687
2020-02-26,0.0,0.09107237811476593,0.09107237811476593,0.09107237811476593
2020-02-27,0.0,0.09026562152103682,0.09026562152103682,0.09026562152103682
2020-02-28,0.0,0.09186516410866355,0.09186516410866355,0.09186516410866355
