,Illinois,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,1.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,0.2176978439092636,0.2176978439092636,0.2176978439092636
2020-01-31,1.0,18.403264857828617,0.1671406775712967,36.63938903808594
2020-02-01,0.0,23.15766792992751,0.19026224315166473,36.57779312133789
2020-02-02,0.0,37.74975058808923,0.24229229986667633,81.50857543945312
2020-02-03,0.0,47.12009681463242,0.2720157504081726,84.48736572265625
2020-02-04,0.0,54.744763587911926,0.27621015906333923,92.855712890625
2020-02-05,0.0,63.79871358616011,0.25641945004463196,117.96937561035156
2020-02-06,0.0,63.81505867200239,0.2176978439092636,117.89537811279297
2020-02-07,0.0,63.82727210223675,0.1671406775712967,118.05305480957031
2020-02-08,0.0,63.80086204196726,0.07016469538211823,118.10781860351562
2020-02-09,0.0,63.76676845763411,0.07016469538211823,118.11893463134766
2020-02-10,0.0,63.727805139763014,0.07016469538211823,118.09291076660156
2020-02-11,0.0,63.686567172408104,0.07016469538211823,118.03919982910156
2020-02-12,0.0,63.66182286611625,0.07016469538211823,117.96937561035156
2020-02-13,0.0,63.64838750234672,0.07016469538211823,117.89537811279297
2020-02-14,0.0,63.64482893475464,0.07016469538211823,117.87046813964844
2020-02-15,0.0,63.64482893475464,0.07016469538211823,117.87046813964844
2020-02-16,0.0,63.64482893475464,0.07016469538211823,117.87046813964844
2020-02-17,0.0,63.64482893475464,0.07016469538211823,117.87046813964844
2020-02-18,0.0,63.64482893475464,0.07016469538211823,117.87046813964844
2020-02-19,0.0,63.64482893475464,0.07016469538211823,117.87046813964844
2020-02-20,0.0,63.64482893475464,0.07016469538211823,117.87046813964844
2020-02-21,0.0,63.64482893475464,0.07016469538211823,117.87046813964844
2020-02-22,0.0,63.64482893475464,0.07016469538211823,117.87046813964844
2020-02-23,0.0,63.64482893475464,0.07016469538211823,117.87046813964844
2020-02-24,0.0,63.64482893475464,0.07016469538211823,117.87046813964844
2020-02-25,0.0,63.64482893475464,0.07016469538211823,117.87046813964844
2020-02-26,0.0,63.64482893475464,0.07016469538211823,117.87046813964844
2020-02-27,0.0,63.64482893475464,0.07016469538211823,117.87046813964844
2020-02-28,0.0,63.64482893475464,0.07016469538211823,117.87046813964844
2020-02-29,0.0,63.64482679856675,0.0701497420668602,117.87046813964844
2020-03-01,1.0,63.64482352882624,0.0701497420668602,117.87046813964844
2020-03-02,1.0,63.66198409242289,0.19026224315166473,117.87046813964844
2020-03-03,0.0,63.70141121319362,0.36241602897644043,117.87046813964844
2020-03-04,0.0,63.75894956077848,0.4441433548927307,117.87046813964844
2020-03-05,1.0,63.819790380341665,0.47805750370025635,117.87046813964844
2020-03-06,0.0,63.89914550951549,0.5825737118721008,117.87046813964844
2020-03-07,1.0,63.98782455921173,0.5760802030563354,117.87046813964844
2020-03-08,1.0,64.0858016695295,0.636622428894043,118.05305480957031
2020-03-09,0.0,64.14014082295554,0.6654225587844849,118.29042053222656
2020-03-10,5.0,64.17381395612445,0.6304130554199219,118.35625457763672
2020-03-11,13.0,64.27717351913452,1.226168155670166,118.34137725830078
2020-03-12,7.0,64.60935395104545,2.981881618499756,118.44422149658203
2020-03-13,14.0,65.16934558323452,4.492170333862305,118.37543487548828
2020-03-14,18.0,66.12516083036151,6.856110095977783,118.42533874511719
2020-03-15,2.0,67.44158172607422,9.762840270996094,118.53777313232422
2020-03-16,17.0,69.0688578741891,10.834162712097168,118.5250015258789
2020-03-17,78.0,71.0216759272984,12.676164627075195,119.35330963134766
2020-03-18,111.0,73.9706974029541,21.38544273376465,121.8474349975586
2020-03-19,150.0,78.87022726876395,36.8079948425293,123.74390411376953
2020-03-20,163.0,87.07938330514091,55.82138442993164,126.55335998535156
2020-03-21,168.0,98.76202719552177,73.14684295654297,129.97657775878906
2020-03-22,296.0,114.89970397949219,99.33291625976562,130.22132873535156
2020-03-23,236.0,138.04351370675224,120.32337951660156,162.18775939941406
2020-03-24,252.0,166.5327366420201,143.3126983642578,198.986328125
2020-03-25,328.0,198.8582262311663,165.9279022216797,236.18466186523438
2020-03-26,673.0,232.03987557547433,197.21592712402344,266.13079833984375
2020-03-27,486.0,272.09517996651783,231.47157287597656,331.5740051269531
2020-03-28,467.0,315.47628348214283,263.4002685546875,394.5546875
2020-03-29,1105.0,363.6744079589844,311.1711730957031,449.5649108886719
2020-03-30,460.0,419.7042541503906,344.61627197265625,567.5613403320312
2020-03-31,938.0,482.41849626813615,371.5030212402344,628.1875610351562
2020-04-01,986.0,560.0204772949219,404.281005859375,716.6618041992188
2020-04-02,715.0,635.1051592145648,497.6566467285156,801.2823486328125
2020-04-03,1209.0,712.2796718052456,566.2894897460938,833.9344482421875
2020-04-04,1453.0,788.8978184291294,614.5249633789062,919.436279296875
2020-04-05,902.0,870.1002807617188,766.4282836914062,1036.5684814453125
2020-04-06,1003.0,937.0297328404018,803.7973022460938,1072.0377197265625
2020-04-07,1291.0,1005.0311628069196,883.321533203125,1119.2261962890625
2020-04-08,1525.0,1064.608642578125,958.5038452148438,1162.42578125
2020-04-09,1344.0,1126.6845005580358,984.8536376953125,1232.844970703125
2020-04-10,1465.0,1193.6395612444196,1068.1741943359375,1293.348388671875
2020-04-11,1293.0,1248.1300397600446,1176.1600341796875,1343.9544677734375
2020-04-12,1672.0,1286.9967564174108,1218.2044677734375,1376.773193359375
