,Alabama,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,,,
2020-02-03,0.0,1.402891755104065,1.0923151969909668,1.6582757234573364
2020-02-04,0.0,1.1765159368515015,0.9328778982162476,1.623652696609497
2020-02-05,0.0,1.0618529319763184,1.0285940170288086,1.1204017400741577
2020-02-06,0.0,0.6526779532432556,0.5853021144866943,0.7541344165802002
2020-02-07,0.0,0.9482877850532532,0.6687109470367432,1.171174168586731
2020-02-08,0.0,1.4356422424316406,1.0355380773544312,1.9518495798110962
2020-02-09,0.0,1.5712018013000488,1.1201696395874023,1.911272406578064
2020-02-10,0.0,1.402891755104065,1.0923151969909668,1.6582757234573364
2020-02-11,0.0,1.1765159368515015,0.9328778982162476,1.623652696609497
2020-02-12,0.0,1.0618529319763184,1.0285940170288086,1.1204017400741577
2020-02-13,0.0,0.6526779532432556,0.5853021144866943,0.7541344165802002
2020-02-14,0.0,0.9482877850532532,0.6687109470367432,1.171174168586731
2020-02-15,0.0,1.4356422424316406,1.0355380773544312,1.9518495798110962
2020-02-16,0.0,1.5712018013000488,1.1201696395874023,1.911272406578064
2020-02-17,0.0,1.402891755104065,1.0923151969909668,1.6582757234573364
2020-02-18,0.0,1.1765159368515015,0.9328778982162476,1.623652696609497
2020-02-19,0.0,1.0618529319763184,1.0285940170288086,1.1204017400741577
2020-02-20,0.0,0.6526779532432556,0.5853021144866943,0.7541344165802002
2020-02-21,0.0,0.9482877850532532,0.6687109470367432,1.171174168586731
2020-02-22,0.0,1.4356422424316406,1.0355380773544312,1.9518495798110962
2020-02-23,0.0,1.5712018013000488,1.1201696395874023,1.911272406578064
2020-02-24,0.0,1.402891755104065,1.0923151969909668,1.6582757234573364
2020-02-25,0.0,1.1765159368515015,0.9328778982162476,1.623652696609497
2020-02-26,0.0,1.0618529319763184,1.0285940170288086,1.1204017400741577
2020-02-27,0.0,0.6526779532432556,0.5853021144866943,0.7541344165802002
2020-02-28,0.0,0.9482877850532532,0.6687109470367432,1.171174168586731
2020-02-29,0.0,1.4356422424316406,1.0355380773544312,1.9518495798110962
2020-03-01,0.0,1.5712018013000488,1.1201696395874023,1.911272406578064
2020-03-02,0.0,1.402891755104065,1.0923151969909668,1.6582757234573364
2020-03-03,0.0,1.1765159368515015,0.9328778982162476,1.623652696609497
