,Grand Princess,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,0.14303646981716156,0.0,1.9398205280303955
2020-02-03,0.0,0.08061123639345169,0.0,2.1670820713043213
2020-02-04,0.0,0.4496907591819763,0.0,2.1355316638946533
2020-02-05,0.0,0.4515351355075836,0.0,7.446439266204834
2020-02-06,0.0,0.48538750410079956,0.0,4.506185531616211
2020-02-07,0.0,0.22214818000793457,0.0,0.6836371421813965
2020-02-08,0.0,0.05432436615228653,0.0,0.4180428683757782
2020-02-09,0.0,0.14303646981716156,0.0,1.9398205280303955
2020-02-10,0.0,0.08061123639345169,0.0,2.1670820713043213
2020-02-11,0.0,0.4496907591819763,0.0,2.1355316638946533
2020-02-12,0.0,0.4515351355075836,0.0,7.446439266204834
2020-02-13,0.0,0.48538750410079956,0.0,4.506185531616211
2020-02-14,0.0,0.22214818000793457,0.0,0.6836371421813965
2020-02-15,0.0,0.05432436615228653,0.0,0.4180428683757782
2020-02-16,0.0,0.14303646981716156,0.0,1.9398205280303955
2020-02-17,0.0,0.08061123639345169,0.0,2.1670820713043213
2020-02-18,0.0,0.4496907591819763,0.0,2.1355316638946533
2020-02-19,0.0,0.4515351355075836,0.0,7.446439266204834
2020-02-20,0.0,0.48538750410079956,0.0,4.506185531616211
2020-02-21,0.0,0.22214818000793457,0.0,0.6836371421813965
2020-02-22,0.0,0.05432436615228653,0.0,0.4180428683757782
2020-02-23,0.0,0.14303646981716156,0.0,1.9398205280303955
2020-02-24,0.0,0.08061123639345169,0.0,2.1670820713043213
2020-02-25,0.0,0.4496907591819763,0.0,2.1355316638946533
2020-02-26,0.0,0.4515351355075836,0.0,7.446439266204834
2020-02-27,0.0,0.48538750410079956,0.0,4.506185531616211
2020-02-28,0.0,0.22214818000793457,0.0,0.6836371421813965
2020-02-29,0.0,0.05432436615228653,0.0,0.4180428683757782
2020-03-01,0.0,0.14303646981716156,0.0,1.9398205280303955
2020-03-02,0.0,0.08061123639345169,0.0,2.1670820713043213
2020-03-03,0.0,0.4496907591819763,0.0,2.1355316638946533
2020-03-04,0.0,0.4515351355075836,0.0,7.446439266204834
2020-03-05,0.0,0.48538750410079956,0.0,4.506185531616211
2020-03-06,0.0,0.22214818000793457,0.0,0.6836371421813965
2020-03-07,0.0,0.05432436615228653,0.0,0.4180428683757782
2020-03-08,0.0,0.14303646981716156,0.0,1.9398205280303955
2020-03-09,0.0,0.08061123639345169,0.0,2.1670820713043213
2020-03-10,0.0,0.4496907591819763,0.0,2.1355316638946533
2020-03-11,0.0,0.4515351355075836,0.0,7.446439266204834
2020-03-12,0.0,0.48538750410079956,0.0,4.506185531616211
2020-03-13,0.0,0.22214818000793457,0.0,0.6836371421813965
2020-03-14,0.0,0.05432436615228653,0.0,0.4180428683757782
2020-03-15,0.0,0.14303646981716156,0.0,1.9398205280303955
2020-03-16,20.0,0.08061123639345169,0.0,2.1670820713043213
2020-03-17,1.0,0.4496907591819763,0.0,2.1355316638946533
2020-03-18,0.0,0.4515351355075836,0.0,7.446439266204834
2020-03-19,1.0,0.48538750410079956,0.0,4.506185531616211
2020-03-20,1.0,0.22214818000793457,0.0,0.6836371421813965
2020-03-21,0.0,0.05432436615228653,0.0,0.4180428683757782
2020-03-22,7.0,0.0,0.0,4.703273773193359
2020-03-23,-2.0,0.35948607325553894,0.0,6.700390815734863
2020-03-24,0.0,2.880420207977295,0.0,7.497881889343262
2020-03-25,0.0,9.911463737487793,0.7059308886528015,28.853328704833984
2020-03-26,0.0,3.532198667526245,0.0,8.537741661071777
2020-03-27,0.0,0.04474826902151108,0.0,1.7069820165634155
2020-03-28,75.0,0.6414498686790466,0.0,4.399447441101074
2020-03-29,0.0,6.556169033050537,0.0,19.10979652404785
2020-03-30,0.0,14.654150009155273,0.0,42.164791107177734
2020-03-31,0.0,24.34091567993164,0.6838657259941101,74.93121337890625
2020-04-01,0.0,4.855698585510254,0.0,22.0531005859375
2020-04-02,0.0,6.632859706878662,0.0,18.232322692871094
2020-04-03,0.0,0.9914897680282593,0.0,6.525676727294922
2020-04-04,0.0,0.9996380805969238,0.0,8.908604621887207
2020-04-05,0.0,0.0,0.0,1.64506196975708
2020-04-06,0.0,0.11047984659671783,0.0,3.1411821842193604
2020-04-07,0.0,0.0,0.0,2.909593105316162
2020-04-08,0.0,0.0,0.0,1.729872703552246
2020-04-09,0.0,0.0,0.0,2.5162782669067383
2020-04-10,0.0,0.0,0.0,3.9121687412261963
2020-04-11,0.0,1.0480862855911255,0.0,11.715028762817383
2020-04-12,0.0,0.14303646981716156,0.0,1.9398205280303955
2020-04-13,0.0,0.08061123639345169,0.0,2.1670820713043213
2020-04-14,0.0,0.4496907591819763,0.0,2.1355316638946533
2020-04-15,0.0,0.4515351355075836,0.0,7.446439266204834
2020-04-16,0.0,0.48538750410079956,0.0,4.506185531616211
2020-04-17,0.0,0.22214818000793457,0.0,0.6836371421813965
2020-04-18,0.0,0.05432436615228653,0.0,0.4180428683757782
2020-04-19,0.0,0.14303646981716156,0.0,1.9398205280303955
2020-04-20,0.0,0.08061123639345169,0.0,2.1670820713043213
2020-04-21,0.0,0.4496907591819763,0.0,2.1355316638946533
2020-04-22,0.0,0.4515351355075836,0.0,7.446439266204834
