,Tennessee,forecast,interval_low,interval_high
2020-01-23,0.0,9.010762214660645,0.032949477434158325,44.50198745727539
2020-01-24,0.0,-0.1402965486049652,-0.43232274055480957,0.0329841673374176
2020-01-25,0.0,-0.9501833915710449,-4.228423595428467,-0.01923966407775879
2020-01-26,0.0,0.03854544833302498,-0.00662308931350708,0.11302939057350159
2020-01-27,0.0,0.15700282156467438,0.0014684200286865234,0.45991602540016174
2020-01-28,0.0,-7.180599212646484,-35.46721649169922,-0.037475526332855225
2020-01-29,0.0,-0.6857119798660278,-11.455336570739746,5.659748554229736
2020-01-30,0.0,0.013855027966201305,-0.2815127968788147,0.4142969250679016
2020-01-31,0.0,0.1258642077445984,-0.12403368949890137,0.7043032646179199
2020-02-01,0.0,9.223540306091309,-0.003491520881652832,46.101806640625
2020-02-02,0.0,-0.05120807886123657,-0.13927561044692993,0.01248866319656372
2020-02-03,0.0,-0.7554448843002319,-7.880128860473633,3.748136520385742
2020-02-04,0.0,0.0018390059703961015,-0.3281744718551636,0.2720877528190613
2020-02-05,0.0,-0.09676612168550491,-0.8006693124771118,0.1787882149219513
2020-02-06,0.0,1.066853642463684,-0.18486136198043823,4.836624622344971
2020-02-07,0.0,-0.664709210395813,-2.767204523086548,0.0954560935497284
2020-02-08,0.0,-0.06185013800859451,-0.3194117546081543,0.1334579586982727
2020-02-09,0.0,1.1024820804595947,0.15810540318489075,3.9067163467407227
2020-02-10,0.0,2.043537139892578,-5.464197158813477,16.532617568969727
2020-02-11,0.0,0.08372609317302704,-0.389248251914978,0.6091526746749878
2020-02-12,0.0,0.08636783808469772,-0.23629248142242432,0.6364513635635376
2020-02-13,0.0,-0.18155092000961304,-0.5265152454376221,0.03579133749008179
2020-02-14,0.0,0.2314877063035965,-0.6888504028320312,1.306167483329773
2020-02-15,0.0,-1.9519360065460205,-8.366387367248535,-0.08027774095535278
2020-02-16,0.0,1.2340043783187866,-0.09705567359924316,4.208066463470459
2020-02-17,0.0,-0.028477299958467484,-0.2053292989730835,0.0976763367652893
2020-02-18,0.0,0.3837243914604187,0.07316520810127258,0.7711362838745117
2020-02-19,0.0,-0.15687689185142517,-0.4607701897621155,0.06487488746643066
2020-02-20,0.0,0.0011387586127966642,-0.21246254444122314,0.3022643029689789
2020-02-21,0.0,0.24375982582569122,-0.023552000522613525,0.5970855951309204
2020-02-22,0.0,-0.030891019850969315,-0.38059931993484497,0.36647701263427734
2020-02-23,0.0,0.17880375683307648,-0.03071582317352295,0.5114609599113464
2020-02-24,0.0,0.11171265691518784,-0.2586058974266052,0.3362075686454773
2020-02-25,0.0,-0.3726974129676819,-0.8539396524429321,0.002771735191345215
2020-02-26,0.0,-0.15208716690540314,-1.107606291770935,0.447433203458786
2020-02-27,0.0,0.1908074915409088,0.054627835750579834,0.2880849540233612
2020-02-28,0.0,-0.39362505078315735,-1.948533296585083,0.35801368951797485
2020-02-29,0.0,-0.3950672745704651,-1.275010108947754,0.025744140148162842
2020-03-01,0.0,0.03487778827548027,-0.11848008632659912,0.29019927978515625
2020-03-02,0.0,-0.0790768638253212,-0.3236790895462036,0.09847027063369751
2020-03-03,0.0,-1.7004579305648804,-8.305920600891113,0.07029637694358826
2020-03-04,0.0,0.2166423797607422,0.08799129724502563,0.3285024166107178
2020-03-05,1.0,0.7237752676010132,0.3082311153411865,1.191654920578003
2020-03-06,0.0,3.3295631408691406,-0.295346200466156,16.042236328125
2020-03-07,0.0,0.7110615372657776,-0.15965962409973145,1.9734442234039307
2020-03-08,2.0,2.1644065380096436,1.8336727619171143,3.2349300384521484
2020-03-09,0.0,4.129508972167969,-0.10420680046081543,20.556699752807617
2020-03-10,0.0,2.77467942237854,0.05869412422180176,12.563709259033203
2020-03-11,6.0,5.44260311126709,5.0851521492004395,5.987082004547119
2020-03-12,9.0,9.571155548095703,8.934426307678223,9.811287879943848
2020-03-13,8.0,1.368733286857605,-22.945741653442383,7.994184970855713
2020-03-14,6.0,4.816017150878906,-1.230522871017456,6.663187503814697
2020-03-15,0.0,4.314120292663574,-0.25564658641815186,21.813230514526367
2020-03-16,20.0,20.227458953857422,20.058128356933594,20.400535583496094
2020-03-17,22.0,21.89392852783203,21.757017135620117,22.004106521606445
2020-03-18,26.0,19.98776626586914,5.87040376663208,25.297733306884766
2020-03-19,54.0,75.84930419921875,54.535621643066406,102.27656555175781
2020-03-20,69.0,72.09886169433594,67.78058624267578,80.89665222167969
2020-03-21,81.0,79.50474548339844,73.83150482177734,81.19593048095703
2020-03-22,89.0,211.7305145263672,89.13433837890625,275.4049377441406
2020-03-23,221.0,220.7855987548828,220.2425537109375,221.24197387695312
2020-03-24,158.0,188.9240264892578,157.9955291748047,275.2775573730469
2020-03-25,144.0,191.3383331298828,144.313720703125,299.2608337402344
2020-03-26,181.0,197.54779052734375,180.86143493652344,262.5879821777344
2020-03-27,221.0,211.8712921142578,178.00466918945312,220.815185546875
2020-03-28,193.0,192.99899291992188,192.31163024902344,193.2892608642578
2020-03-29,209.0,209.0025634765625,208.8068389892578,209.19796752929688
2020-03-30,197.0,216.529296875,196.96302795410156,294.4820251464844
2020-03-31,474.0,289.04864501953125,132.66256713867188,473.95111083984375
2020-04-01,542.0,541.8485107421875,541.6426391601562,542.04296875
2020-04-02,80.0,80.06590270996094,79.96476745605469,80.29109954833984
2020-04-03,54.0,87.20643615722656,54.277767181396484,217.95050048828125
2020-04-04,255.0,254.58486938476562,254.21676635742188,254.87066650390625
2020-04-05,311.0,311.110107421875,311.02301025390625,311.3948974609375
