,Kansas,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,,,
2020-02-03,0.0,0.3516491949558258,0.3290747404098511,0.3927745521068573
2020-02-04,0.0,0.2849530875682831,0.16386419534683228,0.36088883876800537
2020-02-05,0.0,0.372087687253952,0.3091699182987213,0.4141179919242859
2020-02-06,0.0,0.4422566890716553,0.3355834484100342,0.5173536539077759
2020-02-07,0.0,0.48836520314216614,0.4626685082912445,0.5261856317520142
2020-02-08,0.0,0.616081953048706,0.5858519673347473,0.6701451539993286
2020-02-09,0.0,0.5873737335205078,0.5486667156219482,0.6177946329116821
2020-02-10,0.0,0.3516491949558258,0.3290747404098511,0.3927745521068573
2020-02-11,0.0,0.2849530875682831,0.16386419534683228,0.36088883876800537
2020-02-12,0.0,0.372087687253952,0.3091699182987213,0.4141179919242859
2020-02-13,0.0,0.4422566890716553,0.3355834484100342,0.5173536539077759
2020-02-14,0.0,0.48836520314216614,0.4626685082912445,0.5261856317520142
2020-02-15,0.0,0.616081953048706,0.5858519673347473,0.6701451539993286
2020-02-16,0.0,0.5873737335205078,0.5486667156219482,0.6177946329116821
2020-02-17,0.0,0.3516491949558258,0.3290747404098511,0.3927745521068573
2020-02-18,0.0,0.2849530875682831,0.16386419534683228,0.36088883876800537
2020-02-19,0.0,0.372087687253952,0.3091699182987213,0.4141179919242859
2020-02-20,0.0,0.4422566890716553,0.3355834484100342,0.5173536539077759
2020-02-21,0.0,0.48836520314216614,0.4626685082912445,0.5261856317520142
2020-02-22,0.0,0.616081953048706,0.5858519673347473,0.6701451539993286
2020-02-23,0.0,0.5873737335205078,0.5486667156219482,0.6177946329116821
2020-02-24,0.0,0.3516491949558258,0.3290747404098511,0.3927745521068573
2020-02-25,0.0,0.2849530875682831,0.16386419534683228,0.36088883876800537
2020-02-26,0.0,0.372087687253952,0.3091699182987213,0.4141179919242859
2020-02-27,0.0,0.4422566890716553,0.3355834484100342,0.5173536539077759
2020-02-28,0.0,0.48836520314216614,0.4626685082912445,0.5261856317520142
2020-02-29,0.0,0.616081953048706,0.5858519673347473,0.6701451539993286
2020-03-01,0.0,0.5873737335205078,0.5486667156219482,0.6177946329116821
2020-03-02,0.0,0.3516491949558258,0.3290747404098511,0.3927745521068573
2020-03-03,0.0,0.2849530875682831,0.16386419534683228,0.36088883876800537
