,South Dakota,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,,,
2020-02-03,0.0,0.0,0.0,-0.9269007444381714
2020-02-04,0.0,0.0,0.0,0.6358063220977783
2020-02-05,0.0,0.0,0.0,0.02208976447582245
2020-02-06,0.0,0.0,0.0,0.778574526309967
2020-02-07,0.0,0.0,0.0,3.179659605026245
2020-02-08,0.0,1.5588213205337524,0.0,3.8610680103302
2020-02-09,0.0,2.8201749324798584,0.041144467890262604,5.881651878356934
2020-02-10,0.0,0.0,0.0,-0.9269007444381714
2020-02-11,0.0,0.0,0.0,0.6358063220977783
2020-02-12,0.0,0.0,0.0,0.02208976447582245
2020-02-13,0.0,0.0,0.0,0.778574526309967
2020-02-14,0.0,0.0,0.0,3.179659605026245
2020-02-15,0.0,1.5588213205337524,0.0,3.8610680103302
2020-02-16,0.0,2.8201749324798584,0.041144467890262604,5.881651878356934
2020-02-17,0.0,0.0,0.0,-0.9269007444381714
2020-02-18,0.0,0.0,0.0,0.6358063220977783
2020-02-19,0.0,0.0,0.0,0.02208976447582245
2020-02-20,0.0,0.0,0.0,0.778574526309967
2020-02-21,0.0,0.0,0.0,3.179659605026245
2020-02-22,0.0,1.5588213205337524,0.0,3.8610680103302
2020-02-23,0.0,2.8201749324798584,0.041144467890262604,5.881651878356934
2020-02-24,0.0,0.0,0.0,-0.9269007444381714
2020-02-25,0.0,0.0,0.0,0.6358063220977783
2020-02-26,0.0,0.0,0.0,0.02208976447582245
2020-02-27,0.0,0.0,0.0,0.778574526309967
2020-02-28,0.0,0.0,0.0,3.179659605026245
2020-02-29,0.0,1.5588213205337524,0.0,3.8610680103302
2020-03-01,0.0,2.8201749324798584,0.041144467890262604,5.881651878356934
2020-03-02,0.0,0.0,0.0,-0.9269007444381714
2020-03-03,0.0,0.0,0.0,0.6358063220977783
2020-03-04,0.0,0.0,0.0,0.02208976447582245
2020-03-05,0.0,0.0,0.0,0.778574526309967
2020-03-06,0.0,0.0,0.0,3.179659605026245
2020-03-07,0.0,1.5588213205337524,0.0,3.8610680103302
2020-03-08,0.0,2.8201749324798584,0.041144467890262604,5.881651878356934
2020-03-09,0.0,0.0,0.0,-0.9269007444381714
2020-03-10,0.0,0.0,0.0,0.6358063220977783
2020-03-11,8.0,0.0,0.0,0.02208976447582245
2020-03-12,-1.0,0.0,0.0,0.778574526309967
2020-03-13,1.0,0.0,0.0,3.179659605026245
2020-03-14,0.0,1.5588213205337524,0.0,3.8610680103302
2020-03-15,0.0,2.8201749324798584,0.041144467890262604,5.881651878356934
2020-03-16,2.0,0.4738186299800873,0.10241412371397018,0.8018988370895386
2020-03-17,1.0,0.13741283118724823,0.0,1.5655666589736938
2020-03-18,0.0,0.0,0.0,1.202091932296753
2020-03-19,3.0,0.3560028374195099,0.0,2.1512014865875244
2020-03-20,0.0,1.2815495729446411,0.0,4.322606086730957
2020-03-21,0.0,3.202730894088745,0.608292281627655,5.681943893432617
2020-03-22,7.0,4.198395252227783,1.5775619745254517,7.113153457641602
2020-03-23,7.0,0.0,0.0,-0.3816573917865753
2020-03-24,2.0,0.0,0.0,1.1312872171401978
2020-03-25,11.0,0.0,0.0,0.7463465929031372
2020-03-26,5.0,0.0,0.0,1.5275226831436157
2020-03-27,12.0,0.6376991868019104,0.0,3.8657867908477783
2020-03-28,10.0,2.287252187728882,0.0,4.666501045227051
2020-03-29,22.0,3.352811574935913,0.5070459246635437,6.412452697753906
2020-03-30,11.0,8.721983909606934,7.943731784820557,9.866562843322754
2020-03-31,7.0,9.477829933166504,8.61528491973877,10.056467056274414
2020-04-01,21.0,12.776165008544922,11.909781455993652,13.4841890335083
2020-04-02,36.0,14.106230735778809,13.113373756408691,15.01795768737793
2020-04-03,22.0,15.806583404541016,14.333925247192383,17.711299896240234
2020-04-04,25.0,16.75229263305664,16.12562370300293,18.00375747680664
2020-04-05,28.0,17.02604866027832,15.6016206741333,18.08854103088379
2020-04-06,48.0,28.15360450744629,26.919294357299805,30.358104705810547
2020-04-07,32.0,30.7155818939209,25.70669937133789,34.111270904541016
2020-04-08,73.0,41.04349899291992,36.12642288208008,44.258235931396484
2020-04-09,54.0,43.384063720703125,37.75783920288086,46.947715759277344
2020-04-10,89.0,46.07707214355469,37.096248626708984,55.79667663574219
2020-04-11,90.0,44.98952865600586,38.9709358215332,48.57756423950195
2020-04-12,104.0,43.71640396118164,35.3763427734375,49.7022819519043
2020-04-13,138.0,64.35753631591797,63.377254486083984,66.12584686279297
2020-04-14,120.0,61.8534049987793,55.03814697265625,68.57343292236328
2020-04-15,180.0,72.68848419189453,67.89102935791016,79.06600952148438
2020-04-16,143.0,75.0377197265625,70.38903045654297,78.38723754882812
2020-04-17,100.0,76.79339599609375,67.3927993774414,87.1297378540039
2020-04-18,131.0,74.96636962890625,70.21002960205078,77.8745346069336
2020-04-19,93.0,72.27831268310547,65.23387908935547,76.20726013183594
2020-04-20,50.0,109.2032699584961,104.08573150634766,112.10858917236328
2020-04-21,70.0,89.22899627685547,86.26190185546875,94.6503677368164
2020-04-22,103.0,79.53495025634766,76.8340072631836,84.3772964477539
2020-04-23,98.0,79.9563217163086,78.80427551269531,81.58987426757812
2020-04-24,84.0,77.0909423828125,73.75122833251953,79.85897827148438
