,Kentucky,forecast,interval_low,interval_high
2020-01-22,0.0,0.05944756418466568,-0.28357696533203125,0.29108303785324097
2020-01-23,0.0,-0.049880485981702805,-0.35869157314300537,0.2547101676464081
2020-01-24,0.0,-0.6592193245887756,-2.7658770084381104,0.047772109508514404
2020-01-25,0.0,0.05857712775468826,-0.07668697834014893,0.16641473770141602
2020-01-26,0.0,-0.5569510459899902,-9.242021560668945,6.427886962890625
2020-01-27,0.0,-1.139272928237915,-6.462611675262451,0.6080157160758972
2020-01-28,0.0,0.046230025589466095,-0.11306732892990112,0.3084583878517151
2020-01-29,0.0,-0.09434282779693604,-0.19660741090774536,-0.04465436935424805
2020-01-30,0.0,-0.011732476763427258,-0.22162890434265137,0.15592095255851746
2020-01-31,0.0,-1.5026158094406128,-7.632173538208008,0.24115431308746338
2020-02-01,0.0,0.05993064120411873,-0.06563830375671387,0.23218685388565063
2020-02-02,0.0,0.34316545724868774,0.019058287143707275,1.4103105068206787
2020-02-03,0.0,0.2574005722999573,-0.04545760154724121,1.156667947769165
2020-02-04,0.0,-0.34201255440711975,-0.7230252027511597,0.12814608216285706
2020-02-05,0.0,0.06931526958942413,-0.256040096282959,0.4567406177520752
2020-02-06,0.0,-0.00036622287007048726,-0.41644978523254395,0.2629592716693878
2020-02-07,0.0,-0.5176416635513306,-2.3646128177642822,0.09368324279785156
2020-02-08,0.0,-0.04104090854525566,-0.10595643520355225,0.10778194665908813
2020-02-09,0.0,-0.15737231075763702,-1.4354063272476196,0.9782713651657104
2020-02-10,0.0,-0.20018911361694336,-0.898473858833313,0.1934710144996643
2020-02-11,0.0,0.015303635969758034,-0.20695525407791138,0.2766795754432678
2020-02-12,0.0,0.20407867431640625,-0.6581549644470215,1.288931965827942
2020-02-13,0.0,0.06586809456348419,-0.34171223640441895,0.4851532578468323
2020-02-14,0.0,0.4191509783267975,-0.6627676486968994,2.6342225074768066
2020-02-15,0.0,-0.010268556885421276,-0.7346103191375732,0.6175839304924011
2020-02-16,0.0,0.1763007938861847,-0.4378524422645569,1.1359872817993164
2020-02-17,0.0,0.00493091344833374,-0.15251189470291138,0.3188544809818268
2020-02-18,0.0,-0.2286171019077301,-0.7082259654998779,0.1461518108844757
2020-02-19,0.0,0.6752506494522095,0.13692772388458252,2.3546769618988037
2020-02-20,0.0,0.15718607604503632,-0.5301164388656616,0.7861967086791992
2020-02-21,0.0,-0.030092084780335426,-0.45166677236557007,0.21681487560272217
2020-02-22,0.0,0.19161352515220642,-0.19763177633285522,0.4879969656467438
2020-02-23,0.0,0.11077599227428436,0.05497059226036072,0.16110074520111084
2020-02-24,0.0,0.07313283532857895,0.030123919248580933,0.1416589915752411
2020-02-25,0.0,-0.12923474609851837,-0.4358259439468384,0.19318726658821106
2020-02-26,0.0,-0.027376199141144753,-0.5239078998565674,0.20877337455749512
2020-02-27,0.0,-1.9774335622787476,-9.591812133789062,0.013572543859481812
2020-02-28,0.0,0.02675149403512478,-0.41151219606399536,0.39176851511001587
2020-02-29,0.0,-0.014802450314164162,-0.11316639184951782,0.06229844689369202
2020-03-01,0.0,0.6385353803634644,-0.0422743558883667,2.8646364212036133
2020-03-02,0.0,0.07639120519161224,-0.026083707809448242,0.13126307725906372
2020-03-03,0.0,12.720698356628418,-0.39825576543807983,63.75933837890625
2020-03-04,0.0,-0.08284533023834229,-0.42872554063796997,0.27723610401153564
2020-03-05,0.0,-0.15508994460105896,-0.6234484910964966,0.26112014055252075
2020-03-06,1.0,1.0194027423858643,0.5140801072120667,1.5140485763549805
2020-03-07,1.0,0.9156052470207214,0.5753722786903381,1.385934591293335
2020-03-08,1.0,1.0734565258026123,0.8725333213806152,1.3180047273635864
2020-03-09,4.0,2.678694009780884,-1.666872501373291,3.977727174758911
2020-03-10,5.0,5.4242987632751465,4.814505100250244,6.508642673492432
2020-03-11,8.0,8.020889282226562,7.655877113342285,8.433650016784668
2020-03-12,10.0,10.138952255249023,8.93842601776123,10.938616752624512
2020-03-13,14.0,13.737133979797363,13.293554306030273,13.945802688598633
2020-03-14,16.0,17.07244300842285,15.993476867675781,20.54388427734375
2020-03-15,18.0,21.868640899658203,17.908971786499023,31.883569717407227
2020-03-16,21.0,21.24492073059082,20.6510009765625,21.86639976501465
2020-03-17,26.0,26.053735733032227,25.8426513671875,26.218727111816406
2020-03-18,28.0,32.58979034423828,27.7750186920166,50.03672409057617
2020-03-19,50.0,52.547523498535156,49.34530258178711,64.13157653808594
2020-03-20,64.0,64.26243591308594,63.798343658447266,64.84352111816406
2020-03-21,87.0,90.17124938964844,86.9466552734375,102.35070037841797
2020-03-22,103.0,99.63105773925781,87.1095199584961,103.04853820800781
2020-03-23,123.0,129.86666870117188,122.47309112548828,157.24810791015625
2020-03-24,162.0,161.7965850830078,161.31625366210938,162.2487030029297
2020-03-25,197.0,217.4201202392578,196.92636108398438,248.78164672851562
2020-03-26,247.0,257.49859619140625,246.42030334472656,300.1458435058594
2020-03-27,301.0,303.6459045410156,243.99658203125,371.1570129394531
2020-03-28,380.0,404.0123291015625,379.6577453613281,442.9530334472656
2020-03-29,438.0,437.98150634765625,437.8787536621094,438.2507019042969
2020-03-30,479.0,479.0313415527344,478.9581604003906,479.1332092285156
2020-03-31,628.0,567.8702392578125,476.4253845214844,628.0966796875
2020-04-01,632.0,687.5596313476562,631.9119262695312,774.0133666992188
2020-04-02,770.0,771.1939086914062,754.4929809570312,791.9834594726562
2020-04-03,770.0,843.3687744140625,770.0510864257812,981.5847778320312
