,Pennsylvania,forecast,interval_low,interval_high
2020-03-10,5.0,17.911165237426758,0.0,51.50249099731445
2020-03-11,4.0,21.967376708984375,0.0,58.68385696411133
2020-03-12,6.0,29.540197372436523,0.0,64.21434783935547
2020-03-13,19.0,38.0807991027832,0.0,89.64229583740234
2020-03-14,6.0,56.85749816894531,0.0,120.40902709960938
2020-03-15,0.0,9.955365180969238,0.0,24.192033767700195
2020-03-16,32.0,18.93923568725586,0.0,38.44978332519531
2020-03-17,33.0,24.47284698486328,0.018149379640817642,54.615753173828125
2020-03-18,43.0,29.776138305664062,0.0,61.99526596069336
2020-03-19,51.0,38.22990036010742,0.0,67.97260284423828
2020-03-20,105.0,48.18326187133789,0.0,93.3416519165039
2020-03-21,88.0,67.8775634765625,0.0,123.99276733398438
2020-03-22,110.0,37.81150817871094,25.459014892578125,44.84540557861328
2020-03-23,189.0,49.6827507019043,43.79726791381836,58.41844940185547
2020-03-24,248.0,65.5992431640625,55.55838394165039,76.9442138671875
2020-03-25,314.0,77.74901580810547,68.31326293945312,85.28963470458984
2020-03-26,535.0,93.9475326538086,88.01185607910156,98.42868041992188
2020-03-27,550.0,113.714599609375,110.15280151367188,120.64933013916016
2020-03-28,500.0,139.2107391357422,132.18531799316406,150.67613220214844
2020-03-29,587.0,254.44073486328125,198.8412322998047,317.84368896484375
2020-03-30,723.0,293.321044921875,222.2037811279297,383.54437255859375
2020-03-31,808.0,377.9798278808594,256.2366943359375,531.4667358398438
2020-04-01,1046.0,439.6778869628906,273.0989990234375,641.0134887695312
2020-04-02,1259.0,506.1578369140625,307.9365539550781,731.947265625
2020-04-03,1302.0,573.7057495117188,329.8753662109375,881.3574829101562
2020-04-04,1874.0,621.5715942382812,355.2778015136719,987.5764770507812
2020-04-05,1145.0,789.6565551757812,745.0941772460938,826.1417846679688
2020-04-06,1538.0,814.7096557617188,774.7898559570312,838.6904907226562
2020-04-07,1726.0,865.3137817382812,813.3687133789062,919.8330688476562
2020-04-08,1778.0,906.25244140625,835.5307006835938,954.43017578125
2020-04-09,1669.0,991.1828002929688,865.8310546875,1065.9849853515625
2020-04-10,1751.0,1023.595947265625,880.4823608398438,1099.434326171875
