,Michigan,forecast,interval_low,interval_high
2020-03-06,0.0,76.64266967773438,51.774784088134766,91.36929321289062
2020-03-07,0.0,97.49642944335938,71.13724517822266,128.4607696533203
2020-03-08,0.0,13.109183311462402,12.104342460632324,14.604132652282715
2020-03-09,0.0,34.7110481262207,13.083295822143555,51.4359016418457
2020-03-10,0.0,39.354496002197266,21.397125244140625,51.07404708862305
2020-03-11,2.0,41.91326904296875,24.937074661254883,52.13429641723633
2020-03-12,1.0,49.537017822265625,25.327552795410156,66.1543960571289
2020-03-13,21.0,76.64266967773438,51.774784088134766,91.36929321289062
2020-03-14,12.0,97.49642944335938,71.13724517822266,128.4607696533203
2020-03-15,9.0,13.851475715637207,12.63136100769043,15.370656967163086
2020-03-16,31.0,35.30205154418945,13.666546821594238,52.22884750366211
2020-03-17,14.0,39.786048889160156,21.789133071899414,51.71857452392578
2020-03-18,69.0,42.50786590576172,25.516983032226562,52.97728729248047
2020-03-19,155.0,50.3077392578125,26.09210205078125,67.21497344970703
2020-03-20,157.0,77.87580108642578,53.015174865722656,92.1238784790039
2020-03-21,154.0,98.51568603515625,72.1698226928711,128.97311401367188
2020-03-22,506.0,51.785980224609375,45.62013626098633,57.492374420166016
2020-03-23,323.0,70.90680694580078,49.42421340942383,94.29593658447266
2020-03-24,488.0,74.28069305419922,55.70044708251953,95.61121368408203
2020-03-25,526.0,89.46282958984375,72.01215362548828,115.95097351074219
2020-03-26,564.0,106.71044921875,84.01288604736328,142.01846313476562
2020-03-27,816.0,146.3684539794922,122.47808074951172,181.23040771484375
2020-03-28,1042.0,158.98533630371094,134.30335998535156,179.77296447753906
2020-03-29,863.0,474.8857421875,463.5715026855469,492.0334167480469
2020-03-30,1050.0,511.1680908203125,463.6951904296875,572.06201171875
2020-03-31,1148.0,548.1986694335938,456.52398681640625,654.39599609375
2020-04-01,1766.0,685.0446166992188,531.99609375,870.4625244140625
2020-04-02,1513.0,776.913818359375,588.5260620117188,977.3800659179688
2020-04-03,1991.0,842.919921875,646.9049072265625,1060.6197509765625
2020-04-04,1514.0,779.6823120117188,594.8213500976562,977.3048095703125
2020-04-05,1533.0,1307.8013916015625,1244.2974853515625,1364.8218994140625
2020-04-06,1552.0,1230.169189453125,1163.386962890625,1265.688232421875
2020-04-07,1824.0,1161.1556396484375,1094.7900390625,1210.57373046875
2020-04-08,1432.0,1229.2318115234375,1180.9246826171875,1309.121826171875
2020-04-09,1221.0,1281.574951171875,1253.967041015625,1306.40673828125
2020-04-10,982.0,1375.42626953125,1338.396728515625,1410.8472900390625
2020-04-11,1221.0,1281.5118408203125,1212.4306640625,1354.594482421875
2020-04-12,683.0,1383.3929443359375,1346.309814453125,1420.8582763671875
2020-04-13,1439.0,1321.6217041015625,1253.867919921875,1377.04296875
2020-04-14,1420.0,1296.6043701171875,1256.076171875,1348.0849609375
2020-04-15,1102.0,1254.0390625,1227.787841796875,1277.050048828125
2020-04-16,822.0,1170.5487060546875,1129.3062744140625,1206.9808349609375
2020-04-17,1259.0,1152.9158935546875,1079.851806640625,1220.0926513671875
2020-04-18,806.0,1110.716552734375,1086.7835693359375,1136.1766357421875
2020-04-19,657.0,1155.8802490234375,1134.9276123046875,1178.4139404296875
2020-04-20,636.0,1100.4556884765625,1030.4029541015625,1158.6376953125
2020-04-21,724.0,1082.3240966796875,1048.3741455078125,1121.5850830078125
2020-04-22,1356.0,1080.3494873046875,1051.2821044921875,1124.02099609375
2020-04-23,1441.0,1041.97802734375,1008.16455078125,1065.3155517578125
2020-04-24,1485.0,1030.5609130859375,957.9041748046875,1077.8294677734375
2020-04-25,459.0,1015.413330078125,994.9078369140625,1050.235595703125
2020-04-26,751.0,1060.4805908203125,951.09814453125,1135.74267578125
2020-04-27,494.0,984.418212890625,888.965576171875,1045.6146240234375
2020-04-28,1132.0,851.580322265625,795.5371704101562,881.7025756835938
2020-04-29,1213.0,807.3118286132812,775.1748046875,837.6309204101562
2020-04-30,1099.0,790.4246215820312,777.4609375,797.6494140625
2020-05-01,1046.0,890.43408203125,851.3191528320312,924.2214965820312
2020-05-02,900.0,886.2988891601562,826.45751953125,957.5501098632812
2020-05-03,623.0,1092.953857421875,976.1148071289062,1155.955078125
2020-05-04,301.0,988.1436157226562,895.1566162109375,1074.6561279296875
2020-05-05,566.0,834.584716796875,778.4043579101562,871.144287109375
2020-05-06,824.0,759.984619140625,732.1040649414062,786.8173217773438
2020-05-07,674.0,724.1593627929688,695.3272705078125,748.5195922851562
2020-05-08,758.0,818.3603515625,786.0984497070312,835.878173828125
