,Iowa,forecast,interval_low,interval_high
2020-03-07,0.0,42.725894927978516,36.15373992919922,52.87835693359375
2020-03-08,0.0,47.75505447387695,39.515037536621094,56.7193603515625
2020-03-09,3.0,18.674711227416992,8.325329780578613,32.12819290161133
2020-03-10,5.0,24.927154541015625,21.40727424621582,31.091466903686523
2020-03-11,5.0,27.785951614379883,17.569570541381836,41.94521713256836
2020-03-12,1.0,25.770156860351562,21.1588134765625,33.48332595825195
2020-03-13,3.0,28.726430892944336,24.71220588684082,35.72844314575195
2020-03-14,0.0,42.725894927978516,36.15373992919922,52.87835693359375
2020-03-15,1.0,47.75505447387695,39.515037536621094,56.7193603515625
2020-03-16,5.0,19.9301700592041,9.943750381469727,33.14786148071289
2020-03-17,0.0,26.335906982421875,22.62346839904785,32.80730438232422
2020-03-18,15.0,29.17108726501465,19.110197067260742,43.46094512939453
2020-03-19,6.0,27.107641220092773,22.51544189453125,34.883262634277344
2020-03-20,1.0,30.473472595214844,26.544382095336914,37.59431076049805
2020-03-21,24.0,44.4150505065918,37.74714279174805,54.83241271972656
2020-03-22,21.0,49.47430419921875,41.431522369384766,58.552921295166016
2020-03-23,15.0,21.0775089263916,11.377900123596191,34.06079864501953
2020-03-24,19.0,27.647615432739258,23.679555892944336,34.38252639770508
2020-03-25,22.0,30.355470657348633,20.384607315063477,44.80997085571289
2020-03-26,33.0,28.2844181060791,23.72793960571289,36.07569885253906
2020-03-27,56.0,31.8382568359375,27.990062713623047,39.0430793762207
2020-03-28,63.0,45.803226470947266,39.050167083740234,56.49699783325195
2020-03-29,38.0,50.95846176147461,43.03312301635742,60.1825065612793
2020-03-30,88.0,32.14849090576172,23.029951095581055,45.056034088134766
2020-03-31,73.0,38.58192825317383,34.22047424316406,45.97271728515625
2020-04-01,50.0,41.56241226196289,32.29387283325195,55.56291961669922
2020-04-02,67.0,39.725006103515625,35.00067901611328,47.532291412353516
2020-04-03,85.0,43.95254135131836,39.79891586303711,51.466796875
2020-04-04,88.0,57.119476318359375,50.31083679199219,68.27728271484375
2020-04-05,82.0,62.480899810791016,54.64976119995117,72.10712432861328
2020-04-06,77.0,71.36678314208984,63.83678436279297,84.13806915283203
2020-04-07,100.0,77.3428726196289,71.25635528564453,86.82872772216797
2020-04-08,99.0,80.74172973632812,73.45025634765625,93.45780181884766
2020-04-09,125.0,79.96725463867188,74.5911865234375,87.9577865600586
2020-04-10,118.0,85.44070434570312,80.23624420166016,93.9428939819336
2020-04-11,122.0,96.18457794189453,89.15204620361328,109.11397552490234
2020-04-12,77.0,102.50747680664062,94.4509048461914,113.86975860595703
2020-04-13,123.0,96.69561767578125,90.4424057006836,108.8616714477539
