,Massachusetts,forecast,interval_low,interval_high
2020-03-08,22.0,511.9059753417969,397.17791748046875,719.30419921875
2020-03-09,22.0,891.8300170898438,672.2984008789062,1228.5504150390625
2020-03-10,41.0,888.5852661132812,629.412353515625,1398.2301025390625
2020-03-11,92.0,1202.8951416015625,832.5936279296875,1924.09716796875
2020-03-12,107.0,1219.7261962890625,861.5459594726562,1905.2943115234375
2020-03-13,123.0,1510.1591796875,1077.7374267578125,2338.53564453125
2020-03-14,138.0,1675.353515625,1141.359130859375,2679.28564453125
2020-03-15,138.0,526.2240600585938,410.9462890625,732.785400390625
2020-03-16,187.0,904.7158203125,686.6991577148438,1240.4705810546875
2020-03-17,217.0,904.4716186523438,644.9273681640625,1412.230712890625
2020-03-18,252.0,1217.5255126953125,850.1441040039062,1936.121826171875
2020-03-19,328.0,1238.4847412109375,883.9452514648438,1920.8939208984375
2020-03-20,413.0,1527.591796875,1099.34033203125,2352.321044921875
2020-03-21,523.0,1697.0947265625,1162.744384765625,2696.7578125
2020-03-22,640.0,705.5154418945312,578.5007934570312,898.2847900390625
2020-03-23,777.0,1082.07080078125,891.5142822265625,1402.12890625
2020-03-24,1159.0,1120.3433837890625,850.9842529296875,1593.1197509765625
2020-03-25,1838.0,1446.6068115234375,1086.236572265625,2117.723876953125
2020-03-26,2417.0,1502.314453125,1161.0711669921875,2126.93798828125
2020-03-27,3240.0,1809.1920166015625,1398.377197265625,2565.825439453125
2020-03-28,4257.0,2009.2535400390625,1462.8067626953125,2928.285400390625
2020-03-29,4955.0,1255.0704345703125,1098.79736328125,1410.7322998046875
2020-03-30,5752.0,1606.7513427734375,1447.9620361328125,1883.9122314453125
2020-03-31,6620.0,1759.9459228515625,1467.8690185546875,2141.662841796875
2020-04-01,7738.0,2091.1396484375,1710.29443359375,2637.7822265625
2020-04-02,8966.0,2272.153564453125,1900.48193359375,2746.05419921875
2020-04-03,10402.0,2590.982177734375,2147.54541015625,3171.004150390625
2020-04-04,11736.0,2911.747314453125,2339.4970703125,3622.355224609375
2020-04-05,12500.0,5873.52587890625,5490.69775390625,6368.8564453125
2020-04-06,13837.0,6143.82568359375,5758.92041015625,6586.57568359375
2020-04-07,15202.0,7143.51318359375,6691.3056640625,7908.41259765625
2020-04-08,16790.0,7642.15283203125,7129.19677734375,8564.359375
2020-04-09,18941.0,8683.8681640625,8031.90087890625,9911.7275390625
2020-04-10,20974.0,9260.7431640625,8511.2392578125,10667.9140625
2020-04-11,22860.0,10369.4619140625,9509.04296875,11951.6484375
2020-04-12,25475.0,15678.5986328125,14988.4716796875,16738.013671875
2020-04-13,26867.0,16188.8408203125,15508.90625,17401.537109375
2020-04-14,28164.0,18356.32421875,17155.771484375,20125.90234375
2020-04-15,29919.0,19484.005859375,17823.3828125,21662.8359375
2020-04-16,32181.0,21549.685546875,19600.05859375,24156.962890625
2020-04-17,34985.0,22948.775390625,20635.974609375,25972.45703125
2020-04-18,36963.0,24945.5546875,22186.39453125,28317.5078125
2020-04-19,38674.0,29675.521484375,28961.91796875,30495.861328125
2020-04-20,40252.0,30699.126953125,30060.8125,31931.453125
2020-04-21,41832.0,33427.70703125,32245.103515625,34963.84375
2020-04-22,43614.0,35039.44140625,33285.26953125,36946.2421875
2020-04-23,46727.0,37713.8125,36047.296875,39697.81640625
2020-04-24,51700.0,39726.57421875,37690.671875,42052.66015625
2020-04-25,54135.0,42220.58203125,39649.1875,44805.39453125
2020-04-26,55753.0,45181.63671875,44694.046875,45842.171875
2020-04-27,57295.0,46867.25,46557.26953125,47210.66015625
2020-04-28,59193.0,49334.625,49075.69140625,49618.0
2020-04-29,61201.0,51382.26171875,50664.921875,51876.83984375
2020-04-30,63211.0,53875.76171875,53721.37890625,54015.89453125
2020-05-01,65388.0,56257.62109375,55956.13671875,56458.48828125
2020-05-02,67438.0,58416.6875,57679.265625,58856.08984375
2020-05-03,69318.0,61862.20703125,60790.015625,63129.71875
2020-05-04,70388.0,63760.359375,63177.203125,64304.65625
2020-05-05,71654.0,65649.3203125,64787.22265625,66307.9609375
2020-05-06,73538.0,67525.1875,66760.6328125,67910.1640625
2020-05-07,75338.0,69644.90625,68302.984375,70832.8671875
2020-05-08,77090.0,71672.0234375,70155.40625,72940.03125
2020-05-09,78561.0,73402.8203125,71854.8828125,74424.484375
2020-05-10,79676.0,75407.8984375,73845.2265625,76951.3515625
2020-05-11,80409.0,77283.8046875,76069.5625,78258.859375
2020-05-12,81370.0,78579.6484375,77120.8203125,79760.2734375
2020-05-13,82657.0,80365.2421875,79014.1640625,81377.203125
2020-05-14,84460.0,81851.4453125,79988.71875,83575.7734375
2020-05-15,85786.0,83551.4453125,81419.5,85473.7109375
2020-05-16,87374.0,84609.3984375,82420.1875,86417.9453125
2020-05-17,88500.0,85000.9921875,83500.9765625,86377.7109375
2020-05-18,89566.0,86597.6953125,85299.3984375,87598.1484375
2020-05-19,90521.0,87527.0234375,86100.609375,88694.5859375
2020-05-20,91654.0,89055.4375,87834.25,90078.4765625
2020-05-21,92860.0,90146.3515625,88609.859375,91650.9765625
2020-05-22,93796.0,91444.8359375,89656.390625,93164.359375
2020-05-23,94641.0,92145.1640625,90308.640625,93835.3984375
2020-05-24,95708.0,92305.4296875,91125.09375,93313.390625
2020-05-25,96366.0,93489.1875,92387.9375,94301.265625
2020-05-26,96826.0,94200.1484375,93074.6875,95111.8125
2020-05-27,97428.0,95285.0703125,94352.09375,96109.3515625
2020-05-28,98198.0,96138.8125,95066.1875,97210.1875
2020-05-29,98880.0,97002.1484375,95723.0234375,98273.3828125
2020-05-30,99773.0,97617.6875,96298.34375,98920.875
2020-05-31,100468.0,98141.6328125,97312.6953125,98773.859375
2020-06-01,100805.0,98986.1328125,98116.0390625,99608.9453125
2020-06-02,101163.0,99511.5546875,98741.1953125,100130.234375
2020-06-03,101592.0,100274.6796875,99627.7734375,100870.4921875
2020-06-04,102063.0,100865.5703125,100225.53125,101483.578125
2020-06-05,102557.0,101446.4765625,100660.296875,102232.0390625
2020-06-06,103132.0,101904.8046875,101084.5703125,102763.765625
2020-06-07,103436.0,101834.9296875,101307.96875,102159.828125
2020-06-08,103626.0,102424.8671875,101775.3203125,102867.03125
2020-06-09,103889.0,102844.40625,102383.8359375,103205.4296875
2020-06-10,104156.0,103343.7890625,102937.8046875,103744.4453125
2020-06-11,104667.0,103771.25,103473.3359375,104041.984375
2020-06-12,105059.0,104160.1328125,103763.03125,104571.03125
2020-06-13,105395.0,104553.71875,104129.125,105063.078125
2020-06-14,105603.0,104262.3359375,103952.0,104466.3359375
2020-06-15,105690.0,104682.1015625,104189.609375,104996.2421875
2020-06-16,105885.0,105031.5625,104796.9375,105204.84375
2020-06-17,106151.0,105358.9375,105123.3515625,105622.2265625
2020-06-18,106422.0,105663.3046875,105605.0859375,105692.53125
2020-06-19,106650.0,105939.2578125,105818.46875,106086.0625
