,Utah,forecast,interval_low,interval_high
2020-03-09,1.0,216.1419219970703,209.90528869628906,226.02197265625
2020-03-10,2.0,220.7523193359375,209.9560089111328,239.07550048828125
2020-03-11,3.0,249.97056579589844,235.4315643310547,273.7955322265625
2020-03-12,3.0,278.7344665527344,264.0547180175781,296.1501159667969
2020-03-13,9.0,306.4478454589844,288.5988464355469,336.7030029296875
2020-03-14,10.0,356.8282775878906,339.26751708984375,385.4881896972656
2020-03-15,18.0,191.5985870361328,181.22103881835938,209.83505249023438
2020-03-16,28.0,216.6355438232422,210.3976287841797,226.53871154785156
2020-03-17,39.0,221.467041015625,210.6392059326172,239.82559204101562
2020-03-18,47.0,250.68797302246094,236.14527893066406,274.542236328125
2020-03-19,62.0,279.3960266113281,264.7133483886719,296.84344482421875
2020-03-20,95.0,307.20892333984375,289.3563537597656,337.49822998046875
2020-03-21,118.0,357.5389099121094,339.9743957519531,386.23846435546875
2020-03-22,162.0,204.87379455566406,194.46041870117188,223.64898681640625
2020-03-23,257.0,227.7471160888672,221.495849609375,238.05801391601562
2020-03-24,298.0,236.5641632080078,225.1730499267578,255.55081176757812
2020-03-25,340.0,265.9486389160156,251.34149169921875,290.3187255859375
2020-03-26,396.0,293.6985778808594,278.9702453613281,311.7044982910156
2020-03-27,472.0,323.376708984375,305.4658203125,354.2686767578125
2020-03-28,602.0,372.831787109375,355.2037658691406,402.2462463378906
2020-03-29,720.0,327.2536926269531,315.0352478027344,350.09832763671875
2020-03-30,798.0,337.9241638183594,330.6930236816406,351.44000244140625
2020-03-31,888.0,373.8132019042969,358.27545166015625,397.3939208984375
2020-04-01,888.0,404.9643859863281,389.8795471191406,433.1121826171875
2020-04-02,1086.0,427.9458312988281,412.93646240234375,450.0885925292969
2020-04-03,1248.0,470.4547424316406,452.16876220703125,505.70465087890625
2020-04-04,1428.0,514.8561401367188,496.8031921386719,549.6016235351562
2020-04-05,1601.0,775.3504028320312,753.9119262695312,807.501953125
2020-04-06,1678.0,783.2659301757812,767.6007690429688,804.7862548828125
2020-04-07,1739.0,863.648193359375,839.3271484375,896.773193359375
2020-04-08,1848.0,903.9132690429688,884.043701171875,939.914794921875
2020-04-09,1856.0,931.1386108398438,915.3313598632812,962.1529541015625
2020-04-10,2103.0,997.114501953125,971.8607788085938,1041.068603515625
2020-04-11,2207.0,1039.9569091796875,1012.0692138671875,1086.5086669921875
2020-04-12,2303.0,1569.2921142578125,1535.5037841796875,1613.5716552734375
2020-04-13,2363.0,1592.75244140625,1565.1876220703125,1625.0992431640625
2020-04-14,2417.0,1721.7769775390625,1686.4710693359375,1766.69921875
2020-04-15,2548.0,1779.9365234375,1751.73876953125,1825.6884765625
2020-04-16,2683.0,1825.3243408203125,1798.2401123046875,1867.4981689453125
2020-04-17,2793.0,1920.8414306640625,1885.3109130859375,1975.250244140625
2020-04-18,2917.0,1971.5286865234375,1929.024169921875,2033.2408447265625
2020-04-19,3069.0,2400.037841796875,2362.556884765625,2446.82080078125
2020-04-20,3213.0,2475.4501953125,2443.21728515625,2510.434814453125
2020-04-21,3297.0,2596.083984375,2559.65966796875,2641.749267578125
2020-04-22,3445.0,2681.2490234375,2653.24462890625,2727.257568359375
2020-04-23,3612.0,2762.918212890625,2733.85498046875,2805.7763671875
2020-04-24,3782.0,2868.757568359375,2832.7509765625,2922.541015625
2020-04-25,3948.0,2946.5703125,2900.472412109375,3011.17626953125
2020-04-26,4123.0,3219.721435546875,3176.15869140625,3272.047119140625
2020-04-27,4236.0,3315.045654296875,3276.83544921875,3354.546875
2020-04-28,4345.0,3466.599853515625,3425.1455078125,3517.596435546875
2020-04-29,4497.0,3574.404541015625,3543.1806640625,3624.625
2020-04-30,4672.0,3676.494140625,3642.17236328125,3724.064453125
2020-05-01,4828.0,3809.0400390625,3768.549560546875,3866.9912109375
2020-05-02,4985.0,3903.794677734375,3850.58984375,3975.600341796875
2020-05-03,5175.0,4295.39453125,4246.07861328125,4352.857421875
2020-05-04,5317.0,4421.427734375,4377.1240234375,4465.22314453125
2020-05-05,5449.0,4606.19970703125,4559.9248046875,4662.34765625
2020-05-06,5595.0,4741.10693359375,4706.94091796875,4795.53759765625
2020-05-07,5724.0,4873.7177734375,4834.18115234375,4925.853515625
2020-05-08,5919.0,5036.537109375,4991.81494140625,5098.28369140625
2020-05-09,6103.0,5158.99951171875,5099.162109375,5237.58447265625
2020-05-10,6251.0,5466.328125,5415.67041015625,5524.31591796875
2020-05-11,6362.0,5629.90673828125,5583.5244140625,5673.65185546875
2020-05-12,6432.0,5836.1640625,5789.11767578125,5893.095703125
2020-05-13,6620.0,6002.65625,5969.1396484375,6057.51513671875
2020-05-14,6749.0,6170.66162109375,6130.05419921875,6222.9345703125
2020-05-15,6913.0,6362.30078125,6317.4150390625,6423.4248046875
2020-05-16,7068.0,6521.66259765625,6460.46337890625,6601.50927734375
2020-05-17,7238.0,6670.11474609375,6622.1142578125,6724.58056640625
2020-05-18,7384.0,6881.90185546875,6836.7744140625,6922.1943359375
2020-05-19,7518.0,7094.09765625,7049.85205078125,7147.9853515625
2020-05-20,7710.0,7291.85009765625,7261.962890625,7343.99072265625
2020-05-21,7874.0,7502.22802734375,7464.1328125,7550.94287109375
2020-05-22,8057.0,7715.083984375,7673.62353515625,7771.77099609375
2020-05-23,8260.0,7920.40283203125,7862.66015625,7996.54833984375
2020-05-24,8392.0,7819.09619140625,7775.08447265625,7868.9697265625
2020-05-25,8521.0,8063.18798828125,8021.15283203125,8098.44580078125
2020-05-26,8620.0,8291.3203125,8250.283203125,8341.875
2020-05-27,8706.0,8519.6806640625,8493.90625,8568.650390625
2020-05-28,8921.0,8762.9365234375,8728.296875,8807.4150390625
2020-05-29,9264.0,9003.0712890625,8965.51953125,9055.0693359375
2020-05-30,9533.0,9249.759765625,9196.7880859375,9321.126953125
2020-05-31,9797.0,9122.0830078125,9084.3037109375,9165.2265625
2020-06-01,9999.0,9407.5087890625,9370.33203125,9435.91796875
2020-06-02,10202.0,9647.916015625,9611.7060546875,9693.486328125
2020-06-03,10497.0,9907.6982421875,9883.41015625,9952.134765625
2020-06-04,10813.0,10191.6123046875,10162.2578125,10230.0986328125
2020-06-05,11252.0,10457.177734375,10425.380859375,10502.595703125
2020-06-06,11798.0,10754.6025390625,10709.1259765625,10818.5908203125
2020-06-07,12066.0,10563.5166015625,10526.439453125,10606.470703125
