,Kentucky,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,9.61385440826416,5.835805892944336,13.12480354309082
2020-02-03,0.0,10.210356712341309,7.401163578033447,12.27881908416748
2020-02-04,0.0,12.633418083190918,9.788895606994629,17.535789489746094
2020-02-05,0.0,11.719576835632324,9.700000762939453,14.229769706726074
2020-02-06,0.0,15.663174629211426,8.775147438049316,21.623281478881836
2020-02-07,0.0,16.545679092407227,14.130167007446289,21.36859703063965
2020-02-08,0.0,13.068580627441406,11.20230484008789,16.06521224975586
2020-02-09,0.0,9.61385440826416,5.835805892944336,13.12480354309082
2020-02-10,0.0,10.210356712341309,7.401163578033447,12.27881908416748
2020-02-11,0.0,12.633418083190918,9.788895606994629,17.535789489746094
2020-02-12,0.0,11.719576835632324,9.700000762939453,14.229769706726074
2020-02-13,0.0,15.663174629211426,8.775147438049316,21.623281478881836
2020-02-14,0.0,16.545679092407227,14.130167007446289,21.36859703063965
2020-02-15,0.0,13.068580627441406,11.20230484008789,16.06521224975586
2020-02-16,0.0,9.61385440826416,5.835805892944336,13.12480354309082
2020-02-17,0.0,10.210356712341309,7.401163578033447,12.27881908416748
2020-02-18,0.0,12.633418083190918,9.788895606994629,17.535789489746094
2020-02-19,0.0,11.719576835632324,9.700000762939453,14.229769706726074
2020-02-20,0.0,15.663174629211426,8.775147438049316,21.623281478881836
2020-02-21,0.0,16.545679092407227,14.130167007446289,21.36859703063965
2020-02-22,0.0,13.068580627441406,11.20230484008789,16.06521224975586
2020-02-23,0.0,9.61385440826416,5.835805892944336,13.12480354309082
2020-02-24,0.0,10.210356712341309,7.401163578033447,12.27881908416748
2020-02-25,0.0,12.633418083190918,9.788895606994629,17.535789489746094
2020-02-26,0.0,11.719576835632324,9.700000762939453,14.229769706726074
2020-02-27,0.0,15.663174629211426,8.775147438049316,21.623281478881836
2020-02-28,0.0,16.545679092407227,14.130167007446289,21.36859703063965
2020-02-29,0.0,13.068580627441406,11.20230484008789,16.06521224975586
2020-03-01,0.0,9.61385440826416,5.835805892944336,13.12480354309082
2020-03-02,0.0,10.210356712341309,7.401163578033447,12.27881908416748
2020-03-03,0.0,12.633418083190918,9.788895606994629,17.535789489746094
2020-03-04,0.0,11.719576835632324,9.700000762939453,14.229769706726074
2020-03-05,0.0,15.663174629211426,8.775147438049316,21.623281478881836
2020-03-06,1.0,16.545679092407227,14.130167007446289,21.36859703063965
2020-03-07,0.0,13.068580627441406,11.20230484008789,16.06521224975586
2020-03-08,0.0,9.61385440826416,5.835805892944336,13.12480354309082
2020-03-09,3.0,10.210356712341309,7.401163578033447,12.27881908416748
2020-03-10,1.0,12.633418083190918,9.788895606994629,17.535789489746094
2020-03-11,3.0,11.719576835632324,9.700000762939453,14.229769706726074
2020-03-12,2.0,15.663174629211426,8.775147438049316,21.623281478881836
2020-03-13,4.0,16.545679092407227,14.130167007446289,21.36859703063965
2020-03-14,2.0,13.068580627441406,11.20230484008789,16.06521224975586
2020-03-15,2.0,10.365856170654297,6.639319896697998,13.840331077575684
2020-03-16,3.0,11.54497241973877,8.803886413574219,13.702936172485352
2020-03-17,5.0,13.811373710632324,10.964491844177246,18.69514274597168
2020-03-18,2.0,12.960063934326172,10.988232612609863,15.402430534362793
2020-03-19,22.0,16.854280471801758,10.029321670532227,22.712432861328125
2020-03-20,14.0,17.93196678161621,15.590375900268555,22.60857582092285
2020-03-21,23.0,14.528087615966797,12.583902359008789,17.57358169555664
2020-03-22,16.0,12.874743461608887,9.321599006652832,16.697904586791992
2020-03-23,20.0,13.729606628417969,11.076905250549316,16.2092342376709
2020-03-24,39.0,15.624423027038574,12.776741981506348,20.356494903564453
2020-03-25,35.0,14.853394508361816,12.91140079498291,17.165494918823242
2020-03-26,50.0,18.927331924438477,12.173613548278809,24.581754684448242
2020-03-27,54.0,19.73040199279785,17.414817810058594,24.307924270629883
2020-03-28,79.0,16.20623016357422,14.281478881835938,19.253406524658203
2020-03-29,58.0,32.86347961425781,30.194576263427734,37.73102569580078
2020-03-30,41.0,38.46088409423828,35.44158172607422,42.977500915527344
2020-03-31,149.0,37.740570068359375,34.833133697509766,41.576332092285156
2020-04-01,4.0,37.57649612426758,36.272029876708984,38.78645706176758
2020-04-02,138.0,41.82568359375,36.06292724609375,45.6134147644043
2020-04-03,0.0,43.65656661987305,42.03832244873047,46.33723449707031
2020-04-04,147.0,40.68415451049805,38.041690826416016,44.273193359375
2020-04-05,38.0,83.75923919677734,73.98511505126953,92.20824432373047
2020-04-06,0.0,84.12981414794922,75.78089141845703,91.62828826904297
2020-04-07,194.0,77.83289337158203,74.8282241821289,80.518798828125
2020-04-08,0.0,81.10196685791016,80.59022521972656,82.00115203857422
2020-04-09,192.0,89.4216079711914,85.4601821899414,93.18792724609375
2020-04-10,352.0,86.8884506225586,84.83177185058594,88.03819274902344
2020-04-11,0.0,82.15948486328125,80.16033935546875,85.41002655029297
2020-04-12,270.0,98.39517211914062,86.21044158935547,108.26303100585938
2020-04-13,55.0,93.732177734375,85.15786743164062,101.20195007324219
2020-04-14,30.0,88.7357177734375,85.589111328125,90.6441421508789
2020-04-15,162.0,89.5859375,88.90003967285156,90.26197052001953
2020-04-16,225.0,98.940185546875,94.91494750976562,102.47441101074219
